id,m1,m2,q0star,alpha,phi0,tc,dist,incl,k,mean_20_300,p95_20_300,max_20_300,n_20_300,status,error_code,wall_time_s,model,score,p95_20_300_circ,p95_20_300_recalc,phi_ref_fpeak,phi_mcgt_fpeak
25,52.786418,15.296254,0.275184,0.959364,0.0,0.0,1000.0,0.0,-1,1.667755,2.988802,3.120522,117,ok,,0.002078,default,2.988802,2.988801939418983,2.988801939418983,-0.9145628097514233,0.7858198995480912
26,64.024676,12.255442,-0.156414,-0.122477,0.0,0.0,1000.0,0.0,17,1.626706,2.917152,3.118224,117,ok,,0.002215,default,2.917152,2.9171522064894475,2.9171522064894475,-1.5678686777403872,2.491785934519971
27,65.80649,42.826246,0.116667,0.017099,0.0,0.0,1000.0,0.0,-7,1.586884,3.020947,3.133996,117,ok,,0.002116,default,3.020947,3.0209468019660326,3.0209468019660326,-1.9241068214243082,-0.8541340863627305
28,39.078263,36.421607,-0.014235,-0.932172,0.0,0.0,1000.0,0.0,32,1.666882,3.036932,3.118621,117,ok,,0.002226,default,3.036932,3.0369318237233456,3.0369318237233456,-2.291934234099667,-0.5445890964889024
29,70.920936,26.940346,-0.230146,-0.697552,0.0,0.0,1000.0,0.0,212,1.610042,3.018625,3.132491,117,ok,,0.002075,default,3.018625,3.01862497170177,3.01862497170177,-0.7781686117112141,-0.933359885146654
30,52.092764,31.62021,0.201342,0.344979,0.0,0.0,1000.0,0.0,-4,1.51884,3.010627,3.080335,117,ok,,0.001744,default,3.010627,3.010626885990378,3.010626885990378,-1.2183290346660645,-0.5118415571874237
31,73.220335,46.47737,-0.090494,-0.263347,0.0,0.0,1000.0,0.0,16,1.535058,2.911583,3.109702,117,ok,,0.002076,default,2.911583,2.9115833719140465,2.9115833719140465,-0.6611777038766782,-2.0816523049136073
32,20.908384,5.739699,0.040518,0.662735,0.0,0.0,1000.0,0.0,0,1.717356,3.023336,3.131898,117,ok,,0.00164,default,3.023336,3.0233362688936727,3.0233362688936727,2.5000309289843017,0.5733943462898452
33,73.291537,7.040195,0.157118,0.133469,0.0,0.0,1000.0,0.0,-7,1.604066,3.055261,3.131548,117,ok,,0.001961,default,3.055261,3.055261049664273,3.055261049664273,1.7505282145610117,-1.2203614341152154
34,74.336545,29.249465,-0.273894,-0.784809,0.0,0.0,1000.0,0.0,353,1.536227,2.999506,3.123731,117,ok,,0.001569,default,2.999506,2.999505525218508,2.999505525218508,0.842135492131618,2.7342113278131954
