id,m1,m2,q0star,alpha,phi0,tc,dist,incl,k,mean_20_300,p95_20_300,max_20_300,n_20_300,status,error_code,wall_time_s,model,score,p95_20_300_circ,p95_20_300_recalc,n_jalons_total,n_jalons_used,penalty_mean
37,55.103313,37.575011,-0.197626,-0.395038,0.000000,0.000000,1000.000000,0.000000,58,1.525945,2.896479,3.088433,117,ok,,0.001937,default,2.896479,2.896479,2.896479,0,0,0.000000
38,44.090692,9.938691,0.233276,0.562063,0.000000,0.000000,1000.000000,0.000000,-2,1.561951,2.941141,3.127714,117,ok,,0.001638,default,2.941141,2.941141,2.941141,0,0,0.000000
39,65.068215,63.471424,-0.039810,-0.581441,0.000000,0.000000,1000.000000,0.000000,24,1.576574,2.966765,3.127006,117,ok,,0.001841,default,2.966765,2.966765,2.966765,0,0,0.000000
40,41.413472,16.524081,0.091788,0.492601,0.000000,0.000000,1000.000000,0.000000,-1,1.773354,2.991091,3.134970,117,ok,,0.001585,default,2.991091,2.991091,2.991091,0,0,0.000000
41,49.992262,22.352484,-0.025149,0.626347,0.000000,0.000000,1000.000000,0.000000,0,1.242178,2.369146,2.541502,117,ok,,0.001620,default,2.369146,2.369146,2.369146,0,0,0.000000
42,66.348738,15.049456,0.143986,-0.291413,0.000000,0.000000,1000.000000,0.000000,-29,1.630552,3.019366,3.077379,117,ok,,0.001812,default,3.019366,3.019366,3.019366,0,0,0.000000
43,76.781044,49.827401,-0.183002,0.318851,0.000000,0.000000,1000.000000,0.000000,4,1.528360,2.933621,3.087142,117,ok,,0.002131,default,2.933621,2.933621,2.933621,0,0,0.000000
44,38.800458,28.104137,0.285364,-0.731971,0.000000,0.000000,1000.000000,0.000000,-300,1.581477,2.930397,3.118784,117,ok,,0.001880,default,2.930397,2.930397,2.930397,0,0,0.000000
45,69.320559,29.311902,0.070034,-0.903601,0.000000,0.000000,1000.000000,0.000000,-143,1.619176,3.012430,3.136615,117,ok,,0.001632,default,3.012430,3.012430,3.012430,0,0,0.000000
46,59.091202,33.220730,-0.098918,0.052981,0.000000,0.000000,1000.000000,0.000000,6,1.539567,3.018991,3.125529,117,ok,,0.001890,default,3.018991,3.018991,3.018991,0,0,0.000000
47,75.536816,58.647349,0.209325,-0.088533,0.000000,0.000000,1000.000000,0.000000,-20,1.591155,3.023081,3.108148,117,ok,,0.002303,default,3.023081,3.023081,3.023081,0,0,0.000000
48,12.792926,8.737976,-0.259225,0.985967,0.000000,0.000000,1000.000000,0.000000,1,1.948384,3.020951,3.139213,117,ok,,0.001416,default,3.020951,3.020951,3.020951,0,0,0.000000
49,59.583349,11.856171,0.129882,-0.502835,0.000000,0.000000,1000.000000,0.000000,-57,1.582823,2.946965,3.110240,117,ok,,0.001888,default,2.946965,2.946965,2.946965,0,0,0.000000
50,79.188108,5.457941,-0.001753,0.415948,0.000000,0.000000,1000.000000,0.000000,0,0.192648,0.410966,0.450168,117,ok,,0.001403,default,0.410966,0.410966,0.410966,34,34,0.000000
51,67.949680,58.136140,0.271334,-0.442409,0.000000,0.000000,1000.000000,0.000000,-95,1.505677,2.949125,3.113162,117,ok,,0.001944,default,2.949125,2.949125,2.949125,0,0,0.000000
52,36.935645,32.835018,-0.159533,0.607482,0.000000,0.000000,1000.000000,0.000000,1,1.751271,3.011232,3.120162,117,ok,,0.001430,default,3.011232,3.011232,3.011232,0,0,0.000000
53,77.749338,42.099202,-0.075457,0.780089,0.000000,0.000000,1000.000000,0.000000,0,1.958912,3.030425,3.125241,117,ok,,0.001609,default,3.030425,3.030425,3.030425,0,0,0.000000
54,48.648104,24.792381,0.055994,-0.177516,0.000000,0.000000,1000.000000,0.000000,-7,1.515176,2.897029,3.120008,117,ok,,0.001575,default,2.897029,2.897029,2.897029,0,0,0.000000
55,69.629168,48.579934,-0.235837,0.212091,0.000000,0.000000,1000.000000,0.000000,7,1.598431,2.886397,3.114934,117,ok,,0.001670,default,2.886397,2.886397,2.886397,0,0,0.000000
56,21.045017,18.805249,0.195212,-0.861478,0.000000,0.000000,1000.000000,0.000000,-338,1.611477,3.021188,3.138949,117,ok,,0.001668,default,3.021188,3.021188,3.021188,0,0,0.000000
57,64.407929,17.500852,-0.297300,-0.010903,0.000000,0.000000,1000.000000,0.000000,21,1.502635,2.962337,3.132947,117,ok,,0.001787,default,2.962337,2.962337,2.962337,0,0,0.000000
58,61.532545,38.134076,0.171212,0.906384,0.000000,0.000000,1000.000000,0.000000,0,2.047567,3.020563,3.126860,117,ok,,0.001681,default,3.020563,3.020563,3.020563,0,0,0.000000
59,53.731938,45.012531,-0.137030,-0.949996,0.000000,0.000000,1000.000000,0.000000,334,1.696111,2.985505,3.138183,117,ok,,0.001456,default,2.985505,2.985505,2.985505,0,0,0.000000
60,33.947789,13.652959,0.031959,0.101329,0.000000,0.000000,1000.000000,0.000000,-1,1.720476,3.011442,3.114299,117,ok,,0.002873,default,3.011442,3.011442,3.011442,0,0,0.000000
61,45.092729,24.754417,0.247288,0.272471,0.000000,0.000000,1000.000000,0.000000,-6,1.617773,3.004975,3.126919,117,ok,,0.001487,default,3.004975,3.004975,3.004975,0,0,0.000000
62,54.566799,19.948275,-0.221114,-0.683638,0.000000,0.000000,1000.000000,0.000000,193,1.533875,2.961864,3.099840,117,ok,,0.001745,default,2.961864,2.961864,2.961864,0,0,0.000000
63,71.879715,71.016097,0.105874,0.703992,0.000000,0.000000,1000.000000,0.000000,-1,1.660551,2.973593,3.117691,117,ok,,0.001564,default,2.973593,2.973593,2.973593,0,0,0.000000
64,33.005897,8.232043,-0.063225,-0.371011,0.000000,0.000000,1000.000000,0.000000,17,1.539864,2.981446,3.071058,117,ok,,0.001633,default,2.981446,2.981446,2.981446,0,0,0.000000
65,62.801984,7.783351,0.084121,0.933585,0.000000,0.000000,1000.000000,0.000000,0,1.366234,2.235026,2.337553,117,ok,,0.001497,default,2.235026,2.235026,2.235026,0,0,0.000000
66,71.757591,42.083054,-0.047331,-0.016558,0.000000,0.000000,1000.000000,0.000000,3,1.579871,2.915091,3.094817,117,ok,,0.001176,default,2.915091,2.915091,2.915091,0,0,0.000000
67,55.308459,54.765528,0.242088,0.121202,0.000000,0.000000,1000.000000,0.000000,-11,1.529332,2.925737,3.116655,117,ok,,0.001563,default,2.925737,2.925737,2.925737,0,0,0.000000
68,24.305891,10.276046,-0.188961,-0.960043,0.000000,0.000000,1000.000000,0.000000,479,1.512383,2.897522,3.071873,117,ok,,0.001576,default,2.897522,2.897522,2.897522,0,0,0.000000
69,44.645598,33.206129,-0.123627,-0.663899,0.000000,0.000000,1000.000000,0.000000,100,1.585615,2.904102,2.995772,117,ok,,0.001389,default,2.904102,2.904102,2.904102,0,0,0.000000
70,45.461057,22.739870,0.008008,0.262558,0.000000,0.000000,1000.000000,0.000000,0,1.477025,2.960773,3.133489,117,ok,,0.001304,default,2.960773,2.960773,2.960773,0,0,0.000000
71,74.071063,61.981236,-0.262657,-0.343951,0.000000,0.000000,1000.000000,0.000000,63,1.474254,3.005379,3.135879,117,ok,,0.001660,default,3.005379,3.005379,3.005379,0,0,0.000000
72,28.470368,16.759358,0.168210,0.698479,0.000000,0.000000,1000.000000,0.000000,-1,1.750911,2.991314,3.121725,117,ok,,0.001064,default,2.991314,2.991314,2.991314,0,0,0.000000
73,58.252783,20.321689,-0.249240,0.424013,0.000000,0.000000,1000.000000,0.000000,4,1.530769,2.985385,3.107625,117,ok,,0.001301,default,2.985385,2.985385,2.985385,0,0,0.000000
74,70.059405,9.132971,0.219162,-0.524634,0.000000,0.000000,1000.000000,0.000000,-105,1.552734,2.957663,3.061848,117,ok,,0.000966,default,2.957663,2.957663,2.957663,0,0,0.000000
75,68.671568,49.078462,-0.110101,0.615057,0.000000,0.000000,1000.000000,0.000000,1,1.817493,3.005833,3.127119,117,ok,,0.001768,default,3.005833,3.005833,3.005833,0,0,0.000000
76,41.375995,33.869578,0.058997,-0.467622,0.000000,0.000000,1000.000000,0.000000,-23,1.537175,2.838382,3.043855,117,ok,,0.001261,default,2.838382,2.838382,2.838382,0,0,0.000000
77,77.612775,32.404660,0.293086,-0.170013,0.000000,0.000000,1000.000000,0.000000,-37,1.444066,2.989040,3.131479,117,ok,,0.001481,default,2.989040,2.989040,2.989040,0,0,0.000000
78,58.859347,27.271978,-0.175426,0.754948,0.000000,0.000000,1000.000000,0.000000,1,1.840067,3.034718,3.134461,117,ok,,0.000956,default,3.034718,3.034718,3.034718,0,0,0.000000
79,79.911436,50.497058,0.135082,-0.853493,0.000000,0.000000,1000.000000,0.000000,-227,1.486823,2.982104,3.096387,117,ok,,0.001225,default,2.982104,2.982104,2.982104,0,0,0.000000
80,14.544803,11.425934,-0.033906,0.190372,0.000000,0.000000,1000.000000,0.000000,1,1.726486,2.970921,3.124136,117,ok,,0.001009,default,2.970921,2.970921,2.970921,0,0,0.000000
81,48.974509,12.051409,0.205150,-0.298548,0.000000,0.000000,1000.000000,0.000000,-42,1.636989,2.948277,3.130433,117,ok,,0.001263,default,2.948277,2.948277,2.948277,0,0,0.000000
82,75.985484,18.410245,-0.225753,0.651122,0.000000,0.000000,1000.000000,0.000000,2,1.605876,2.966486,3.140878,117,ok,,0.000960,default,2.966486,2.966486,2.966486,0,0,0.000000
83,78.398321,59.539750,0.044912,-0.740568,0.000000,0.000000,1000.000000,0.000000,-49,1.418819,2.929596,3.131950,117,ok,,0.001549,default,2.929596,2.929596,2.929596,0,0,0.000000
84,28.570264,24.143541,-0.086687,0.341180,0.000000,0.000000,1000.000000,0.000000,2,1.671140,3.027214,3.138074,117,ok,,0.001209,default,3.027214,3.027214,3.027214,0,0,0.000000
85,67.117941,38.351910,-0.152021,0.044548,0.000000,0.000000,1000.000000,0.000000,9,1.587566,2.979086,3.116706,117,ok,,0.001316,default,2.979086,2.979086,2.979086,0,0,0.000000
86,50.569039,37.767814,0.278992,-0.881436,0.000000,0.000000,1000.000000,0.000000,-522,1.497572,2.882344,3.091048,117,ok,,0.008042,default,2.882344,2.882344,2.882344,0,0,0.000000
87,67.090255,59.078562,-0.010428,0.979003,0.000000,0.000000,1000.000000,0.000000,0,0.144455,0.231386,0.241232,117,ok,,0.007308,default,0.231386,0.231386,0.231386,34,34,0.000000
88,21.903816,5.962585,0.121061,-0.063930,0.000000,0.000000,1000.000000,0.000000,-10,1.642827,3.018822,3.135438,117,ok,,0.001774,default,3.018822,3.018822,3.018822,0,0,0.000000
89,72.549163,16.093865,-0.070792,-0.805159,0.000000,0.000000,1000.000000,0.000000,99,1.732636,2.860738,3.140457,117,ok,,0.005522,default,2.860738,2.860738,2.860738,0,0,0.000000
90,65.791564,32.336306,0.098160,0.143992,0.000000,0.000000,1000.000000,0.000000,-4,1.519999,2.985061,3.139814,117,ok,,0.001665,default,2.985061,2.985061,2.985061,0,0,0.000000
91,45.430504,44.813876,-0.212349,-0.249612,0.000000,0.000000,1000.000000,0.000000,36,1.558220,3.002964,3.133572,117,ok,,0.003664,default,3.002964,3.002964,3.002964,0,0,0.000000
92,37.144631,19.610929,0.256201,0.832594,0.000000,0.000000,1000.000000,0.000000,-1,1.848257,3.007265,3.137893,117,ok,,0.001553,default,3.007265,3.007265,3.007265,0,0,0.000000
93,53.211263,27.296751,0.022112,0.535473,0.000000,0.000000,1000.000000,0.000000,0,1.528443,3.005081,3.131359,117,ok,,0.001904,default,3.005081,3.005081,3.005081,0,0,0.000000
94,53.713778,14.173777,-0.147023,-0.389992,0.000000,0.000000,1000.000000,0.000000,42,1.530487,2.928172,3.139043,117,ok,,0.001109,default,2.928172,2.928172,2.928172,0,0,0.000000
95,74.766761,63.628411,0.182240,0.472362,0.000000,0.000000,1000.000000,0.000000,-2,1.582622,2.951403,3.111114,117,ok,,0.001242,default,2.951403,2.951403,2.951403,0,0,0.000000
96,38.913164,6.316845,-0.286126,-0.571029,0.000000,0.000000,1000.000000,0.000000,163,1.468970,2.941329,3.133790,117,ok,,0.001022,default,2.941329,2.941329,2.941329,0,0,0.000000
97,55.563705,5.016350,-0.094521,-0.100297,0.000000,0.000000,1000.000000,0.000000,9,1.669360,3.005722,3.140688,117,ok,,0.001399,default,3.005722,3.005722,3.005722,0,0,0.000000
98,73.650550,11.821478,0.073843,0.950916,0.000000,0.000000,1000.000000,0.000000,0,1.128493,1.831209,1.912856,117,ok,,0.001131,default,1.831209,1.831209,1.831209,0,0,0.000000
99,61.257797,52.523145,-0.255414,-0.907554,0.000000,0.000000,1000.000000,0.000000,529,1.592482,2.981861,3.130890,117,ok,,0.001112,default,2.981861,2.981861,2.981861,0,0,0.000000
100,41.283922,26.217163,0.213720,0.010120,0.000000,0.000000,1000.000000,0.000000,-14,1.577553,2.947004,3.129350,117,ok,,0.001205,default,2.947004,2.947004,2.947004,0,0,0.000000
101,74.884216,35.991227,0.147795,0.369739,0.000000,0.000000,1000.000000,0.000000,-3,1.548739,2.933384,3.118618,117,ok,,0.001352,default,2.933384,2.933384,2.933384,0,0,0.000000
102,43.549429,30.001110,-0.020753,-0.704672,0.000000,0.000000,1000.000000,0.000000,20,1.601002,3.021856,3.140440,117,ok,,0.001426,default,3.021856,3.021856,3.021856,0,0,0.000000
103,64.748025,43.113614,0.289759,0.685048,0.000000,0.000000,1000.000000,0.000000,-2,1.631960,3.012331,3.132599,117,ok,,0.001023,default,3.012331,3.012331,3.012331,0,0,0.000000
104,21.927675,14.866039,-0.179192,-0.271929,0.000000,0.000000,1000.000000,0.000000,33,1.516882,3.052404,3.134662,117,ok,,0.001016,default,3.052404,3.052404,3.052404,0,0,0.000000
105,69.489628,23.093269,0.229466,-0.608860,0.000000,0.000000,1000.000000,0.000000,-151,1.595862,2.882209,3.101419,117,ok,,0.001290,default,2.882209,2.882209,2.882209,0,0,0.000000
106,68.171024,35.395983,-0.202022,0.441834,0.000000,0.000000,1000.000000,0.000000,3,1.514535,2.973595,3.132577,117,ok,,0.000966,default,2.973595,2.973595,2.973595,0,0,0.000000
