q0star,DV_calc
-0.7649999999999999,9660.566865930079
-0.76,7752.187233890166
-0.7549999999999999,6974.727179245281
-0.75,6473.0864192071285
-0.7449999999999999,6101.777828914853
-0.74,5807.168935393233
-0.7349999999999999,5563.290120408706
-0.73,5355.525577100095
-0.7249999999999999,5174.810871056544
-0.72,5015.126826516322
-0.7150000000000001,4872.267779102831
-0.71,4743.17696867956
-0.7050000000000001,4625.561586047909
-0.7,4517.656980979787
-0.6950000000000001,4418.075543690828
-0.69,4325.706154365588
-0.685,4239.645134193631
-0.6799999999999999,4159.147533188237
-0.675,4083.591954844466
-0.6699999999999999,4012.454633600797
-0.665,3945.2899855276482
-0.6599999999999999,3881.715781586465
-0.655,3821.4016827650134
-0.6499999999999999,3764.0602605765202
-0.645,3709.439882248266
-0.6399999999999999,3657.319013756243
-0.635,3607.5016141424585
-0.6299999999999999,3559.8133791646073
-0.625,3514.0986527565933
-0.6199999999999999,3470.2178685363397
-0.615,3428.0454156901346
-0.6099999999999999,3387.4678473783606
-0.605,3348.382367674505
-0.5999999999999999,3310.6955465898723
-0.595,3274.3222230953966
-0.5900000000000001,3239.184564046867
-0.585,3205.211253141537
-0.5800000000000001,3172.3367889130895
-0.575,3140.500874626083
-0.5700000000000001,3109.6478859964936
-0.565,3079.726405118791
-0.56,3050.688810956439
-0.5549999999999999,3022.4909183536115
-0.55,2995.0916588300115
-0.5449999999999999,2968.4527974882308
-0.54,2942.5386812416323
-0.5349999999999999,2917.3160142968077
-0.53,2892.753657427755
-0.5249999999999999,2868.822448081674
-0.52,2845.4950387773933
-0.5149999999999999,2822.745751611283
-0.51,2800.5504469841944
-0.5049999999999999,2778.886404915718
-0.5,2757.732217526969
-0.4949999999999999,2737.06769145613
-0.49,2716.8737591276604
-0.4849999999999999,2697.1323979303065
-0.48,2677.826556474641
-0.47499999999999987,2658.9400872004817
-0.47,2640.457684690753
-0.46499999999999986,2622.3648291231007
-0.45999999999999996,2604.6477343555794
-0.45500000000000007,2587.293300199331
-0.44999999999999996,2570.2890684806925
-0.44500000000000006,2553.623182538447
-0.43999999999999995,2537.2843498399566
-0.43500000000000005,2521.2618074333373
-0.42999999999999994,2505.5452899822544
-0.42500000000000004,2490.1250001559433
-0.41999999999999993,2474.991581170012
-0.41500000000000004,2460.1360912939936
-0.4099999999999999,2445.5499801596698
-0.405,2431.2250667202975
-0.3999999999999999,2417.1535187251748
-0.395,2403.327833586791
-0.3899999999999999,2389.740820529207
-0.385,2376.385583916572
-0.3799999999999999,2363.255507669803
-0.375,2350.3442406877416
-0.3699999999999999,2337.6456831964592
-0.365,2325.1539739570703
-0.3599999999999999,2312.8634782683985
-0.355,2300.7687767062894
-0.34999999999999987,2288.8646545462475
-0.345,2277.1460918205103
-0.33999999999999986,2265.6082539647023
-0.33499999999999996,2254.2464830128597
-0.33000000000000007,2243.05628930291
-0.32499999999999996,2232.033343657727
-0.32000000000000006,2221.173470009611
-0.31499999999999995,2210.4726384385426
-0.31000000000000005,2199.926958596845
-0.30499999999999994,2189.532673494958
-0.30000000000000004,2179.286153624954
-0.29499999999999993,2169.183891400138
-0.29000000000000004,2159.2224958906972
-0.2849999999999999,2149.3986878368046
-0.28,2139.709294921938
-0.2749999999999999,2130.1512472904033
-0.27,2120.7215732941877
-0.2649999999999999,2111.417395455301
-0.26,2102.235926630736
-0.2549999999999999,2093.1744663680543
-0.25,2084.2303974404294
-0.24499999999999988,2075.401182550719
-0.24,2066.684361194853
-0.23499999999999988,2058.0775466754385
-0.22999999999999998,2049.578423257126
-0.22499999999999987,2041.184743455767
-0.21999999999999997,2032.8943254539754
-0.21499999999999986,2024.7050506361165
-0.20999999999999996,2016.6148612362292
-0.20500000000000007,2008.6217580927762
-0.19999999999999996,2000.7237985045003
-0.19500000000000006,1992.9190941820186
-0.18999999999999995,1985.205809290107
-0.18500000000000005,1977.5821585759543
-0.17999999999999994,1970.0464055789143
-0.17500000000000004,1962.59686091759
-0.16999999999999993,1955.231880650296
-0.16500000000000004,1947.949864705203
-0.15999999999999992,1940.7492553766608
-0.15500000000000003,1933.628535884421
-0.1499999999999999,1926.586228992647
-0.14500000000000002,1919.620895685793
-0.1399999999999999,1912.7311338985826
-0.135,1905.9155772974889
-0.1299999999999999,1899.172894111244
-0.125,1892.5017860080588
-0.11999999999999988,1885.900987017348
-0.11499999999999999,1879.3692624938856
-0.10999999999999988,1872.9054081224092
-0.10499999999999998,1866.5082489608305
-0.09999999999999987,1860.1766385202657
-0.09499999999999997,1853.9094578802287
-0.08999999999999986,1847.7056148373904
-0.08499999999999996,1841.564043086423
-0.08000000000000007,1835.483701431471
-0.07499999999999996,1829.4635730269301
-0.07000000000000006,1823.502664646231
-0.06499999999999995,1817.6000059774135
-0.06000000000000005,1811.7546489443375
-0.05499999999999994,1805.965667052424
-0.050000000000000044,1800.2321547578867
-0.04499999999999993,1794.5532268594568
-0.040000000000000036,1788.928017911653
-0.03499999999999992,1783.3556816587006
-0.030000000000000027,1777.835390488243
-0.02499999999999991,1772.36633490402
-0.020000000000000018,1766.9477230167533
-0.014999999999999902,1761.5787800524806
-0.010000000000000009,1756.2587478776452
-0.004999999999999893,1750.9868845402586
0.0,1745.762463826505
0.004999999999999893,1740.5847748321603
0.010000000000000231,1735.4531215482614
0.015000000000000124,1730.366822460445
0.020000000000000018,1725.3252101614419
0.02499999999999991,1720.3276309762084
0.03000000000000025,1715.3734445992084
0.03500000000000014,1710.46202374339
0.040000000000000036,1705.5927538003991
0.04499999999999993,1700.765032511618
