q0star,dchi2_smooth
-0.7649999999999999,-61897388.5713961
-0.7599999999999999,-36215228.61838736
-0.7549999999999999,-19762516.00294903
-0.7499999999999999,-10478646.518345224
-0.7449999999999999,-5715706.932163326
-0.7399999999999999,-5447712.189644798
-0.7349999999999999,-4525443.323572036
-0.7299999999999999,-3809551.3143278603
-0.7249999999999999,-3265392.6420643
-0.7199999999999999,-2843319.395349699
-0.7149999999999999,-2508316.0490971217
-0.71,-2236861.557253795
-0.705,-2012944.0146808221
-0.7,-1825395.7266736187
-0.695,-1666231.381766797
-0.69,-1529608.2225951096
-0.6849999999999999,-1411161.9015750447
-0.6799999999999999,-1307571.850374763
-0.6749999999999999,-1216269.9278355313
-0.6699999999999999,-1135240.669561039
-0.6649999999999999,-1062881.4842225993
-0.6599999999999999,-997902.9507009481
-0.6549999999999999,-939256.4894176287
-0.6499999999999999,-886081.0709131119
-0.6449999999999999,-837663.3911736589
-0.6399999999999999,-793407.7230023303
-0.6349999999999999,-752812.8200343102
-0.6299999999999999,-715454.029414312
-0.6249999999999999,-680969.2982821685
-0.6199999999999999,-649048.1239921371
-0.615,-619422.7530821114
-0.6099999999999999,-591861.1147746142
-0.605,-566161.1044778791
-0.5999999999999999,-542145.9268719006
-0.595,-519660.27720525936
-0.59,-498567.1905865905
-0.585,-478745.4273205446
-0.58,-460087.29121606005
-0.575,-442496.7997700821
-0.57,-425888.14198452723
-0.565,-410184.3725978583
-0.5599999999999999,-395316.3016467343
-0.5549999999999999,-381221.54621154116
-0.5499999999999999,-367843.7174573192
-0.5449999999999999,-355131.721044076
-0.5399999999999999,-343039.1529382968
-0.5349999999999999,-331523.77583122463
-0.5299999999999999,-320547.063927673
-0.5249999999999999,-310073.8059413541
-0.5199999999999999,-300071.7578192047
-0.5149999999999999,-290511.33809600613
-0.51,-281365.35991267255
-0.5049999999999999,-272608.79466497974
-0.49999999999999994,-264218.5630221572
-0.49499999999999994,-256173.3496967339
-0.48999999999999994,-248453.4388824494
-0.48499999999999993,-241040.56772512518
-0.4799999999999999,-233917.79556765163
-0.4749999999999999,-227069.38702726987
-0.47,-220480.70723124954
-0.46499999999999997,-214138.12776414753
-0.45999999999999996,-208028.9420729601
-0.45499999999999996,-202141.2892410846
-0.44999999999999996,-196464.08518275194
-0.44499999999999995,-190986.96043023706
-0.43999999999999995,-185700.2037898315
-0.43499999999999994,-180594.71123186083
-0.42999999999999994,-175661.93945717977
-0.42499999999999993,-170893.86364932216
-0.41999999999999993,-166282.93897939293
-0.415,-161822.0654811489
-0.41,-157504.5559575675
-0.40499999999999997,-153324.10661850235
-0.39999999999999997,-149274.77018252868
-0.39499999999999996,-145350.93120543013
-0.38999999999999996,-141547.28342355747
-0.38499999999999995,-137858.8089229816
-0.37999999999999995,-134280.75896533421
-0.37499999999999994,-130808.63631888031
-0.36999999999999994,-127438.1789589684
-0.365,-124165.3450158188
-0.36,-120986.29885986776
-0.355,-117897.39822578413
-0.35,-114895.18228596334
-0.345,-111976.3605929405
-0.33999999999999997,-109137.8028178756
-0.33499999999999996,-106376.52921915143
-0.32999999999999996,-103689.70178129143
-0.32499999999999996,-101074.61596993319
-0.31999999999999995,-98528.69305354595
-0.31499999999999995,-96049.4729470374
-0.31,-93634.60753640647
-0.305,-91281.85444719864
-0.3,-88989.07122278742
-0.295,-86754.20988143649
-0.29,-84575.31182375128
-0.285,-82450.50306453573
-0.27999999999999997,-80377.98976525156
