k,a,cs2_raw,delta_phi_raw
0.0001,0.05,0.9999990000005,0.0041779311039201045
0.0001,0.08275862068965517,0.9999990000005,0.0039017373332639535
0.0001,0.11551724137931034,0.9999990000005,0.003724306811056927
0.0001,0.1482758620689655,0.9999990000005,0.0036061275009978827
0.0001,0.18103448275862066,0.9999990000005,0.0035255066524511503
0.0001,0.21379310344827585,0.9999990000005,0.0034696061091255455
0.0001,0.24655172413793103,0.9999990000005,0.0034304076068595777
0.0001,0.27931034482758615,0.9999990000005,0.0034027036116873613
0.0001,0.31206896551724134,0.9999990000005,0.003383014358946797
0.0001,0.3448275862068965,0.9999990000005,0.003368965859090068
0.0001,0.3775862068965517,0.9999990000005,0.0033589138562767316
0.0001,0.41034482758620683,0.9999990000005,0.0033517069486894866
0.0001,0.443103448275862,0.9999990000005,0.003346532414743634
0.0001,0.4758620689655172,0.9999990000005,0.003342813274809628
0.0001,0.5086206896551724,0.9999990000005,0.0033401382040854797
0.0001,0.5413793103448276,0.9999990000005,0.003338213080226812
0.0001,0.5741379310344827,0.9999990000005,0.003336827131694939
0.0001,0.6068965517241379,0.9999990000005,0.0033358290801469913
0.0001,0.6396551724137931,0.9999990000005,0.0033351102247596537
0.0001,0.6724137931034483,0.9999990000005,0.0033345923949293635
0.0001,0.7051724137931035,0.9999990000005,0.0033342193412983375
0.0001,0.7379310344827585,0.9999990000005,0.003333950573717785
0.0001,0.7706896551724137,0.9999990000005,0.0033337569340281866
0.0001,0.8034482758620689,0.9999990000005,0.0033336174212560683
0.0001,0.8362068965517241,0.9999990000005,0.0033335169072393187
0.0001,0.8689655172413793,0.9999990000005,0.0033334444931353044
0.0001,0.9017241379310345,0.9999990000005,0.003333392326456747
0.0001,0.9344827586206896,0.9999990000005,0.003333354749301137
0.0001,0.9672413793103447,0.9999990000005,0.0033333276848998878
0.0001,1.0,0.9999990000005,0.003333308195729137
0.00010193734859388727,0.05,0.999998960878236,0.004177927017664371
0.00010193734859388727,0.08275862068965517,0.999998960878236,0.003901733517141527
0.00010193734859388727,0.11551724137931034,0.999998960878236,0.0037243031684716962
0.00010193734859388727,0.1482758620689655,0.999998960878236,0.0036061239739987637
0.00010193734859388727,0.18103448275862066,0.999998960878236,0.00352550320430383
0.00010193734859388727,0.21379310344827585,0.999998960878236,0.003469602715652135
0.00010193734859388727,0.24655172413793103,0.999998960878236,0.003430404251724531
0.00010193734859388727,0.27931034482758615,0.999998960878236,0.0034027002836483967
0.00010193734859388727,0.31206896551724134,0.999998960878236,0.0033830110501650405
0.00010193734859388727,0.3448275862068965,0.999998960878236,0.0033689625640485315
0.00010193734859388727,0.3775862068965517,0.999998960878236,0.003358910571066609
0.00010193734859388727,0.41034482758620683,0.999998960878236,0.0033517036705281145
0.00010193734859388727,0.443103448275862,0.999998960878236,0.003346529141643243
0.00010193734859388727,0.4758620689655172,0.999998960878236,0.003342810005346757
0.00010193734859388727,0.5086206896551724,0.999998960878236,0.0033401349372389633
0.00010193734859388727,0.5413793103448276,0.999998960878236,0.0033382098152631642
0.00010193734859388727,0.5741379310344827,0.999998960878236,0.003336823868086819
0.00010193734859388727,0.6068965517241379,0.999998960878236,0.0033358258175150137
0.00010193734859388727,0.6396551724137931,0.999998960878236,0.0033351069628307457
0.00010193734859388727,0.6724137931034483,0.999998960878236,0.0033345891335069227
0.00010193734859388727,0.7051724137931035,0.999998960878236,0.0033342160802407425
0.00010193734859388727,0.7379310344827585,0.999998960878236,0.003333947312923043
0.00010193734859388727,0.7706896551724137,0.999998960878236,0.0033337536734228197
0.00010193734859388727,0.8034482758620689,0.999998960878236,0.003333614160787141
0.00010193734859388727,0.8362068965517241,0.999998960878236,0.003333513646868688
0.00010193734859388727,0.8689655172413793,0.999998960878236,0.0033334412328354895
0.00010193734859388727,0.9017241379310345,0.999998960878236,0.003333389066207946
0.00010193734859388727,0.9344827586206896,0.999998960878236,0.003333351489089081
0.00010193734859388727,0.9672413793103447,0.999998960878236,0.003333324424714294
0.00010193734859388727,1.0,0.999998960878236,0.0033333049355625966
0.0001039122303835169,0.05,0.9999989202254206,0.004177922771549144
0.0001039122303835169,0.08275862068965517,0.9999989202254206,0.0039017295517275626
0.0001039122303835169,0.11551724137931034,0.9999989202254206,0.0037242993833839213
0.0001039122303835169,0.1482758620689655,0.9999989202254206,0.0036061203090189766
0.0001039122303835169,0.18103448275862066,0.9999989202254206,0.0035254996212606233
0.0001039122303835169,0.21379310344827585,0.9999989202254206,0.0034695991894217494
0.0001039122303835169,0.24655172413793103,0.9999989202254206,0.0034304007653323558
0.0001039122303835169,0.27931034482758615,0.9999989202254206,0.003402696825412336
0.0001039122303835169,0.31206896551724134,0.9999989202254206,0.0033830076119395545
0.0001039122303835169,0.3448275862068965,0.9999989202254206,0.0033689591401008002
0.0001039122303835169,0.3775862068965517,0.9999989202254206,0.003358907157334908
0.0001039122303835169,0.41034482758620683,0.9999989202254206,0.00335170026412092
0.0001039122303835169,0.443103448275862,0.9999989202254206,0.0033465257404950216
0.0001039122303835169,0.4758620689655172,0.9999989202254206,0.0033428066079783615
0.0001039122303835169,0.5086206896551724,0.9999989202254206,0.0033401315425892765
0.0001039122303835169,0.5413793103448276,0.9999989202254206,0.003338206422570007
0.0001039122303835169,0.5741379310344827,0.9999989202254206,0.0033368204768022196
0.0001039122303835169,0.6068965517241379,0.9999989202254206,0.0033358224272447444
0.0001039122303835169,0.6396551724137931,0.9999989202254206,0.003335103573291051
0.0001039122303835169,0.6724137931034483,0.9999989202254206,0.0033345857444935074
