k,d_delta_phi_dk
0.005207948328595465,-0.0004055408943739263
0.005308844442309879,-0.00041230208167021386
0.0054116952654646375,-0.0004191324780003631
0.00551653866759558,-0.00042603006990980823
0.005623413251903491,-0.0004329926356936327
0.005732358369467713,-0.00044001773411687695
0.005843414133735175,-0.00044710269274297323
0.005956621435290103,-0.0004542445958758279
0.006072021956909884,-0.00046144027211388473
0.00618965818891261,-0.0004686862815373096
0.00630957344480193,-0.00047597890253266357
0.006431811877215091,-0.0004833141182734091
0.006556418494179785,-0.0004906876028784217
0.006683439175686149,-0.0004980947072700085
0.006812920690579608,-0.0005055304447128496
0.006944910713781214,-0.000512989476452639
0.0070794578438413735,-0.000520466096456052
0.007216611620833884,-0.0005279542163648323
0.007356422544596414,-0.0005354473509066246
0.007498942093324558,-0.0005429386025279507
0.007644222742526002,-0.000550420646316194
0.00779231798434194,-0.0005578857152663439
0.007943282347242814,-0.0005653255850397644
0.008097171416105617,-0.0005727315595496483
0.00825404185268019,-0.0005800944573428378
0.008413951416451947,-0.000587404597761473
0.008576958985908946,-0.0005946517881263056
0.008743124580220732,-0.0006018253116686611
0.008912509381337459,-0.0006089139164213511
0.009085175756516862,-0.0006159058052475359
0.009261187281287938,-0.0006227886271949054
0.009440608762859227,-0.000629549470373565
0.009623506263980888,-0.0006361748565809646
0.009809947127268775,-0.0006426507379116964
0.01,-0.0006489624956004072
0.010193734859388726,-0.0006550949413681374
0.01039122303835169,-0.0006610323215607075
0.010592537251772886,-0.0006667583243825314
0.010797751623277094,-0.0006722560905412869
0.011006941712522093,-0.0006775082276415563
0.01122018454301963,-0.0006824968286748576
0.011437558630495377,-0.0006872034949682638
0.01165914401179831,-0.0006916093639649757
0.01188502227437019,-0.0006956951422200256
0.012115276586285889,-0.0006994411439980497
0.012349991726875852,-0.0007028273358642896
0.012589254117941675,-0.0007058333876584664
0.012833151855576513,-0.0007084387302364708
0.013081774742601943,-0.0007106226203528947
0.01333521432163324,-0.0007123642130380161
0.013593563908785255,-0.0007136426418025728
0.013856918628031274,-0.0007144371069679796
0.01412537544622754,-0.0007147269723801022
0.014399033208816327,-0.0007144918707151034
0.01467799267622069,-0.0007137118175216857
0.014962356560944329,-0.0007123673340744335
0.015252229565390182,-0.0007104395790262739
0.015547718420411727,-0.0007079104887641556
0.01584893192461114,-0.0007047629261395439
0.016155980984398747,-0.0007009808377067467
0.01646897865482869,-0.0006965494171042465
0.016788040181225608,-0.0006914552783746607
0.01711328304161781,-0.0006856866340515076
0.01744482698999254,-0.000679233474914367
0.01778279410038923,-0.0006720877583479599
0.018127308811846987,-0.0006642435986985737
0.018478497974222907,-0.0006556974558335521
0.018836490894898,-0.0006464483264012036
0.019201419386388013,-0.000636497929703052
0.019573417814876596,-0.0006258508854757167
0.01995262314968879,-0.0006145148885221313
0.02033917501372291,-0.0006025008710243583
0.02073321573485954,-0.0005898231494449102
0.021134890398366475,-0.0005764995544863851
0.021544346900318846,-0.0005625515462685698
0.021961736002054366,-0.0005480042940182309
0.0223872113856834,-0.0005328867328438514
0.02282092971067451,-0.0005172315986985245
0.02326305067153626,-0.0005010754173526322
0.023713737056616554,-0.0004844584582942381
0.024173154808041036,-0.00046742465229931247
0.024641473082812813,-0.00045002145207977476
0.025118864315095794,-0.0004322996526719098
0.025605504279704754,-0.000414313170942347
0.026101572156825358,-0.00039611876274259043
0.026607250597988085,-0.00037777569430315615
0.027122725793320267,-0.00035934536273620203
0.02764818754010106,-0.0003408908654558389
0.02818382931264455,-0.0003224765226394902
0.028729848333536655,-0.00030416735660440257
0.029286445646252372,-0.0002860285309731963
0.029853826189179603,-0.00026812475738387855
0.03043219887107722,-0.0002505196754583968
0.031021776647995013,-0.00023327521528701347
0.03162277660168379,-0.00021645095186730072
0.032235420019524626,-0.00020010346549544604
0.03285993247600654,-0.0001842857085044906
0.03349654391578276,-0.0001690464032198823
0.034145488738336005,-0.00015442948573318228
0.03480700588428409,-0.00014047359311378842
0.03548133892335753,-0.00012721161800556964
0.03616873614408157,-0.00011467034201778785
0.036869450645195735,-0.00010287014895667097
0.03758374042884443,-9.18248401812101e-05
0.03831186849557289,-8.154155824415164e-05
0.03905410294116381,-7.202081132370796e-05
0.039810717055349734,-6.325661240050008e-05
0.040581989422437986,-5.523672846658844e-05
0.04136820402388507,-4.794303723299001e-05
0.042169650342858224,-4.135198421855081e-05
0.042986623470822764,-3.5435128514138894e-05
0.043819424216194364,-3.0159767553853027e-05
0.0446683592150963,-2.548962448367713e-05
0.045533741044262485,-2.1385578488393445e-05
0.046415888336127774,-1.7806421266078226e-05
0.04731512589614803,-1.4709620422122463e-05
0.04823178482239304,-1.205206568009529e-05
0.049166202627456405,-9.790782733900528e-06
0.05011872336272725,-7.88359765956872e-06
0.051089697745069294,-6.289731045412997e-06
0.05207948328595465,-4.970313132860725e-06
0.053088444423098846,-3.888810093257273e-06
0.054116952654646375,-3.0113536460274814e-06
0.0551653866759558,-2.3069736339239813e-06
0.05623413251903491,-1.7477366559036292e-06
0.05732358369467713,-1.3087932674723554e-06
0.05843414133735175,-9.683428054772318e-07
0.059566214352901034,-7.075274905911856e-07
0.060720219569098836,-5.102678601368002e-07
0.061896581889126036,-3.630522496875487e-07
0.0630957344480193,-2.5469561029060497e-07
0.06431811877215085,-1.7608024975810786e-07
0.06556418494179785,-1.1988949999499455e-07
0.06683439175686148,-8.034621329324493e-08
0.06812920690579616,-5.296438119824935e-08
0.06944910713781215,-3.431975993804499e-08
0.0707945784384138,-2.1844331629135717e-08
0.07216611620833883,-1.364723021914174e-08
0.07356422544596414,-8.362218345302261e-09
0.07498942093324558,-5.021239025069881e-09
0.07644222742526002,-2.9521108902728733e-09
0.0779231798434194,-1.6977947436501952e-09
0.07943282347242814,-9.542047796438407e-10
0.08097171416105617,-5.235277587216206e-10
0.08254041852680181,-2.8007919082647926e-10
0.08413951416451948,-1.4592058539714641e-10
0.08576958985908938,-7.393086959879439e-11
0.08743124580220732,-3.6373751886095996e-11
0.08912509381337459,-1.7352762980242625e-11
0.09085175756516871,-8.01022801321197e-12
0.09261187281287937,-3.570160337835482e-12
0.09440608762859236,-1.5323681374331577e-12
0.09623506263980887,-6.313687156507115e-13
0.09809947127268774,-2.487038961885996e-13
0.1,-9.315500512186215e-14
0.10193734859388727,-3.292374144190825e-14
0.10391223038351691,-1.0850243362084634e-14
0.10592537251772886,-3.2668064268715226e-15
0.10797751623277094,-8.620264548961754e-16
0.11006941712522092,-1.7812906573043192e-16
0.1122018454301963,-1.489975780805048e-17
0.11437558630495377,1.0926444114064632e-17
0.11659144011798311,8.649852839826932e-18
0.1188502227437019,4.2480571880229575e-18
0.12115276586285889,1.7172610130509913e-18
0.12349991726875852,6.13490591265382e-19
0.12589254117941676,1.9920323155519395e-19
0.12833151855576513,5.957976934687451e-20
0.13081774742601943,1.6527319878754994e-20
0.1333521432163324,4.267294572743595e-21
0.13593563908785256,1.0272332954656272e-21
0.13856918628031273,2.30651727919558e-22
0.1412537544622754,4.829208058975083e-23
0.14399033208816325,9.41981987738514e-24
0.1467799267622069,1.709588469421014e-24
0.1496235656094433,2.882079883791719e-25
0.15252229565390182,4.50459407653951e-26
0.15547718420411727,6.51337335199527e-27
0.15848931924611143,8.69223289249211e-28
0.16155980984398746,1.0678810435112888e-28
0.1646897865482869,1.2044628863989165e-29
0.16788040181225605,1.2436007739481417e-30
0.1711328304161781,1.1717923108892787e-31
0.1744482698999254,1.0043742202257795e-32
0.1778279410038923,7.804357789131982e-34
0.18127308811846987,5.478035777819658e-35
0.18478497974222907,3.4604701268418306e-36
0.18836490894898,1.9596126218040156e-37
0.1920141938638801,9.907336035412739e-39
0.19573417814876595,4.452913484263869e-40
0.1995262314968879,1.771339895967975e-41
0.2033917501372291,6.207511857177348e-43
0.2073321573485954,1.9071927274531968e-44
0.21134890398366454,5.11151091127019e-46
0.21544346900318845,1.188798028502434e-47
0.21961736002054366,2.3861862186652498e-49
0.223872113856834,4.1103161827954685e-51
0.2282092971067451,6.040296851975318e-53
0.23263050671536262,7.526407723942921e-55
0.23713737056616552,7.901159189345393e-57
0.24173154808041036,6.941985097887451e-59
0.24641473082812812,5.0695258033548705e-61
0.25118864315095796,3.055084758341774e-63
0.25605504279704755,1.508026069974619e-65
0.2610157215682536,6.049962479858444e-68
0.26607250597988086,1.9568142427153916e-70
0.2712272579332027,5.060058877662563e-73
0.2764818754010106,1.0370085383543581e-75
0.2818382931264452,1.6691365145469704e-78
0.28729848333536656,2.090213170989675e-81
0.29286445646252374,2.0166168940984092e-84
0.298538261891796,1.4837730294883442e-87
0.3043219887107722,8.238074819504226e-91
0.31021776647995014,3.4136594262469224e-94
0.31622776601683794,1.0437222912943113e-97
0.32235420019524624,2.3267997236652426e-101
0.3285993247600654,3.735756938579761e-105
0.3349654391578276,4.264514196018603e-109
0.34145488738336005,3.415379713944681e-113
0.3480700588428409,1.8926352354675442e-117
0.3548133892335753,7.153151857607787e-122
0.36168736144081576,1.816475693336855e-126
0.36869450645195734,3.0514607150968614e-131
0.3758374042884439,3.3366598847322117e-136
0.3831186849557289,2.3353241541358027e-141
0.3905410294116381,1.0280945693976284e-146
0.3981071705534973,2.7957901440483876e-152
0.4058198942243799,4.620915207118865e-158
0.4136820402388507,4.600104232421846e-164
0.4216965034285822,2.4791566486192145e-170
0.42986623470822766,7.930766469019441e-177
0.43819424216194364,1.4361985502642661e-183
0.44668359215096304,1.4179674045111517e-190
0.4553374104426248,7.45354992001663e-198
0.46415888336127775,2.03514163338403e-205
0.4731512589614803,2.8133967725301668e-213
0.4823178482239304,1.9173748465526463e-221
0.49166202627456407,6.266211497332663e-230
0.501187233627272,9.541949112280068e-239
0.510896977450693,6.570925676033341e-248
0.5207948328595465,1.983759565272736e-257
0.5308844442309885,2.5422162178618505e-267
0.5411695265464638,1.3373237215628593e-277
0.5516538667595581,2.788888083616289e-288
0.5623413251903491,2.223688137873874e-299
0.5732358369467714,6.528711725583e-311
0.5843414133735175,9e-323
0.5956621435290104,0.0
0.6072021956909883,0.0
0.6189658188912603,0.0
0.630957344480193,0.0
0.6431811877215085,0.0
0.6556418494179785,0.0
0.6683439175686142,0.0
0.6812920690579615,0.0
0.6944910713781214,0.0
0.707945784384138,0.0
0.7216611620833884,0.0
0.7356422544596414,0.0
0.7498942093324559,0.0
0.7644222742526002,0.0
0.779231798434194,0.0
0.7943282347242814,0.0
0.8097171416105617,0.0
0.8254041852680182,0.0
0.8413951416451948,0.0
0.8576958985908937,0.0
0.8743124580220731,0.0
0.891250938133745,0.0
0.9085175756516871,0.0
0.9261187281287937,0.0
0.9440608762859236,0.0
0.9623506263980888,0.0
0.9809947127268774,0.0
1.0,0.0
1.0193734859388717,0.0
1.0391223038351691,0.0
1.0592537251772898,0.0
1.0797751623277094,0.0
1.1006941712522103,0.0
1.122018454301963,0.0
1.1437558630495388,0.0
1.165914401179831,0.0
1.188502227437019,0.0
1.2115276586285877,0.0
1.234999172687585,0.0
1.2589254117941662,0.0
1.2833151855576512,0.0
1.3081774742601928,0.0
1.333521432163324,0.0
1.3593563908785242,0.0
1.3856918628031274,0.0
1.4125375446227555,0.0
1.4399033208816328,0.0
1.4677992676220706,0.0
1.4962356560944328,0.0
1.5252229565390198,0.0
1.5547718420411727,0.0
1.584893192461114,0.0
1.6155980984398728,0.0
1.646897865482869,0.0
1.678804018122559,0.0
1.711328304161781,0.0
1.7444826989992523,0.0
1.7782794100389228,0.0
1.8127308811846967,0.0
1.8478497974222907,0.0
1.8836490894898021,0.0
1.920141938638801,0.0
1.9573417814876617,0.0
1.9952623149688788,0.0
2.0339175013722928,0.0
2.073321573485954,0.0
2.1134890398366477,0.0
2.154434690031882,0.0
2.196173600205437,0.0
2.2387211385683377,0.0
2.282092971067451,0.0
2.326305067153624,0.0
2.371373705661655,0.0
2.4173154808041013,0.0
2.464147308281281,0.0
2.5118864315095824,0.0
2.5605504279704756,0.0
2.6101572156825386,0.0
2.6607250597988084,0.0
2.7122725793320295,0.0
2.764818754010106,0.0
2.818382931264455,0.0
2.8729848333536627,0.0
2.9286445646252375,0.0
2.9853826189179573,0.0
3.043219887107722,0.0
3.1021776647994983,0.0
3.1622776601683795,0.0
3.223542001952459,0.0
3.285993247600654,0.0
3.3496543915782793,0.0
3.414548873833601,0.0
3.4807005884284132,0.0
3.5481338923357533,0.0
3.6168736144081612,0.0
3.6869450645195734,0.0
3.7583740428844434,0.0
3.831186849557285,0.0
3.905410294116381,0.0
3.981071705534969,0.0
4.058198942243799,0.0
4.136820402388503,0.0
4.216965034285822,0.0
4.2986623470822725,0.0
4.381942421619437,0.0
4.4668359215096345,0.0
4.553374104426249,0.0
4.641588833612782,0.0
4.731512589614803,0.0
4.823178482239309,0.0
4.91662026274564,0.0
5.011872336272725,0.0
5.1089697745069245,0.0
5.207948328595465,0.0
5.308844442309879,0.0
5.411695265464638,0.0
5.516538667595575,0.0
5.623413251903491,0.0
5.732358369467708,0.0
5.843414133735175,0.0
5.95662143529011,0.0
6.072021956909884,0.0
6.18965818891261,0.0
6.30957344480193,0.0
6.431811877215091,0.0
6.556418494179785,0.0
6.683439175686149,0.0
6.812920690579608,0.0
6.944910713781214,0.0
7.079457843841373,0.0
7.216611620833883,0.0
7.356422544596406,0.0
7.498942093324558,0.0
7.6442227425259945,0.0
7.79231798434194,0.0
7.943282347242821,0.0
8.097171416105617,0.0
8.25404185268019,0.0
8.413951416451948,0.0
8.576958985908945,0.0
8.743124580220732,0.0
8.91250938133746,0.0
9.085175756516861,0.0
9.261187281287938,0.0
9.440608762859226,0.0
9.623506263980888,0.0
9.809947127268764,0.0
10.0,0.0
