k,a,cs2_matrix
0.0001,0.05,0.9999990000005
0.0001,0.0827586206896551,0.9999990000005
0.0001,0.1155172413793103,0.9999990000005
0.0001,0.1482758620689655,0.9999990000005
0.0001,0.1810344827586206,0.9999990000005
0.0001,0.2137931034482758,0.9999990000005
0.0001,0.246551724137931,0.9999990000005
0.0001,0.2793103448275861,0.9999990000005
0.0001,0.3120689655172413,0.9999990000005
0.0001,0.3448275862068965,0.9999990000005
0.0001,0.3775862068965517,0.9999990000005
0.0001,0.4103448275862068,0.9999990000005
0.0001,0.443103448275862,0.9999990000005
0.0001,0.4758620689655172,0.9999990000005
0.0001,0.5086206896551724,0.9999990000005
0.0001,0.5413793103448276,0.9999990000005
0.0001,0.5741379310344827,0.9999990000005
0.0001,0.6068965517241379,0.9999990000005
0.0001,0.6396551724137931,0.9999990000005
0.0001,0.6724137931034483,0.9999990000005
0.0001,0.7051724137931035,0.9999990000005
0.0001,0.7379310344827585,0.9999990000005
0.0001,0.7706896551724137,0.9999990000005
0.0001,0.8034482758620689,0.9999990000005
0.0001,0.8362068965517241,0.9999990000005
0.0001,0.8689655172413793,0.9999990000005
0.0001,0.9017241379310345,0.9999990000005
0.0001,0.9344827586206896,0.9999990000005
0.0001,0.9672413793103448,0.9999990000005
0.0001,1.0,0.9999990000005
0.0001019373485938,0.05,0.999998960878236
0.0001019373485938,0.0827586206896551,0.999998960878236
0.0001019373485938,0.1155172413793103,0.999998960878236
0.0001019373485938,0.1482758620689655,0.999998960878236
0.0001019373485938,0.1810344827586206,0.999998960878236
0.0001019373485938,0.2137931034482758,0.999998960878236
0.0001019373485938,0.246551724137931,0.999998960878236
0.0001019373485938,0.2793103448275861,0.999998960878236
0.0001019373485938,0.3120689655172413,0.999998960878236
0.0001019373485938,0.3448275862068965,0.999998960878236
0.0001019373485938,0.3775862068965517,0.999998960878236
0.0001019373485938,0.4103448275862068,0.999998960878236
0.0001019373485938,0.443103448275862,0.999998960878236
0.0001019373485938,0.4758620689655172,0.999998960878236
0.0001019373485938,0.5086206896551724,0.999998960878236
0.0001019373485938,0.5413793103448276,0.999998960878236
0.0001019373485938,0.5741379310344827,0.999998960878236
0.0001019373485938,0.6068965517241379,0.999998960878236
0.0001019373485938,0.6396551724137931,0.999998960878236
0.0001019373485938,0.6724137931034483,0.999998960878236
0.0001019373485938,0.7051724137931035,0.999998960878236
0.0001019373485938,0.7379310344827585,0.999998960878236
0.0001019373485938,0.7706896551724137,0.999998960878236
0.0001019373485938,0.8034482758620689,0.999998960878236
0.0001019373485938,0.8362068965517241,0.999998960878236
0.0001019373485938,0.8689655172413793,0.999998960878236
0.0001019373485938,0.9017241379310345,0.999998960878236
0.0001019373485938,0.9344827586206896,0.999998960878236
0.0001019373485938,0.9672413793103448,0.999998960878236
0.0001019373485938,1.0,0.999998960878236
