T_Gyr,DH_calc,Yp_calc
1e-06,2.5313915893518298e-05,0.2514845064922957
1.023280232644729e-06,2.5313849760958044e-05,0.25148953156696957
1.047102434521453e-06,2.5313783838366186e-05,0.2514945567420527
1.0714792227999746e-06,2.531371812540779e-05,0.2514995820175471
1.0964235083807512e-06,2.5313652621747936e-05,0.2515046073934548
1.1219485027330051e-06,2.531358732705166e-05,0.2515096328697778
1.1480677248920374e-06,2.5313522240984168e-05,0.25151465844651805
1.1747950086194287e-06,2.5313457363210448e-05,0.2515196841236777
1.2021445097299555e-06,2.5313392693395572e-05,0.2515247099012586
1.2301307135890526e-06,2.5313328231204765e-05,0.2515297357792628
1.258768442784835e-06,2.53132639763031e-05,0.2515347617576923
1.2880728649787091e-06,2.5313199928355717e-05,0.2515397878365492
1.3180595009387761e-06,2.531313608702766e-05,0.25154481401583534
1.3487442327602265e-06,2.5313072451984085e-05,0.2515498402955529
1.380143312277124e-06,2.5313009022890263e-05,0.2515548666757038
1.412273369670002e-06,2.531294579941126e-05,0.25155989315629
1.4451514222738753e-06,2.5312882781212304e-05,0.2515649197373136
1.478794883591272e-06,2.531281996795854e-05,0.25156994641877656
1.513221572515115e-06,2.5312757359315108e-05,0.25157497320068095
1.5484497227662896e-06,2.531269495494732e-05,0.2515800000830286
1.5844979925509549e-06,2.5312632754520232e-05,0.2515850270658217
1.6213854744426472e-06,2.5312570757699225e-05,0.25159005414906227
1.6591317054944598e-06,2.531250896414932e-05,0.25159508133275216
1.697756677586617e-06,2.531244737353591e-05,0.25160010861689347
1.7372808480149756e-06,2.531238598552414e-05,0.2516051360014882
1.7777251503259964e-06,2.531232479977926e-05,0.2516101634865384
1.8191110054039753e-06,2.5312263815966537e-05,0.251615191072046
1.861460332816367e-06,2.5312203033751294e-05,0.251620218758013
1.9047955624232668e-06,2.5312142452798703e-05,0.2516252465444415
1.9491396462571276e-06,2.5312082072774003e-05,0.25163027443133346
1.9945160706790623e-06,2.5312021893342642e-05,0.25163530241869086
2.0409488688181216e-06,2.5311961914169816e-05,0.2516403305065157
2.0884626333002044e-06,2.5311902134920788e-05,0.2516453586948101
2.1370825292732565e-06,2.5311842555260877e-05,0.2516503869835759
2.186834307735728e-06,2.5311783174855458e-05,0.2516554153728152
2.237744319175291e-06,2.5311723993369815e-05,0.25166044386253006
2.2898395275251126e-06,2.5311665010469288e-05,0.25166547245272236
2.3431475244449935e-06,2.5311606225819177e-05,0.25167050114339423
2.397696543934999e-06,2.531154763908484e-05,0.25167552993454756
2.4535154772892685e-06,2.5311489249931694e-05,0.2516805588261845
2.5106338883980062e-06,2.5311431058025007e-05,0.2516855878183069
2.5690820294056526e-06,2.5311373063030316e-05,0.2516906169109169
2.6288908567336138e-06,2.53113152646128e-05,0.25169564610401646
2.6900920474759736e-06,2.5311257662437856e-05,0.25170067539760754
2.75271801617695e-06,2.5311200256170996e-05,0.2517057047916922
2.8168019319988862e-06,2.531114304547757e-05,0.25171073428627244
2.8823777362899485e-06,2.531108603002301e-05,0.2517157638813503
2.9494801605607654e-06,2.5311029209472625e-05,0.2517207935769277
3.0181447448796328e-06,2.5310972583491956e-05,0.25172582337300675
3.0884078566958973e-06,2.53109161517464e-05,0.2517308532695893
3.160306710101593e-06,2.5310859913901343e-05,0.2517358832666777
3.2338793855414566e-06,2.5310803869622354e-05,0.2517409133642735
3.309164849981855e-06,2.5310748018574734e-05,0.251745943562379
3.386202977549199e-06,2.5310692360424008e-05,0.2517509738609962
3.465034570648819e-06,2.5310636894835655e-05,0.251756004260127
3.545701381575552e-06,2.531058162147511e-05,0.2517610347597735
3.628246134627368e-06,2.5310526540007965e-05,0.2517660653599376
