a,D_gr,D_lss_step,D_gw_step,growth_delta_lss_percent,growth_delta_gw_percent
0.01,0.009999995788750068,0.009557139067892632,0.009999766016514323,-4.428569073555485,-0.0022977233250786803
0.012481203007518798,0.012481192777436884,0.011891428190734238,0.012480886512452927,-4.725226164031408,-0.0024538118224611744
0.014962406015037594,0.01496238486963797,0.014222532303813486,0.014962000407166425,-4.944750267223845,-0.00256952668237202
0.017443609022556393,0.017443569951749855,0.01655123274295257,0.01744310599428676,-5.115565284317102,-0.0026597621036142083
0.01992481203007519,0.01992474551025911,0.018878032210622012,0.019924201045254695,-5.25333334419831,-0.002732607069609658
0.022406015037593985,0.02240590864780343,0.02120327662825595,0.022405282849418152,-5.367477117092418,-0.002793006055302307
0.024887218045112784,0.024887056104617417,0.023527215765916792,0.024886348258618005,-5.46404658302806,-0.002844233550309923
0.027368421052631584,0.02736818420411817,0.025850036564283217,0.027367393738160654,-5.547125920054693,-0.0028882659939024973
0.029849624060150376,0.02984928890446418,0.028171882866734273,0.029848415315866718,-5.619584584070401,-0.0029266646862406267
0.032330827067669175,0.03233036579468539,0.03049286777753656,0.032329408605060866,-5.683505187717003,-0.002960652009318252
0.034812030075187975,0.03481141004865873,0.03281308176877877,0.03481036886889094,-5.740440496626636,-0.002990915238238916
0.03729323308270677,0.03729241646339582,0.035132598216099355,0.03729129096110836,-5.79157494236508,-0.0030180460109470518
0.039774436090225566,0.0397733794826821,0.0374514772400589,0.039772169316947895,-5.837829907398715,-0.003042652522732069
0.042255639097744366,0.04225429314311925,0.03976976850732515,0.04225299800739342,-5.879934205451697,-0.003065098548554545
0.044736842105263165,0.04473515107688185,0.04208751332721249,0.044733770733945105,-5.918472802559948,-0.003085589080433548
0.04721804511278196,0.04721594656820123,0.04440474612318343,0.0472144807863651,-5.953921607728763,-0.0031044211599409776
0.04969924812030076,0.0496966725236486,0.04672149571213144,0.04969512104983852,-5.986672065622497,-0.0031218867004537904
0.052180451127819556,0.052177321442259554,0.049037786120819195,0.05217568406126887,-6.017049619756029,-0.0031381085602375782
0.05466165413533835,0.05465788542562954,0.051353637417015686,0.05465616197818882,-6.045327189083801,-0.003153154256330537
0.05714285714285715,0.057138356232069074,0.053669066181969184,0.057136546551122276,-6.0717358336478355,-0.0031671911236776347
0.05962406015037595,0.05961872523966435,0.05598408606441919,0.05961682912890446,-6.096472476783242,-0.0031803946700744283
0.06210526315789474,0.0620989834228913,0.05829870811076746,0.062097000710834044,-6.119706157255642,-0.0031928253056186014
0.06458646616541354,0.06457912135635979,0.060612941063287136,0.06457705192635989,-6.141582929235788,-0.0032044876988719154
0.06706766917293233,0.0670591292635832,0.0629267916850301,0.06705697300302868,-6.162229697779859,-0.003215461605608001
0.06954887218045112,0.06953899700505203,0.06524026489720618,0.06953675376645427,-6.181757420995808,-0.0032258713734432606
0.07203007518796993,0.07201871404259386,0.06755336399401787,0.07201638367195809,-6.200263511974196,-0.0032357848466839662
0.07451127819548872,0.07449826943858472,0.06986609082593416,0.07449585183006552,-6.2178338470925905,-0.003245187488805983
0.07699248120300752,0.07697765187490023,0.07217844587655567,0.07697514695901712,-6.23454454825923,-0.0032540819602768756
0.07947368421052632,0.07945684969598822,0.0744904283854787,0.07945425737951958,-6.2504634018485055,-0.0032625462481298863
0.08195488721804511,0.08193585086304438,0.07680203649066375,0.08193317101767388,-6.26565089433414,-0.0032706627712704313
0.0844360902255639,0.08441464294251465,0.07911326726405188,0.08441187545017569,-6.2801612299337,-0.0032784505655572534
0.08691729323308271,0.0868932131062544,0.08142411678405209,0.08689035789810616,-6.294043144099891,-0.003285881654247609
0.0893984962406015,0.08937154815809138,0.08373458022033872,0.08936860519134145,-6.3073405954446455,-0.0032929571106119827
