f_Hz,abs_dphi,phi_ref
10.0,15.175358636973048,0.4130190880660489
10.23292992280754,17.712555822684173,2.546249902626366
10.471285480508996,20.649768885764036,4.2056316471643065
10.715193052376064,17.693006604368946,5.399280604756208
10.964781961431852,15.140882498396309,6.109384454455678
11.220184543019636,12.959653017991336,6.367591884675958
11.481536214968829,11.137519035379569,6.183880796730903
11.748975549395295,9.663488221018191,5.5676809566568615
12.02264434617413,8.527397569313962,4.527837113397297
12.302687708123818,7.719921480868443,3.0725871533167712
12.589254117941676,7.24380777604356,1.198312894108905
12.882495516931344,7.125516276075992,-1.1221111395313716
13.182567385564074,7.31150146277362,-3.8356124899749995
13.489628825916531,7.795553076758637,-6.936272970272306
13.803842646028851,8.616879499539422,-10.463423161596285
14.12537544622754,9.739778018891784,-14.38132332235556
14.454397707459272,10.808565708245311,-18.334104457278716
14.791083881682072,9.752218134652452,-13.967231470889491
15.13561248436208,8.758037983749603,-9.750737045996827
15.488166189124811,7.874586759286615,-5.7326063487652075
15.848931924611133,7.0445678951166855,-1.8548539851307313
16.218100973589298,6.306870264830778,1.8444243274555459
16.595869074375607,5.623976235118164,5.403635905767524
16.982436524617444,5.0012354390178615,8.818409874264757
17.378008287493753,4.445221770811543,12.083233051515517
17.78279410038923,3.9354893125196355,15.21968722714583
18.19700858609984,3.4714140579144726,18.229600951265663
18.62087136662868,3.054588014097405,21.112649244749736
19.05460717963248,2.683043849540013,23.87212305028203
19.49844599758045,2.3476549029332716,26.518523599068804
19.9526231496888,2.0461903450513717,29.055501890599153
20.417379446695296,1.7761673463094922,31.487001422872268
20.8929613085404,1.5349679850364453,33.81713642836808
21.379620895022324,1.3199266247761159,36.05009987828316
21.87761623949553,1.1283945436294118,38.19009446304312
22.3872113856834,0.9608113879349958,40.23825696825336
22.908676527677724,0.8144043422396123,42.19895514585869
23.442288153199225,0.68440980485083,44.07856228327067
23.9883291901949,0.5684773148677777,45.88104971690453
24.547089156850312,0.47182459554458944,47.60282841789744
25.118864315095795,0.3852704544368919,49.25471290245586
25.703957827688647,0.31226225065015,50.83489074966092
26.30267991895381,0.24797459655482612,52.34982105278517
26.915348039269155,0.195525775145029,53.79801531659523
27.542287033381665,0.14981900418229088,55.18619366340423
28.183829312644534,0.11097261782882129,56.51585227124346
28.84031503126606,0.08051495052740165,57.7870662537633
29.512092266663856,0.05524191537341494,59.00462998415056
30.19951720402016,0.03474013427617706,60.17053200046529
30.902954325135905,0.018472476417713324,61.28686763088013
31.6227766016838,0.005829364742311327,62.35578597415252
32.359365692962825,0.003833065955689108,63.37945014708216
33.11311214825911,0.010215708371518417,64.35905854346122
33.884415613920254,0.014217601391138146,65.2969845820296
34.673685045253166,0.017000002513384516,66.19583951365135
35.48133892335755,0.017688926075067002,67.05617379568454
36.30780547701014,0.017618250604655827,67.8807191330112
37.15352290971726,0.016086987416500165,68.6701447740064
38.01893963205613,0.014261332349704503,69.42695867976572
38.904514499428046,0.01201076536855794,70.15234282783621
39.81071705534973,0.009089502580081898,70.84733395151929
40.73802778041126,0.006061220834155279,71.51374763179503
41.68693834703355,0.003081980545772467,72.15296066424759
42.65795188015925,1.3072003767433671e-05,72.76599727932377
43.65158322401661,0.002977664972064531,73.3542607708369
44.6683592150963,0.005531634737494073,73.91915591909903
45.70881896148752,0.007864154072862561,74.46158548499038
46.77351412871981,0.009855044764009335,74.98272868232459
47.86300923226385,0.011566736547621304,75.4835490641241
48.97788193684461,0.012795024223450469,75.96524366847397
50.11872336272725,0.01363286742167702,76.42867917711865
51.28613839913648,0.014111291543812854,76.87475102605423
52.48074602497726,0.014219953676061436,77.30436290205252
53.70317963702527,0.013922415383888165,77.71841158116152
54.954087385762456,0.013167372181726478,78.11777585727381
56.23413251903491,0.012198106280081333,78.50300729222046
57.543993733715695,0.010768846841557433,78.87511410125185
58.8843655355589,0.00914819553071311,79.23455801421221
60.25595860743578,0.0072386835317104214,79.58213504454449
61.65950018614822,0.005146719362841168,79.91840590497728
63.09573444801933,0.0031989131673242355,80.24368008256477
64.56542290346556,0.001449120053536035,80.55850922896354
66.06934480075961,0.0001701281613577521,80.86353619488702
67.60829753919819,0.0017106325322941984,81.15935853707116
69.18309709189363,0.003182715215430676,81.44650323356468
70.79457843841381,0.0045338289266254606,81.72540584847273
72.44359600749898,0.005814887446163652,81.9965774446262
74.13102413009177,0.006973633721869987,82.2603985593857
75.85775750291836,0.008047905044548997,82.51731310176928
77.6247116628692,0.009011250647319002,82.76767462493595
79.43282347242814,0.009853763428537832,83.01182783458313
81.28305161640995,0.010528292836681885,83.25005549907763
83.17637711026708,0.01103865689168515,83.48266737811315
85.11380382023768,0.011364295596507645,83.70992561103185
87.09635899560806,0.011525785731464566,83.9321109837982
89.12509381337459,0.011469243115655559,84.14940809950865
91.20108393559096,0.011220362856633415,84.36206020201625
93.3254300796991,0.010769298625945112,84.57025485267454
95.49925860214358,0.010124578100374038,84.77417865637128
97.72372209558108,0.00925971670685044,84.97396469801589
100.0,0.008219249558536035,85.16979940838847
102.32929922807536,0.007001350069074874,85.36180602705319
104.71285480508996,0.005623027509031431,85.55011065353149
107.1519305237607,0.004115068022613855,85.7348380505267
109.64781961431852,0.002478061189123082,85.91606854033313
112.2018454301963,0.0007590145079632293,86.0939154960339
114.81536214968828,0.0010132487080625197,86.26846162207062
117.48975549395304,0.002818479370858995,86.43976945209823
120.22644346174133,0.004605762661014978,86.60792148129082
123.02687708123813,0.006348739945963189,86.77296584027792
125.89254117941675,0.008007534084399026,86.93495526867586
