T_Gyr,I1,I2,I3
1e-06,200215.26286503003,1e-47,-0.235111316886215
1.0232929922807535e-06,197999.77502574865,1.0471285480508983e-47,-0.235111316886215
1.0471285480508985e-06,195798.65635019125,1.096478196143183e-47,-0.235111316886215
1.0715193052376049e-06,193611.98963050926,1.1481536214968793e-47,-0.235111316886215
1.0964781961431828e-06,191439.85397562257,1.202264434617408e-47,-0.235111316886215
1.1220184543019605e-06,189282.32484309044,1.2589254117941606e-47,-0.235111316886215
1.1481536214968793e-06,187139.47407162495,1.3182567385563994e-47,-0.235111316886215
1.1748975549395255e-06,185011.36991422588,1.3803842646028755e-47,-0.235111316886215
1.202264434617408e-06,182898.07707191602,1.445439770745916e-47,-0.235111316886215
1.230268770812376e-06,180799.656728055,1.5135612484361946e-47,-0.235111316886215
1.258925411794161e-06,178716.16658321072,1.584893192461098e-47,-0.235111316886215
1.288249551693127e-06,176647.66089056648,1.6595869074375423e-47,-0.235111316886215
1.3182567385563993e-06,174594.19049184283,1.737800828749355e-47,-0.235111316886215
1.348962882591645e-06,172555.8028537139,1.8197008586099603e-47,-0.235111316886215
1.3803842646028755e-06,170532.5421046961,1.9054607179632216e-47,-0.235111316886215
1.412537544622744e-06,168524.44907248914,1.9952623149688505e-47,-0.235111316886215
1.4454397707459163e-06,166531.56132174877,2.0892961308540071e-47,-0.235111316886215
1.479108388168195e-06,164553.91319227044,2.1877616239495158e-47,-0.235111316886215
1.5135612484361947e-06,162591.5358375636,2.290867652767732e-47,-0.235111316886215
1.548816618912467e-06,160644.4572637971,2.398832919019446e-47,-0.235111316886215
1.584893192461098e-06,158712.70236909486,2.5118864315095313e-47,-0.235111316886215
1.6218100973589132e-06,156796.2929831622,2.6302679918953275e-47,-0.235111316886215
1.6595869074375427e-06,154895.247907224,2.754228703338107e-47,-0.235111316886215
1.6982436524617251e-06,153009.58295425453,2.8840315031265404e-47,-0.235111316886215
1.737800828749355e-06,151139.31098947945,3.019951720401945e-47,-0.235111316886215
1.7782794100389009e-06,149284.44197113215,3.1622776601683014e-47,-0.235111316886215
1.8197008586099601e-06,147444.98299144456,3.311311214825826e-47,-0.235111316886215
1.862087136662843e-06,145620.9383178541,3.467368504525225e-47,-0.235111316886215
1.905460717963221e-06,143812.30943440905,3.6307805477009134e-47,-0.235111316886215
1.9498445997580175e-06,142019.095083353,3.8018939632055035e-47,-0.235111316886215
1.99526231496885e-06,140241.29130687198,3.981071705534854e-47,-0.235111316886215
2.041737944669498e-06,138478.891488985,4.1686938347032265e-47,-0.235111316886215
2.0892961308540068e-06,136731.88639756222,4.365158322401523e-47,-0.235111316886215
2.1379620895021975e-06,135000.2642264522,4.570881896148602e-47,-0.235111316886215
2.1877616239495157e-06,133284.0106377018,4.786300923226222e-47,-0.235111316886215
2.238721138568301e-06,131583.10880385267,5.01187233627255e-47,-0.235111316886215
2.2908676527677324e-06,129897.53945029686,5.24807460249754e-47,-0.235111316886215
2.3442288153198794e-06,128227.28089767604,5.495408738576046e-47,-0.235111316886215
2.3988329190194456e-06,126572.30910430847,5.754399373371354e-47,-0.235111316886215
2.454708915684983e-06,124932.59770862751,6.025595860743346e-47,-0.235111316886215
2.5118864315095306e-06,123308.11807161706,6.309573444801684e-47,-0.235111316886215
2.570395782768812e-06,121698.8393192285,6.606934480075694e-47,-0.235111316886215
2.6302679918953275e-06,120104.72838476393,6.918309709189078e-47,-0.235111316886215
2.6915348039268587e-06,118525.75005121194,7.244359600749594e-47,-0.235111316886215
2.754228703338107e-06,116961.86699352098,7.585775750291511e-47,-0.235111316886215
2.8183829312643916e-06,115413.03982079688,7.943282347242464e-47,-0.235111316886215
2.884031503126541e-06,113879.22711841011,8.317637711026336e-47,-0.235111316886215
2.9512092266663176e-06,112360.38549000023,8.709635899560405e-47,-0.235111316886215
3.0199517204019447e-06,110856.4695993637,9.120108393558667e-47,-0.235111316886215
3.090295432513516e-06,109367.43221221254,9.549925860213899e-47,-0.235111316886215
3.1622776601683017e-06,107893.22423779102,9.999999999999508e-47,-0.235111316886215
3.2359365692962013e-06,106433.79477033847,1.047128548050847e-46,-0.235111316886215
3.3113112148258264e-06,104989.09113038584,1.096478196143129e-46,-0.235111316886215
3.3884415613919373e-06,103559.05890587445,1.148153621496823e-46,-0.235111316886215
3.4673685045252245e-06,102143.64199308559,1.2022644346173492e-46,-0.235111316886215
3.5481338923356585e-06,100742.78263736953,1.258925411794099e-46,-0.235111316886215
3.6307805477009137e-06,99356.42147366353,1.3182567385563347e-46,-0.235111316886215
3.7153522909716217e-06,97984.49756678814,1.3803842646028077e-46,-0.235111316886215
3.801893963205504e-06,96626.94845151088,1.4454397707458453e-46,-0.235111316886215
3.890451449942693e-06,95283.71017236856,1.5135612484361204e-46,-0.235111316886215
3.981071705534856e-06,93954.71732323733,1.5848931924610203e-46,-0.235111316886215
4.073802778041005e-06,92639.90308664175,1.6595869074374613e-46,-0.235111316886215
4.168693834703227e-06,91339.19927279338,1.7378008287492696e-46,-0.235111316886215
4.265795188015794e-06,90052.53635835036,1.819700858609871e-46,-0.235111316886215
4.365158322401522e-06,88779.84352488909,1.905460717963127e-46,-0.235111316886215
4.466835921509488e-06,87521.04869707974,1.9952623149687517e-46,-0.235111316886215
4.570881896148602e-06,86276.07858055792,2.0892961308539037e-46,-0.235111316886215
4.677351412871828e-06,85044.85869948434,2.1877616239494085e-46,-0.235111316886215
4.786300923226223e-06,83827.31343378506,2.2908676527676197e-46,-0.235111316886215
4.897788193684296e-06,82623.36605606551,2.3988329190193276e-46,-0.235111316886215
5.0118723362725505e-06,81432.9387681908,2.5118864315094074e-46,-0.235111316886215
