z,mu_obs,sigma_mu,mu_mcgt,mu_lcdm,residual_mcgt,residual_lcdm,delta_mu_vs_lcdm
0.00122,28.9987,1.51645,28.674894877716905,28.675941239671015,-0.323805122283094,-0.3227587603289841,-0.0010463619541098979
0.00122,29.0559,1.51747,28.674894877716905,28.675941239671015,-0.3810051222830957,-0.3799587603289858,-0.0010463619541098979
0.00256,30.7233,0.782372,30.285397317024223,30.2875882264531,-0.43790268297577484,-0.43571177354689894,-0.002190909428875898
0.00256,30.7449,0.799068,30.285397317024223,30.2875882264531,-0.4595026829757778,-0.4573117735469019,-0.002190909428875898
0.00299,30.7757,0.881212,30.622907175508566,30.625464242566032,-0.15279282449143494,-0.15023575743396833,-0.002557067057466611
0.00317,30.7946,0.614535,30.749995699549224,30.752705829423604,-0.044604300450775014,-0.041894170576394885,-0.0027101298743801294
0.00331,30.4604,0.594683,30.843954621776923,30.84678371161705,0.38355462177692345,0.3863837116170501,-0.0028290898401266418
0.00331,30.5528,0.580251,30.843954621776923,30.84678371161705,0.2911546217769221,0.2939837116170487,-0.0028290898401266418
0.00331,30.4013,0.578445,30.843954621776923,30.84678371161705,0.4426546217769243,0.4454837116170509,-0.0028290898401266418
0.00331,30.5107,0.578546,30.843954621776923,30.84678371161705,0.33325462177692344,0.3360837116170501,-0.0028290898401266418
0.00333,31.5011,0.591006,30.857052289018828,30.85989836692115,-0.6440477109811731,-0.6412016330788504,-0.002846077902322719
0.00349,31.7933,0.55272,30.959090027152374,30.962071951500167,-0.8342099728476242,-0.8312280484998311,-0.002981924347793097
0.00349,31.4967,0.545492,30.959090027152374,30.962071951500167,-0.5376099728476262,-0.5346280484998331,-0.002981924347793097
0.00359,31.6969,0.550993,31.02051751019693,31.02358428811047,-0.6763824898030677,-0.6733157118895292,-0.0030667779135384876
0.00384,30.9999,0.566505,31.16690739151467,31.170186129456702,0.16700739151466948,0.17028612945670218,-0.0032787379420327056
0.00407,31.3933,0.476404,31.293412912980486,31.296886442166162,-0.0998870870195141,-0.09641355783383787,-0.0034735291856762274
0.00407,31.3779,0.479276,31.293412912980486,31.296886442166162,-0.08448708701951446,-0.08101355783383823,-0.0034735291856762274
0.00432,31.499,0.514259,31.42306576592295,31.426750794802288,-0.07593423407704947,-0.07224920519771061,-0.0036850288793388586
0.00432,31.5611,0.530838,31.42306576592295,31.426750794802288,-0.1380342340770504,-0.13434920519771154,-0.0036850288793388586
0.00465,31.9309,0.442017,31.58318406350741,31.587147905320382,-0.347715936492591,-0.3437520946796191,-0.0039638418129719355
0.00465,32.033,0.420403,31.58318406350741,31.587147905320382,-0.4498159364925911,-0.44585209467961917,-0.0039638418129719355
0.00482,31.2476,0.558603,31.66129480117816,31.66540211679249,0.4136948011781598,0.41780211679249035,-0.004107315614330531
0.00483,31.1331,0.446882,31.665803518425257,31.669919270351446,0.532703518425258,0.5368192703514474,-0.004115751926189404
0.00483,31.6525,0.564724,31.665803518425257,31.669919270351446,0.01330351842525701,0.017419270351446414,-0.004115751926189404
0.00483,31.2234,0.410577,31.665803518425257,31.669919270351446,0.44240351842525527,0.4465192703514447,-0.004115751926189404
0.00483,31.34,0.562589,31.665803518425257,31.669919270351446,0.325803518425257,0.3299192703514464,-0.004115751926189404
0.00483,31.7635,0.574442,31.665803518425257,31.669919270351446,-0.09769648157474364,-0.09358072964855424,-0.004115751926189404
0.00488,31.4473,0.448264,31.68820825005902,31.692366177873875,0.2409082500590216,0.24506617787387697,-0.0041579278148553556
0.00488,31.539,0.407028,31.68820825005902,31.692366177873875,0.1492082500590186,0.15336617787387397,-0.0041579278148553556
0.00538,31.6512,0.514401,31.900433471809855,31.905012617724427,0.24923347180985544,0.253812617724428,-0.0045791459145725355
0.00548,31.7282,0.501431,31.940507509582872,31.945170792246426,0.21230750958287103,0.2169707922464248,-0.004663282663553758
0.0057,31.9117,0.469628,32.0261608134435,32.03100906414797,0.11446081344349679,0.11930906414797349,-0.004848250704476698
0.0057,31.8985,0.483668,32.0261608134435,32.03100906414797,0.127660813443498,0.1325090641479747,-0.004848250704476698
0.00571,31.6799,0.375913,32.02997534211316,32.03483199626967,0.35007534211316127,0.35493199626967353,-0.004856654156512263
0.00571,31.6292,0.385756,32.02997534211316,32.03483199626967,0.40077534211316035,0.4056319962696726,-0.004856654156512263
0.00587,31.7403,0.491367,32.09011757768878,32.095108635761086,0.3498175776887784,0.3548086357610849,-0.004991058072306487
0.00588,32.1822,0.339643,32.093821969756796,32.09882142496395,-0.08837803024320579,-0.0833785750360505,-0.004999455207155279
0.00592,32.4685,0.487055,32.10857694594878,32.11360998597142,-0.3599230540512153,-0.3548900140285767,-0.005033040022638602
0.00602,31.9404,0.344335,32.14503355987323,32.15015053580662,0.2046335598732263,0.2097505358066165,-0.005116975933390222
0.00602,32.0666,0.343707,32.14503355987323,32.15015053580662,0.07843355987322553,0.08355053580661576,-0.005116975933390222
0.00602,31.9102,0.350249,32.14503355987323,32.15015053580662,0.23483355987322696,0.23995053580661718,-0.005116975933390222
0.00616,30.9079,0.524992,32.195070453232304,32.20030487692449,1.287170453232303,1.2924048769244898,-0.0052344236921868514
0.00616,31.1857,0.452235,32.195070453232304,32.20030487692449,1.0093704532323038,1.0146048769244906,-0.0052344236921868514
0.00625,32.0667,0.32593,32.22664142744229,32.23195131511958,0.15994142744229123,0.16525131511958335,-0.005309887677292124
0.00625,32.0023,0.36156,32.22664142744229,32.23195131511958,0.22434142744229035,0.22965131511958248,-0.005309887677292124
0.00625,32.0999,0.322811,32.22664142744229,32.23195131511958,0.12674142744229044,0.13205131511958257,-0.005309887677292124
0.00625,32.0337,0.339166,32.22664142744229,32.23195131511958,0.19294142744228537,0.1982513151195775,-0.005309887677292124
0.0063,32.0754,0.533991,32.243985452441976,32.24933725165185,0.16858545244197387,0.17393725165185003,-0.005351799209876162
0.0063,32.0843,0.537335,32.243985452441976,32.24933725165185,0.15968545244197685,0.165037251651853,-0.005351799209876162
0.0063,32.0203,0.538159,32.243985452441976,32.24933725165185,0.2236854524419769,0.22903725165185307,-0.005351799209876162
0.00631,32.8333,0.562902,32.24743777465164,32.25279795506239,-0.5858622253483645,-0.5805020449376102,-0.005360180410754367
0.00634,32.4001,0.482567,32.25776208835462,32.26314741014489,-0.14233791164538445,-0.13695258985511316,-0.005385321790271291
0.00648,32.4608,0.318474,32.30530667245023,32.31080927625406,-0.1554933275497703,-0.1499907237459368,-0.005502603803833495
0.00648,32.4338,0.32229,32.30530667245023,32.31080927625406,-0.12849332754976928,-0.12299072374593578,-0.005502603803833495
0.00665,31.7321,0.531169,32.36168057013311,32.367325490266595,0.6295805701331112,0.6352254902665955,-0.005644920133484277
0.00668,31.2217,0.420706,32.371479489046926,32.37714951289712,1.149779489046928,1.1554495128971212,-0.005670023850193218
0.00673,32.3593,0.359446,32.387713888671065,32.39342574466124,0.028413888671067866,0.03412574466124596,-0.005711855990178094
0.00676,31.9733,0.415464,32.397396883250465,32.40313383410856,0.424096883250467,0.42983383410856035,-0.005736950858093337
0.00677,32.1951,0.34053,32.400615025875254,32.40636034095345,0.2055150258752576,0.21126034095345148,-0.005745315078193869
0.00677,32.1729,0.371125,32.400615025875254,32.40636034095345,0.2277150258752556,0.23346034095344947,-0.005745315078193869
0.00677,32.2048,0.34795,32.400615025875254,32.40636034095345,0.19581502587525534,0.2015603409534492,-0.005745315078193869
0.00692,32.4405,0.439634,32.44832635350984,32.45419708715778,0.00782635350984151,0.013697087157780174,-0.005870733647938664
0.0071,32.3193,0.325586,32.50423669982104,32.51025782618248,0.18493669982104421,0.19095782618248336,-0.006021126361439144
