a,q0eff_lss,q0eff_gw,geff_over_g_lss,geff_over_g_gw
5.062406015037593798e-01,-5.389729523234959054e-03,-1.000000086228294281e-06,9.924535167865174978e-01,9.999985945310823077e-01
5.087218045112782416e-01,-5.543429637304699356e-03,-1.000000088687742111e-06,9.922580249706552946e-01,9.999985979627322719e-01
5.112030075187969924e-01,-5.696098230673306978e-03,-1.000000091130683810e-06,9.920649080704305733e-01,9.999986013693676901e-01
5.136842105263158542e-01,-5.847455342933202335e-03,-1.000000093552639845e-06,9.918745320887740746e-01,9.999986047512910980e-01
5.161654135338346050e-01,-5.997230793571791709e-03,-1.000000095949286535e-06,9.916872458432591797e-01,9.999986081087999246e-01
5.186466165413534668e-01,-6.145166027049555821e-03,-1.000000098316486971e-06,9.915033786747359246e-01,9.999986114421863803e-01
5.211278195488722176e-01,-6.291015779612562503e-03,-1.000000100650316427e-06,9.913232384350867399e-01,9.999986147517379020e-01
5.236090225563910794e-01,-6.434549547175138010e-03,-1.000000102947086286e-06,9.911471097768355110e-01,9.999986180377373746e-01
5.260902255639098302e-01,-6.575552838575674311e-03,-1.000000105203364582e-06,9.909752527601383143e-01,9.999986213004626867e-01
5.285714285714285809e-01,-6.713828203663110492e-03,-1.000000107415991670e-06,9.908079017854020121e-01,9.999986245401873974e-01
5.310526315789474427e-01,-6.849196030830897834e-03,-1.000000109582093568e-06,9.906452648526773430e-01,9.999986277571804028e-01
5.335338345864661935e-01,-6.981495113611266984e-03,-1.000000111699090636e-06,9.904875231422546333e-01,9.999986309517063798e-01
5.360150375939850553e-01,-7.110582990624066124e-03,-1.000000113764703086e-06,9.903348309047709241e-01,9.999986341240254539e-01
5.384962406015038061e-01,-7.236336067414388638e-03,-1.000000115776953519e-06,9.901873156437406287e-01,9.999986372743939755e-01
5.409774436090225569e-01,-7.358649532414023552e-03,-1.000000117734164810e-06,9.900450785688830191e-01,9.999986404030638543e-01
5.434586466165414187e-01,-7.477437082353209294e-03,-1.000000119634955660e-06,9.899081952949859708e-01,9.999986435102828919e-01
5.459398496240601695e-01,-7.592630474893339448e-03,-1.000000121478234243e-06,9.897767167583609860e-01,9.999986465962952265e-01
5.484210526315790313e-01,-7.704178928036615331e-03,-1.000000123263187831e-06,9.896506703211844780e-01,9.999986496613409992e-01
5.509022556390977821e-01,-7.812048387009809872e-03,-1.000000124989271783e-06,9.895300610331453361e-01,9.999986527056564656e-01
5.533834586466166439e-01,-7.916220679853340145e-03,-1.000000126656195142e-06,9.894148730197648289e-01,9.999986557294744394e-01
5.558646616541353946e-01,-8.016692582926237404e-03,-1.000000128263906451e-06,9.893050709674138243e-01,9.999986587330237375e-01
5.583458646616541454e-01,-8.113474817030053715e-03,-1.000000129812577023e-06,9.892006016763382759e-01,9.999986617165298464e-01
