a,D_gr,D_lss,D_gw,q0_lss,q0_gw
1.861654135338346172e-01,1.856617993242111742e-01,1.734184481979102466e-01,1.856553933449500982e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.886466165413533957e-01,1.881157623342827045e-01,1.757025901658186839e-01,1.881092671489199564e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.911278195488722020e-01,1.905686431404194914e-01,1.779856737404504063e-01,1.905620588802536264e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.936090225563910083e-01,1.930204141275291274e-01,1.802676743820545990e-01,1.930137410148891064e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.960902255639097869e-01,1.954710474986518232e-01,1.825485672392004044e-01,1.954642857222203822e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.985714285714285932e-01,1.979205152033462201e-01,1.848283271487770330e-01,1.979136648650977048e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.010526315789473994e-01,2.003687889023383073e-01,1.871069286359935691e-01,2.003618499998273961e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.035338345864661780e-01,2.028158399768967279e-01,1.893843459143791652e-01,2.028088123812407662e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.060150375939849843e-01,2.052616395288327789e-01,1.916605528857829310e-01,2.052545230875582605e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.084962406015037906e-01,2.077061583805002720e-01,1.939355231896417731e-01,2.076989529733029860e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.109774436090225691e-01,2.101493670747956732e-01,1.962092303357201584e-01,2.101420726156228991e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.134586466165413754e-01,2.125912358751581299e-01,1.984816475286084458e-01,2.125838523306140260e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.159398496240601817e-01,2.150317347655693045e-01,2.007527477139917360e-01,2.150242621733204906e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
