beta,gamma_min,gamma_max
1.0,0.0,333333.0
1.0208645516493067,0.0,333332.9999920337
1.0430542972154042,0.0,333332.9999968627
1.0664331674014513,0.0,333333.00000497757
1.0910542225323516,0.0,333333.0000046434
1.1169729444050753,0.0,333332.99999362836
1.1442473635131731,0.0,333332.9999977904
1.1729381916686625,0.0,333333.0000052576
1.2031089602390965,0.0,333332.9999983649
1.234826164245406,0.0,333332.99999596045
1.2681594125785405,0.0,333333.00000386377
1.3031815846173964,0.0,333332.99999857775
1.339968993547779,0.0,333332.99999752815
1.3786015567027288,0.0,333333.0000041187
1.41916297326471,0.0,333332.9999959593
1.4617409096899427,0.0,333333.0000019908
1.5064271932375228,0.0,333291.25951089367
1.553318014003894,0.0,331475.29797255254
1.6025141358842727,0.0,330032.66797775123
1.654121116921771,0.0,330032.6678086672
1.7082495394845842,0.0,330032.6676277398
1.7650152507870602,0.0,330032.66744391364
1.8245396142675823,0.0,330032.66724335065
1.8869497723441822,0.0,330032.66704169626
1.9523789211360865,0.0,330032.66661494086
2.020966597729199,0.0,330032.6671235912
2.092858980610862,0.0,330032.66952358023
2.168209203917497,0.0,330032.6695181327
2.2471776861766406,0.0,330032.66915094625
2.3299324742497136,0.0,330032.6688767975
2.416649603216382,0.0,329784.5740137121
2.507513472981901,0.0,326797.04570175544
2.6027172423984433,0.0,326797.0450788117
2.7024632417798524,0.0,326797.0444691008
2.8069634046627505,0.0,326797.04710731626
2.9164397197701852,0.0,326797.0462968861
3.0311247041064324,0.0,326797.04554746865
3.151261898261511,0.0,326797.0445613444
3.2771063849136524,0.0,326797.04662681645
3.4089253316888417,0.0,326797.0463464218
3.5469985595185536,0.0,325332.8197443063
3.6916191377130922,0.0,323624.24878588977
3.843094007021151,0.0,323624.2474778563
4.001744632004105,0.0,323624.24596588983
4.167907684123416,0.0,323624.24766716606
4.341935756974255,0.0,323624.2471654898
4.524198115225951,0.0,320512.46115893516
4.715081478836393,0.0,320512.4621221567
4.914990844191084,0.0,320512.46279376897
5.1243503439965785,0.0,320512.4605671528
5.343604147650541,0.0,320512.46168631816
5.57321740406906,0.0,317991.12010612956
5.813677228952411,0.0,317459.945968886
6.065493738616643,0.0,317459.94376864075
6.329201132542625,0.0,317459.94476641336
6.605358826975149,0.0,314465.02009262313
6.894552641968653,0.0,314465.01764441514
7.197396044402175,0.0,314465.0182523073
7.514531449602911,0.0,314294.31215394876
7.846631584341969,0.0,311526.070217716
8.194400914095926,0.0,311526.07034795184
8.558577137603901,0.0,309707.2526140128
8.939932751892258,0.0,308641.5428390392
9.339276691088722,0.0,308641.54198425467
9.757456042503671,0.0,305809.9411543314
10.195357843620492,0.0,305809.9243913281
10.65391096380791,0.0,305809.8358600207
11.134088074747385,0.0,305809.6474107037
11.63690771375609,0.0,305809.3310708245
12.16343644438358,0.0,305808.8585741331
12.714791118865827,0.0,305808.2013790098
13.292141247236774,0.0,305807.3306857602
13.896711478120649,0.0,305806.21745291096
14.529784196488118,0.0,305804.83241254353
15.192702243828188,0.0,305803.1460847013
15.886871766600478,0.0,305801.1287909059
16.613765198922952,0.0,305798.75066681893
17.374924385868876,0.0,305795.98167408345
18.171963853986316,0.0,305792.7916113808
19.006574235978643,0.0,305789.1501247349
19.88052585681071,0.0,305785.02671709924
