z,a,D_lcdm,D_psitmg_raw,D_psitmg_calibrated,f_lcdm,f_psitmg,growth_boost_percent,growth_ratio_percent,growth_ratio_calibrated_percent
20.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.040289570014549914,1.0,1.0,0.0,0.0,-15.391902969445177
19.54298150163221,0.04867842576407649,0.048678352470007236,0.04868569788066215,0.04119204250287341,0.9998648689289756,1.0133957747377487,1.353273450168013,0.01508968624079368,-15.37913587306895
19.105431309904155,0.04973780390910535,0.049737517940615934,0.049766137438781596,0.04210618185256361,0.9997424738614711,1.0254631834805734,2.5727335080360216,0.057541066282865753,-15.343218568252144
18.686131386861316,0.05079718205413422,0.05079655413994165,0.050859301695532294,0.04303108732761858,0.9996315205093014,1.0363158289928798,3.66978308816114,0.12352718930063412,-15.287388965262574
18.283963227783456,0.051856560199163085,0.051855470246651374,0.051964209049771,0.0439659284139906,0.999530866098235,1.0460574540642102,4.6548425410409,0.20969591559464337,-15.214483245709742
17.8978978978979,0.052915938344191955,0.052914274604328446,0.05307995298223309,0.04490993812298066,0.9994395001232609,1.0547828415431888,5.5374378752393145,0.3131071514133444,-15.126988966967764
17.526987242394505,0.053975316489220826,0.05397297481985203,0.05420569494890395,0.04586240697845521,0.9993565258364708,1.0625786670542507,6.326284922676858,0.43117899250258845,-15.027090629093216
17.170356111645816,0.05503469463424969,0.05503157787631335,0.05534065834864342,0.04682267791296807,0.9992811410541499,1.0695242481798528,7.029363833645744,0.5616420321887615,-14.91670833388652
16.827195467422097,0.05609407277927856,0.05609009015292697,0.05648412322839836,0.04779014178794144,0.9992126324687216,1.0756922179580855,7.653985048248265,0.7025003425686704,-14.797530797964692
16.496756255792402,0.05715345092430743,0.05714851749339463,0.057635421471770996,0.04876423332280524,0.9991503636277868,1.0811491520779766,8.206851684711673,0.8519975665731792,-14.671044041620968
16.17834394904459,0.058212829069336294,0.05820686525654502,0.05879393282021117,0.04974442772860349,0.9990937658567419,1.0859560935842125,8.694111673590966,1.0085881812715207,-14.538555702396248
15.871313672922252,0.059272207214365165,0.059265138396421134,0.059959080958418245,0.050730237395927434,0.9990423262012872,1.0901690703491413,9.121409749910228,1.1709119066851228,-14.401216687294701
15.575065847234416,0.060331585359394035,0.060323341480206745,0.061130330429837815,0.05172120928517596,0.9989955835664539,1.093839508947018,9.493928395756026,1.3377722948186788,-14.260039288197103
15.289042277825715,0.0613909635044229,0.06138147870471198,0.06230718340938963,0.052716922196022135,0.9989531253022581,1.0970146573614223,9.816429777873038,1.5081173086932929,-14.115913613571362
15.012722646310433,0.06245034164945177,0.06243955395118792,0.06348917723539126,0.053716984679220765,0.9989145789322593,1.0997379158947826,10.093289164954774,1.681023033931146,-13.969621369790724
14.745621351125939,0.06350971979448064,0.06349757080621002,0.06467588172178264,0.05472103276253273,0.9988796088030991,1.1020491812838114,10.32852924131012,1.8556787300867603,-13.821848508918
14.487284659557014,0.0645690979395095,0.06455553261173388,0.06586689709216838,0.05572872820275752,0.9988479092707341,1.1039851181239242,10.525847616775964,2.0313742717012824,-13.673195854590425
14.237288135593221,0.06562847608453837,0.06561344246717464,0.06706185178016377,0.05673975662464783,0.998819203738123,1.105579434141164,10.688644151362556,2.2074886769029813,-13.524188807752582
13.995234312946783,0.06668785422956724,0.06667130323688646,0.06826040056224403,0.05775382594114882,0.9987932431525595,1.1068631142501202,10.820044272271245,2.383480220435215,-13.375285711835264
13.760750586395622,0.06774723237459611,0.06772911759139932,0.06946222284620071,0.05877066490529372,0.9987698005445285,1.1078646333441617,10.922920651000348,2.558877653267208,-13.226885281675665
13.53348729792148,0.06880661051962497,0.06878688800613006,0.07066702086681664,0.059790021583598654,0.9987486707613626,1.1086101676290558,10.999914201031572,2.7332721615768296,-13.079333406869102
13.3131159969674,0.06986598866465385,0.06984461680239751,0.07187451839387195,0.06081166226293116,0.9987296655878082,1.1091237568782844,11.053450707855271,2.9063107285954217,-12.932928768185727
13.09932785660941,0.07092536680968271,0.07090230615207035,0.07308445905431446,0.061835370030930495,0.9987126128815361,1.1094274905483064,11.085759430566323,3.077689599494623,-12.787928366805462
12.891832229580576,0.07198474495471158,0.07195995807756714,0.0742966051813946,0.06286094380228256,0.9986973562633705,1.1095416465005172,11.098886919243581,3.2471490621336065,-12.644551940228425
12.690355329949238,0.07304412309974045,0.0730175744614788,0.0755107365455164,0.06388819724491715,0.9986837538148732,1.1094848330811125,11.094711298045063,3.41446850628118,-12.502986142573048
12.494639027877055,0.07410350124476932,0.07407515707292427,0.07672664903550554,0.06491695766425379,0.9986716749338573,1.1092741303126374,11.074956680443087,3.579461816018796,-12.363388442976325
12.304439746300213,0.07516287938979818,0.07513270755884267,0.07794415380729584,0.06594706528292177,0.9986610011209819,1.1089251912515936,11.041203171731132,3.741973821788989,-12.225890127447974
12.11952744961779,0.07622225753482706,0.07619022747398319,0.0791630760813252,0.06697837222325956,0.9986516227834098,1.108452365267919,10.994899520463013,3.9018765344376405,-12.090599485175728
11.939684715558602,0.07728163567985592,0.07724771828267381,0.08038325419239575,0.06801074170341974,0.9986434389021877,1.1078687998783565,10.937373312765235,4.059066053249662,-11.957604424577376
11.764705882352942,0.07834101382488479,0.07830518135882154,0.08160453884780401,0.06904404740968682,0.9986363568951803,1.107186523008802,10.869839192627705,4.213459992977561,-11.826974650243114
11.594396264176117,0.07940039196991366,0.07936261798591734,0.08282679208920417,0.07007817261812978,0.9986302924905832,1.1064165444255702,10.793409006867616,4.364994743370905,-11.698763981595294
11.42857142857143,0.08045977011494251,0.0804200293744668,0.08404988657851267,0.07111300959041929,0.9986251679154918,1.1055689315931412,10.709099581465727,4.513623325283627,-11.573012166795438
11.267056530214425,0.08151914825997139,0.08147741666265045,0.08527370496523339,0.07214845903853372,0.998620911648844,1.104652875881545,10.617839361848471,4.659313535063481,-11.449746452740884
11.109685695958948,0.08257852640500027,0.0825347809190244,0.0864981390296331,0.07318442939981619,0.9986174581903908,1.1036767736139543,10.52047654103134,4.802045957445732,-11.328983266317655
10.956301456618116,0.08363790455002912,0.08359212315845785,0.08772308907386686,0.07422083632181732,0.998614746505737,1.1026482879690354,10.417785419985352,4.941812409260527,-11.210729531150017
10.806754221388369,0.084697282695058,0.08464944434213309,0.08894846344788711,0.07525760226117592,0.9986127199672696,1.1015743978756996,10.310471301808029,5.078614678648564,-11.094983734326192
