ell,delta_Cl_rel
0,0.0
1,0.0
2,-8.924805920433609e-06
3,-6.2146637501099305e-06
4,-4.006556689280826e-06
5,-2.624777727391376e-06
6,-1.8652706074101757e-06
7,-1.142295384680218e-06
8,-4.2112977576319113e-07
9,-1.2741399852215375e-07
10,-2.4718941940783476e-07
11,-4.555874375437525e-07
12,-4.1184476915188376e-07
13,-1.3912225657356698e-07
14,-5.029242380460026e-08
15,-2.2372564288894665e-07
16,-3.765242214542683e-07
17,-4.030512965247551e-07
18,-2.993803803271215e-07
19,-1.9476363684121996e-07
20,-2.0611549820422096e-07
21,-2.90767262585736e-07
22,-3.753662432771315e-07
23,-4.0803327700179985e-07
24,-3.656127660009818e-07
25,-3.118833883649016e-07
26,-3.071810473747131e-07
27,-3.255437304045881e-07
28,-3.3275140390165034e-07
29,-3.3724057347230465e-07
30,-3.4990059289367736e-07
31,-3.538516070482845e-07
32,-3.355202895664507e-07
33,-3.1989421658532887e-07
34,-3.3128284609474856e-07
35,-3.6004896246473e-07
36,-3.904682929625705e-07
37,-4.107450931027982e-07
38,-4.143697994641864e-07
39,-4.0961602845937633e-07
40,-4.077993807153618e-07
41,-4.1693488545247473e-07
42,-4.341495888743269e-07
43,-4.541708564461863e-07
44,-4.72012866574937e-07
45,-4.829674829781168e-07
46,-4.840868969852092e-07
47,-4.783231427433156e-07
48,-4.698825194193609e-07
49,-4.6273239445783985e-07
50,-4.60596938175348e-07
51,-4.656280929815896e-07
52,-4.74518400038999e-07
53,-4.828222324140782e-07
54,-4.863217751698729e-07
55,-4.81025697650917e-07
56,-4.647356808293441e-07
57,-4.417361467483375e-07
58,-4.1769849348621536e-07
59,-3.9800080193784476e-07
60,-3.877113934247233e-07
61,-3.899025882862946e-07
62,-4.0071169780308285e-07
63,-4.1480106699134956e-07
64,-4.2711271188555606e-07
65,-4.328473151301012e-07
66,-4.2884790096630687e-07
67,-4.176363670518354e-07
68,-4.0296961165859695e-07
69,-3.884143756915027e-07
70,-3.773505627396786e-07
71,-3.7222479683398834e-07
72,-3.7233936661706894e-07
73,-3.7629000299415383e-07
74,-3.8275869894238663e-07
75,-3.9049223176327133e-07
76,-3.983918522441078e-07
77,-4.0576141459747316e-07
78,-4.120015096309095e-07
79,-4.1653149690185187e-07
80,-4.188044929299196e-07
81,-4.1844183419341687e-07
82,-4.1564222985264546e-07
83,-4.1073982673219893e-07
84,-4.04049633859364e-07
85,-3.958737718271633e-07
86,-3.865395382684678e-07
87,-3.7652053541422407e-07
88,-3.6630435922543943e-07
89,-3.56350553273787e-07
90,-3.4709788329612005e-07
91,-3.3887996543169644e-07
92,-3.3168715400897535e-07
93,-3.254267457751981e-07
94,-3.200128691966681e-07
95,-3.1536039801198393e-07
96,-3.113905537808287e-07
97,-3.0802692041227654e-07
98,-3.0519543293984823e-07
99,-3.028285483192813e-07
100,-3.008573695986583e-07
101,-2.992184252569461e-07
102,-2.978501410489635e-07
103,-2.966951706055912e-07
104,-2.9569707128756e-07
105,-2.948026228793785e-07
106,-2.9396092190948863e-07
107,-2.9312329177441474e-07
108,-2.922439257649382e-07
109,-2.912768523600815e-07
110,-2.9018028577932187e-07
111,-2.8892393710061874e-07
112,-2.8751918715876747e-07
113,-2.859878166776816e-07
114,-2.84350722772928e-07
115,-2.826279538541297e-07
116,-2.808380985166152e-07
117,-2.789996423456182e-07
118,-2.771309477361992e-07
119,-2.7524838758304e-07
120,-2.7336829473280036e-07
121,-2.715063443734756e-07
122,-2.696781693388724e-07
123,-2.6789761447613076e-07
124,-2.661785583656501e-07
125,-2.6453489049462627e-07
126,-2.62978851842027e-07
127,-2.615233036739174e-07
128,-2.601800768953871e-07
129,-2.589600342557241e-07
130,-2.578746813860428e-07
131,-2.5693772031014467e-07
132,-2.561712409136694e-07
133,-2.5560112568717506e-07
134,-2.552508589645382e-07
135,-2.551440920928601e-07
136,-2.5530270459761036e-07
137,-2.55748808377789e-07
138,-2.565033186106921e-07
139,-2.5758696293407454e-07
140,-2.5901840997405777e-07
141,-2.6081764535042056e-07
142,-2.63003142140135e-07
143,-2.6559238079946404e-07
144,-2.686037766302893e-07
145,-2.7205386654120927e-07
146,-2.75960679714414e-07
147,-2.8034043732805425e-07
148,-2.852094955336424e-07
149,-2.905839037203213e-07
150,-2.964794388715138e-07
151,-3.02902957462877e-07
152,-3.0982284766415436e-07
153,-3.1720105698636e-07
154,-3.2499981754854376e-07
155,-3.3318312999239284e-07
156,-3.417150925844201e-07
157,-3.505631306167578e-07
158,-3.59693553019562e-07
159,-3.6907539353226337e-07
160,-3.786781372206063e-07
161,-3.884734487548439e-07
162,-3.9843276150860047e-07
163,-4.08528383591082e-07
164,-4.187347485482917e-07
165,-4.2902520866679964e-07
166,-4.3937516130918664e-07
167,-4.4976008807375214e-07
168,-4.6015615054642765e-07
169,-4.705401543857748e-07
170,-4.808895145727174e-07
171,-4.911829479360353e-07
172,-5.013975464408101e-07
173,-5.115138176449436e-07
174,-5.21511318106653e-07
175,-5.313692822414941e-07
176,-5.410752121942744e-07
177,-5.506413234490599e-07
178,-5.600866784374289e-07
179,-5.694284337012429e-07
180,-5.78684223414905e-07
181,-5.878722251531393e-07
182,-5.970087153489133e-07
183,-6.061105331462681e-07
184,-6.151951492142763e-07
185,-6.242781305262224e-07
186,-6.333765677414367e-07
187,-6.425056471167174e-07
188,-6.516812570720507e-07
189,-6.609200518681685e-07
190,-6.702367780709774e-07
191,-6.796469626986332e-07
192,-6.891669795059934e-07
193,-6.988122307419354e-07
194,-7.085961597624259e-07
195,-7.185349825722937e-07
196,-7.286429886381985e-07
197,-7.389344192085535e-07
198,-7.494234835688488e-07
199,-7.601274002063344e-07
200,-7.710584186261108e-07
201,-7.822289840365611e-07
202,-7.936352641297792e-07
203,-8.052719532733849e-07
204,-8.171298273028072e-07
205,-8.292052577413994e-07
206,-8.414895293318591e-07
207,-8.539774149222934e-07
208,-8.666628573561246e-07
209,-8.795343000213154e-07
210,-8.925870837384212e-07
211,-9.058132925120312e-07
212,-9.192038964616432e-07
213,-9.327522943649354e-07
214,-9.464507821332347e-07
215,-9.602929505123704e-07
216,-9.74275026606681e-07
217,-9.883909182330918e-07
218,-1.0026346316100324e-06
219,-1.0170015812313945e-06
220,-1.0314873414727296e-06
221,-1.046084930196997e-06
222,-1.0607914885972128e-06
223,-1.0756001968838928e-06
224,-1.0905042208361327e-06
225,-1.1054981363770574e-06
226,-1.1205780219098734e-06
227,-1.1357371311812107e-06
228,-1.1509701681982536e-06
229,-1.1662703496383351e-06
230,-1.1816339097427805e-06
231,-1.1970540642107155e-06
232,-1.2125239526007586e-06
233,-1.2280398411773337e-06
234,-1.2435964553805567e-06
235,-1.2591852101754282e-06
236,-1.2748040183854976e-06
237,-1.290442466584228e-06
238,-1.3060967154403774e-06
