f_Hz,phi_ref
10.0,0.4130190880660489
10.232929922807541,2.546249902626366
10.471285480508996,4.2056316471643065
10.715193052376065,5.399280604756208
10.964781961431852,6.109384454455678
11.220184543019636,6.367591884675958
11.481536214968829,6.183880796730903
11.748975549395297,5.5676809566568615
12.02264434617413,4.527837113397297
12.302687708123818,3.0725871533167712
12.589254117941675,1.198312894108905
12.882495516931343,-1.1221111395313716
13.182567385564074,-3.8356124899749995
13.489628825916533,-6.936272970272306
13.803842646028853,-10.463423161596285
14.12537544622754,-14.38132332235556
14.454397707459272,-18.334104457278716
14.791083881682072,-13.967231470889491
15.13561248436208,-9.750737045996827
15.488166189124811,-5.7326063487652075
15.848931924611133,-1.8548539851307313
16.218100973589298,1.8444243274555459
16.595869074375607,5.403635905767524
16.982436524617444,8.818409874264757
17.378008287493753,12.083233051515517
17.78279410038923,15.21968722714583
18.197008586099834,18.229600951265663
18.620871366628677,21.112649244749736
19.054607179632473,23.87212305028203
19.498445997580454,26.518523599068804
19.952623149688797,29.055501890599153
20.417379446695296,31.487001422872268
20.892961308540396,33.81713642836808
21.379620895022324,36.05009987828316
21.87761623949553,38.19009446304312
22.3872113856834,40.23825696825336
22.908676527677724,42.19895514585869
23.442288153199225,44.07856228327067
23.9883291901949,45.88104971690453
24.547089156850312,47.60282841789744
25.118864315095795,49.25471290245586
25.703957827688647,50.83489074966092
26.302679918953814,52.34982105278517
26.915348039269155,53.79801531659523
27.542287033381662,55.18619366340423
28.183829312644534,56.51585227124346
28.84031503126606,57.7870662537633
29.512092266663856,59.00462998415056
30.19951720402016,60.17053200046529
30.902954325135905,61.28686763088013
31.622776601683793,62.35578597415252
32.359365692962825,63.37945014708216
33.11311214825911,64.35905854346122
33.884415613920254,65.2969845820296
34.673685045253166,66.19583951365135
35.48133892335755,67.05617379568454
36.30780547701014,67.8807191330112
37.15352290971726,68.6701447740064
38.018939632056124,69.42695867976572
38.904514499428046,70.15234282783621
39.810717055349734,70.84733395151929
40.73802778041126,71.51374763179503
41.68693834703355,72.15296066424759
42.65795188015925,72.76599727932377
43.65158322401661,73.3542607708369
44.6683592150963,73.91915591909903
45.708818961487516,74.46158548499038
46.77351412871981,74.98272868232459
47.86300923226385,75.4835490641241
48.97788193684461,75.96524366847397
50.11872336272725,76.42867917711865
51.28613839913648,76.87475102605423
52.48074602497726,77.30436290205252
53.70317963702527,77.71841158116152
54.954087385762456,78.11777585727381
56.23413251903491,78.50300729222046
57.543993733715695,78.87511410125185
58.8843655355589,79.23455801421221
60.25595860743578,79.58213504454449
61.65950018614822,79.91840590497728
