T,P_calc,dP_dT
1e-06,0.49178706575170544,260864.90959040532
1.0233132151630174e-06,0.49780564754511347,255493.13486277603
1.047169936327272e-06,0.5038372560279775,250189.74138516712
1.0715828343651132e-06,0.5098808700327978,244954.79328321392
1.0965648755476629e-06,0.5159354617918892,239788.35468255178
1.122129328431513e-06,0.5219999973906445,234690.48970881608
1.1482897709059693e-06,0.5280734372241774,229661.26248764215
1.1750600974045922e-06,0.5341547364570018,224700.73714466539
1.2024545262848616e-06,0.5402428454854159,219808.97780552108
1.230487607379885e-06,0.5463367104022444,214986.04859584465
1.2591742297261588e-06,0.5524352734636071,210232.01364126877
1.2885296294714914e-06,0.5585374735573694,205547.06521057995
1.3185693979672835e-06,0.5646422466729366,200931.40837472488
1.3493094900494653e-06,0.5707485263720535,196385.04572539343
1.3807662325124898e-06,0.5768552442602716,191907.94361278444
1.4129563327808825e-06,0.5829613304587453,187500.03309216513
1.4458968877829511e-06,0.5890657140760264,183161.21087567852
1.4796053930313724e-06,0.5951673236795174,178891.34028826558
1.5140997519154737e-06,0.601265087766259,174690.2522265956
1.5493982852101505e-06,0.6073579352327183,170557.74611992718
1.585519740806465e-06,0.613444795843255,166493.59089185315
1.6224833036690978e-06,0.6195246006969419,162497.5259219106
1.660308606025939e-06,0.6255962826924215,158569.26200606945
1.6990157377952313e-06,0.631658776990482,154708.48231514287
1.7386252572558044e-06,0.6377110214740426,150914.84335019492
1.7791582019660656e-06,0.6437519572052411,147187.97589405096
1.8206360999375477e-06,0.6497805288793206,143527.48595805047
1.8630809810689488e-06,0.655795685275018,139932.9557232111
1.906515388846735e-06,0.6617963797011621,136403.94447500716
1.9509623923185225e-06,0.6677815704391937,132939.98953099674
1.9964455983455993e-06,0.6737502211813259,129540.60716056403
2.0429891641410897e-06,0.6797013014640685,126205.29349607587
2.090617810100424e-06,0.6856337870968489,122933.52543478295
2.139356832930932e-06,0.6915466605854607,119724.76153082884
2.189232119087522e-06,0.697438911550089,116578.4428767613
2.240270158521598e-06,0.7033095371376564,113493.99397397158
2.292498058750499e-06,0.7091575424282496,110470.8235915197
2.3459435592549497e-06,0.714981940835386,107508.32561283332
2.4006350462121553e-06,0.7207817544998949,104605.87986979989
2.4566015675723793e-06,0.7265560146771858,101762.85296380069
2.5138728484870003e-06,0.7323037621176921,98978.59907326654
2.5724793070962453e-06,0.7380240474402814,96252.46074736322
2.6324520706849902e-06,0.7437159314984321,93583.76968544468
2.6938229922152e-06,0.7493784857389838,90971.84750193966
2.756624667243797e-06,0.7550107925532777,88416.0064763662
2.820890451234933e-06,0.7606119456205106,85915.55028819514
2.8866544772758746e-06,0.7661810502431331,83469.77473631123
2.9539516742058945e-06,0.7717172236741321,81077.96844284644
3.022817785167812e-06,0.777219595436047,78739.41354118548
3.093289386592025e-06,0.7826873076315716,76453.38634796963
3.1654039076231233e-06,0.788119515245611,74219.15801894771
3.2391996499993974e-06,0.7935153864386617,72035.99518854864
3.314715808395804e-06,0.7988741028313996,69903.16059307163
3.391992491241191e-06,0.8041948597803603,67819.91367741366
3.4710707420208367e-06,0.8094768666446153,65785.51118527462
3.5519925610756227e-06,0.8147193470433441,63799.20773280242
