k, P_prim, T, P_m
2.238721138568339902e-03,2.341898896114796779e-09,9.699788464569031321e-01,2.203396565851446330e-09
2.290867652767774546e-03,2.340006920829855299e-09,9.688833143629340672e-01,2.196646108655477574e-09
2.344228815319922537e-03,2.338116474035527155e-09,9.677529166520425497e-01,2.189752947833825239e-09
2.398832919019489897e-03,2.336227554496972726e-09,9.665867951546027736e-01,2.182714117975474162e-09
2.454708915685031162e-03,2.334340160980352454e-09,9.653840817428969157e-01,2.175526655222413070e-09
2.511886431509582039e-03,2.332454292252821877e-09,9.641438986538329869e-01,2.168187600470299530e-09
2.570395782768864542e-03,2.330569947082533702e-09,9.628653588226880888e-01,2.160694002652592804e-09
2.630267991895381303e-03,2.328687124238634492e-09,9.615475662263229806e-01,2.153042922100371243e-09
2.691534803926913955e-03,2.326805822491265908e-09,9.601896162340737284e-01,2.145231433969028065e-09
2.754228703338165978e-03,2.324926040611563882e-09,9.587905959642888387e-01,2.137256631721980967e-09
2.818382931264454792e-03,2.323047777371655723e-09,9.573495846441985035e-01,2.129115630660359333e-09
2.884031503126605490e-03,2.321171031544661769e-09,9.558656539705131516e-01,2.120805571486429658e-09
2.951209226666384224e-03,2.319295801904693323e-09,9.543378684678279766e-01,2.112323623887247605e-09
3.019951720402016138e-03,2.317422087226851406e-09,9.527652858415640580e-01,2.103666990123656540e-09
3.090295432513592063e-03,2.315549886287227591e-09,9.511469573217986584e-01,2.094832908608324278e-09
3.162277660168379394e-03,2.313679197862901515e-09,9.494819279939358259e-01,2.085818657455024955e-09
3.235936569296281144e-03,2.311810020731940472e-09,9.477692371117276693e-01,2.076621557979793883e-09
3.311311214825910908e-03,2.309942353673400649e-09,9.460079183876882736e-01,2.067238978132946231e-09
3.388441561392027332e-03,2.308076195467322576e-09,9.441970002554336272e-01,2.057668335839256742e-09
3.467368504525316676e-03,2.306211544894734026e-09,9.423355060979394793e-01,2.047907102221827928e-09
3.548133892335753221e-03,2.304348400737645876e-09,9.404224544351301729e-01,2.037952804683373835e-09
3.630780547701014001e-03,2.302486761779054172e-09,9.384568590635946617e-01,2.027803029816792752e-09
3.715352290971727939e-03,2.300626626802938068e-09,9.364377291405712178e-01,2.017455426115041502e-09
3.801893963205612691e-03,2.298767994594258992e-09,9.343640692036542239e-01,2.006907706448433022e-09
3.890451449942804868e-03,2.296910863938959824e-09,9.322348791169560167e-01,1.996157650275668214e-09
3.981071705534973415e-03,2.295055233623964065e-09,9.300491539337023550e-01,1.985203105553072610e-09
4.073802778041130286e-03,2.293201102437175427e-09,9.278058836644716978e-01,1.974041990304873454e-09
4.168693834703355271e-03,2.291348469167477414e-09,9.255040529394941151e-01,1.962672293815760459e-09
4.265795188015925922e-03,2.289497332604731262e-09,9.231426405526382828e-01,1.951092077405674042e-09
4.365158322401660983e-03,2.287647691539776344e-09,9.207206188739343045e-01,1.939299474745730420e-09
4.466835921509634821e-03,2.285799544764427694e-09,9.182369531167287047e-01,1.927292691673517549e-09
4.570881896148752156e-03,2.283952891071478489e-09,9.156906004448732705e-01,1.915070005465866474e-09
4.677351412871981126e-03,2.282107729254695080e-09,9.130805089047417944e-01,1.902629763527658796e-09
4.786300923226380170e-03,2.280264058108820310e-09,9.104056161663863778e-01,1.889970381456549539e-09
4.897788193684460972e-03,2.278421876429568540e-09,9.076648480578264344e-01,1.877090340445693230e-09
5.011872336272724625e-03,2.276581183013628966e-09,9.048571168763909212e-01,1.863988183990131557e-09
5.128613839913647929e-03,2.274741976658662310e-09,9.019813194612450458e-01,1.850662513867396835e-09
5.248074602497722861e-03,2.272904256163299572e-09,8.990363350118452113e-01,1.837111985369719469e-09
5.370317963702526953e-03,2.271068020327144520e-09,8.960210226381599696e-01,1.823335301774138822e-09
5.495408738576248141e-03,2.269233267950767895e-09,8.929342186301985063e-01,1.809331208048314090e-09
5.623413251903490971e-03,2.267399997835711962e-09,8.897747334368485417e-01,1.795098483804388084e-09
5.754399373371566623e-03,2.265568208784486372e-09,8.865413483474043899e-01,1.780635935531352238e-09
5.888436553555889859e-03,2.263737899600566512e-09,8.832328118736542111e-01,1.765942388158617065e-09
6.025595860743580487e-03,2.261909069088398050e-09,8.798478358362207263e-01,1.751016676030551024e-09
6.165950018614822260e-03,2.260081716053388665e-09,8.763850911662464105e-01,1.735857633404209730e-09
6.309573444801930275e-03,2.258255839301914254e-09,8.728432034427768826e-01,1.720464084621244101e-09
6.456542290346555836e-03,2.256431437641311892e-09,8.692207481976089722e-01,1.704834834150506941e-09
6.606934480075964296e-03,2.254608509879885221e-09,8.655162460332663787e-01,1.688968656751160088e-09
6.760829753919818386e-03,2.252787054826899062e-09,8.617281576164759205e-01,1.672864288067483199e-09
6.918309709189362708e-03,2.250967071292580249e-09,8.578548786293827000e-01,1.656520416036829199e-09
7.079457843841380389e-03,2.249148558088116801e-09,8.538947347840758484e-01,1.639935673571370669e-09
7.244359600749906113e-03,2.247331514025658332e-09,8.498459770330755170e-01,1.623108633062480387e-09
7.413102413009176744e-03,2.245515937918311919e-09,8.457067771394478628e-01,1.606037803353217829e-09
