file,status,reason,elapsed_sec,out_path,out_size
zz-scripts/chapter05/plot_fig02_dh_model_vs_obs.py,OK,,0.03,zz-out/pass14_run/zz-scripts/chapter05/plot_fig02_dh_model_vs_obs.out,0
zz-scripts/chapter05/plot_fig03_yp_model_vs_obs.py,OK,,0.97,zz-out/pass14_run/zz-scripts/chapter05/plot_fig03_yp_model_vs_obs.out,0
zz-scripts/chapter05/plot_fig04_chi2_vs_T.py,FAIL,SyntaxError: invalid syntax,0.02,zz-out/pass14_run/zz-scripts/chapter05/plot_fig04_chi2_vs_T.out,0
zz-scripts/chapter06/generate_data_chapter06.py,FAIL,ModuleNotFoundError: No module named 'camb',0.04,zz-out/pass14_run/zz-scripts/chapter06/generate_data_chapter06.out,0
zz-scripts/chapter06/generate_pdot_plateau_vs_z.py,FAIL,ImportError: cannot import name 'H0KM_S_PER_MPC' from 'mcgt.constants' (/home/jplal/MCGT/mcgt/constants.py). Did you mean: 'H0_KM_S_PER_MPC'?,0.13,zz-out/pass14_run/zz-scripts/chapter06/generate_pdot_plateau_vs_z.out,0
zz-scripts/chapter06/plot_fig01_cmb_dataflow_diagram.py,FAIL,SyntaxError: invalid syntax,0.02,zz-out/pass14_run/zz-scripts/chapter06/plot_fig01_cmb_dataflow_diagram.out,0
zz-scripts/chapter06/plot_fig02_cls_lcdm_vs_mcgt.py,FAIL,TypeError: expected str, bytes or os.PathLike object, not NoneType,1.47,zz-out/pass14_run/zz-scripts/chapter06/plot_fig02_cls_lcdm_vs_mcgt.out,0
zz-scripts/chapter06/plot_fig03_delta_cls_relative.py,OK,,1.00,zz-out/pass14_run/zz-scripts/chapter06/plot_fig03_delta_cls_relative.out,0
zz-scripts/chapter06/plot_fig04_delta_rs_vs_params.py,FAIL,ValueError: I/O operation on closed file.,0.59,zz-out/pass14_run/zz-scripts/chapter06/plot_fig04_delta_rs_vs_params.out,0
zz-scripts/chapter06/plot_fig05_delta_chi2_heatmap.py,FAIL,SyntaxError: '(' was never closed,0.02,zz-out/pass14_run/zz-scripts/chapter06/plot_fig05_delta_chi2_heatmap.out,0
zz-scripts/chapter07/generate_data_chapter07.py,FAIL,ModuleNotFoundError: No module named 'mcgt.perturbations_scalaires',0.41,zz-out/pass14_run/zz-scripts/chapter07/generate_data_chapter07.out,0
zz-scripts/chapter07/launch_scalar_perturbations_solver.py,FAIL,ImportError: Impossible d'importer compute_cs2 / compute_delta_phi depuis mcgt. Vérifiez l'installation du package mcgt.,0.39,zz-out/pass14_run/zz-scripts/chapter07/launch_scalar_perturbations_solver.out,0
zz-scripts/chapter07/plot_fig01_cs2_heatmap.py,OK,,0.62,zz-out/pass14_run/zz-scripts/chapter07/plot_fig01_cs2_heatmap.out,0
zz-scripts/chapter07/plot_fig02_delta_phi_heatmap.py,OK,,0.61,zz-out/pass14_run/zz-scripts/chapter07/plot_fig02_delta_phi_heatmap.out,0
zz-scripts/chapter07/plot_fig03_invariant_I1.py,FAIL,TypeError: Value after * must be an iterable, not float,0.75,zz-out/pass14_run/zz-scripts/chapter07/plot_fig03_invariant_I1.out,0
zz-scripts/chapter07/plot_fig04_dcs2_vs_k.py,FAIL,NameError: name 'plt' is not defined,0.03,zz-out/pass14_run/zz-scripts/chapter07/plot_fig04_dcs2_vs_k.out,0
zz-scripts/chapter07/plot_fig05_ddelta_phi_vs_k.py,FAIL,SyntaxError: invalid syntax,0.02,zz-out/pass14_run/zz-scripts/chapter07/plot_fig05_ddelta_phi_vs_k.out,0
zz-scripts/chapter07/plot_fig06_comparison.py,OK,,0.44,zz-out/pass14_run/zz-scripts/chapter07/plot_fig06_comparison.out,49
zz-scripts/chapter07/plot_fig07_invariant_I2.py,OK,,1.24,zz-out/pass14_run/zz-scripts/chapter07/plot_fig07_invariant_I2.out,0
zz-scripts/chapter07/tests/test_chapter07.py,FAIL,Skipped: missing 07_phase_run.csv (chapter07); skipping data-dependent tests,0.12,zz-out/pass14_run/zz-scripts/chapter07/tests/test_chapter07.out,0
zz-scripts/chapter07/utils/test_kgrid.py,OK,,0.10,zz-out/pass14_run/zz-scripts/chapter07/utils/test_kgrid.out,62
zz-scripts/chapter07/utils/toy_model.py,OK,,2.70,zz-out/pass14_run/zz-scripts/chapter07/utils/toy_model.out,0
zz-scripts/chapter08/generate_coupling_milestones.py,FAIL,TypeError: concat() missing 1 required positional argument: 'objs',0.33,zz-out/pass14_run/zz-scripts/chapter08/generate_coupling_milestones.out,0
zz-scripts/chapter08/generate_data_chapter08.py,NEEDS_INPUT,generate_data_chapter08.py: error: the following arguments are required: --q0star_min, --q0star_max, --n_points,0.73,zz-out/pass14_run/zz-scripts/chapter08/generate_data_chapter08.out,0
zz-scripts/chapter08/plot_fig01_chi2_total_vs_q0.py,OK,,0.99,zz-out/pass14_run/zz-scripts/chapter08/plot_fig01_chi2_total_vs_q0.out,94
zz-scripts/chapter08/plot_fig02_dv_vs_z.py,OK,,1.05,zz-out/pass14_run/zz-scripts/chapter08/plot_fig02_dv_vs_z.out,76
