event,f_Hz,phi_ref_at_fpeak,phi_mcgt_at_fpeak,phi_mcgt_at_fpeak_raw,phi_mcgt_at_fpeak_cal,obs_phase,sigma_phase,epsilon_rel,classe,variant,_abs_phase_diff_rad,_z_score,flag,flag_reason
GW191103_012549-v1,223.293664,1.5704753034235046,2.147010415639837,6.516732081166858,2.147010415639837,1.6521898543775828,0.08260949271887914,0.2994937657746748,ordre2,calibrated,3.0647967592761844,0.6475138945090868,OK,
GW191105_143521-v1,239.472808,1.5739044243399638,2.223786302195944,6.846653509981835,2.223786302195944,1.6309804400010108,0.08154902200005056,0.3634659543768444,ordre2,calibrated,2.549347438485622,0.5456166792390241,OK,
GW191109_010717-v1,39.18074,1.2280867490539376,1.1989696602296522,2.687984782638807,1.1989696602296522,1.6214444147246045,0.016214444147246047,-0.2605545713799309,primaire,calibrated,0.9267208453319711,0.9975260237740039,OK,
GW191113_071753-v1,123.502111,1.5149428188769922,1.5766506244650262,4.384992602844211,1.5766506244650262,2.9302722680303597,0.146513613401518,-0.4619439832719698,ordre2,calibrated,2.158583547700413,0.2571391778012209,OK,
GW191126_115259-v1,216.548098,1.5686294887951975,2.1137719988878603,6.377949764013661,2.1137719988878603,1.636815931003401,0.08184079655017004,0.291392611014041,ordre2,calibrated,2.194828474216351,0.46806708886460857,OK,
GW191127_050227-v1,53.316677,1.3541573306881665,1.1641654169708504,2.8743572244507494,1.1641654169708504,2.0517169841800675,0.10258584920900339,-0.432589667119177,ordre2,calibrated,0.5874764438732818,0.09994944042044887,OK,
GW191129_134029-v1,250.644595,1.5753863807626476,2.2745054531992253,7.072171035863021,2.2745054531992253,1.6836307451904795,0.08418153725952401,0.3509526715977715,ordre2,calibrated,2.438700454028062,0.505613864729642,OK,
GW191204_110529-v1,95.007095,1.4787827340762376,1.3867981225394406,3.7492953592564464,1.3867981225394406,1.624826267214823,0.08124131336074115,-0.1464945203547181,ordre2,calibrated,1.0716374808696116,0.23022279743191287,OK,
GW191204_171526-v1,216.993239,1.56875891921308,2.115989334229848,6.387131958548859,2.115989334229848,1.6461385126881265,0.08230692563440632,0.2854260549280634,ordre2,calibrated,1.7877278463767254,0.37909005601125434,OK,
GW191215_223052-v1,102.464802,1.4900314069193186,1.4366979111097238,3.915881499250685,1.4366979111097238,1.6136239076825027,0.08068119538412515,-0.1096451259369856,ordre2,calibrated,2.4292577245928726,0.5255071577929744,OK,
GW191216_213338-v1,219.508621,1.5694715644062907,2.1284601611483964,6.438959486933085,2.1284601611483964,1.696273347804877,0.08481366739024387,0.25478606611535,ordre2,calibrated,0.3702608629263864,0.07619374740166236,OK,
GW191219_163120-v1,144.918076,1.5334559029788195,1.7135456782645755,4.856970654416819,1.7135456782645755,10.553626463042946,0.5276813231521473,-0.8376344203326572,ordre2,calibrated,2.4386903590492572,0.0806607593154854,OK,
GW191222_033537-v1,54.873553,1.36296364491697,1.167315175829101,2.901866505620552,1.167315175829101,1.6051900696861015,0.08025950348430509,-0.272786944129693,ordre2,calibrated,0.04435785597331687,0.009646093013909661,OK,
GW191230_180458-v1,51.348992,1.3421120275191096,1.1614419232785547,2.840846521848041,1.1614419232785547,1.6107239261037472,0.08053619630518735,-0.2789317247630268,ordre2,calibrated,0.6092213443499048,0.1320265771186803,OK,
