f_Hz,phi_ref,phi_mcgt,phi_mcgt_raw,phi_mcgt_cal
10.0,0.4130190880660489,334.23685148461556,388.5806599446426,334.23685148461556
10.23292992280754,2.546249902626366,322.84898606193354,377.08561619248695,322.84898606193354
10.471285480508996,4.2056316471643065,311.88286572112935,366.009821018208,311.88286572112935
10.715193052376064,5.399280604756208,301.32328186072317,355.3380076692776,301.32328186072317
10.964781961431852,6.109384454455678,291.15558992378993,345.05547208321025,291.15558992378993
11.220184543019636,6.367591884675958,281.36568862186516,335.14805207991856,281.36568862186516
11.481536214968829,6.183880796730903,271.93999993419766,325.6021073286804,271.93999993419766
11.748975549395295,5.5676809566568615,262.86544985343653,316.4045000607881,262.86544985343653
12.02264434617413,4.527837113397297,254.12944984991043,307.5425765000209,254.12944984991043
12.302687708123818,3.0725871533167712,245.71987902771355,299.0041489841362,245.71987902771355
12.589254117941676,1.198312894108905,237.6250669468097,290.7774787515731,237.6250669468097
12.882495516931344,-1.1221111395313716,229.83377708633375,282.8512593685291,229.83377708633375
13.182567385564074,-3.835612489975,222.33519092520498,275.2146007725047,222.33519092520498
13.489628825916531,-6.936272970272306,215.11889261705824,267.8570139093021,215.11889261705824
13.803842646028851,-10.463423161596284,208.17485423736196,260.7683959413277,208.17485423736196
14.12537544622754,-14.38132332235556,201.49342158142713,253.93901600588103,201.49342158142713
14.454397707459272,-18.33410445727872,195.0653004927979,247.35950150290034,195.0653004927979
14.791083881682072,-13.967231470889493,188.88154370230117,241.0208248924203,188.88154370230117
15.13561248436208,-9.750737045996829,182.93353815875673,234.91429098272155,182.93353815875673
15.488166189124811,-5.732606348765208,177.2129928330691,229.0315246908705,177.2129928330691
15.848931924611133,-1.8548539851307315,171.71192697810991,223.36445925803525,171.71192697810991
16.218100973589298,1.8444243274555456,166.42265882745338,217.90532490261657,166.42265882745338
16.595869074375607,5.403635905767524,161.3377947166683,212.6466378948731,161.3377947166683
16.982436524617444,8.818409874264757,156.45021861147973,207.58119003732904,156.45021861147973
17.378008287493753,12.083233051515515,151.75308202769915,202.7020385358384,151.75308202769915
17.78279410038923,15.21968722714583,147.23979432839482,198.00249624675078,147.23979432839482
18.197008586099837,18.229600951265663,142.904013384312,193.47612228616262,142.904013384312
18.62087136662868,21.112649244749736,138.73963658408482,189.11671298776787,138.73963658408482
19.054607179632477,23.87212305028203,134.7407921812798,184.91829319632097,134.7407921812798
19.49844599758045,26.518523599068804,130.90183096580478,180.87510788421702,130.90183096580478
19.9526231496888,29.055501890599157,127.21731824767757,176.98161407915453,127.21731824767757
20.417379446695296,31.487001422872268,123.68202614160687,173.23247309130375,123.68202614160687
20.8929613085404,33.81713642836808,120.29092614126489,169.62254302882914,120.29092614126489
21.379620895022324,36.05009987828316,117.03918197255449,166.14687159103806,117.03918197255449
21.87761623949553,38.19009446304312,113.92214271557187,162.80068912882462,113.92214271557187
22.3872113856834,40.23825696825336,110.93533618535365,159.57940196246494,110.93533618535365
22.908676527677724,42.19895514585869,108.0744625618719,156.47858594719412,108.0744625618719
23.442288153199225,44.07856228327067,105.33538826009521,153.49398027734858,105.33538826009521
23.9883291901949,45.88104971690453,102.71414003128407,150.62148152020748,102.71414003128407
24.547089156850312,47.60282841789744,100.20689928701529,147.8571378709918,100.20689928701529
25.118864315095795,49.25471290245586,97.80999663775759,145.19714362080694,97.80999663775759
25.703957827688647,50.83489074966092,95.51990663811871,142.63783382961134,95.51990663811871
26.30267991895381,52.34982105278517,93.33324273119302,140.1756791966024,93.33324273119302
26.915348039269155,53.79801531659523,91.24675238471103,137.80728112068107,91.24675238471103
27.542287033381665,55.18619366340423,89.25731241197875,135.52936694394373,89.25731241197875
28.183829312644534,56.51585227124346,87.36192447085062,133.33878537140347,87.36192447085062
28.84031503126606,57.7870662537633,85.5577107342398,131.2325020604027,85.5577107342398
29.512092266663856,59.00462998415056,83.84190972591327,129.2075953734217,83.84190972591327
30.19951720402016,60.17053200046529,82.21187231555331,127.26125228822045,82.21187231555331
30.902954325135905,61.28686763088013,80.66505786729874,125.39076445948214,80.66505786729874
31.622776601683796,62.35578597415252,79.1990305361934,123.59352442633998,79.1990305361934
32.359365692962825,63.37945014708216,77.81145570718364,121.86702196038155,77.81145570718364
33.11311214825911,64.35905854346122,76.50009657150764,120.2088405489257,76.50009657150764
33.884415613920254,65.2969845820296,75.26281083551558,118.61665400856127,75.26281083551558
34.673685045253166,66.19583951365135,74.09754755714805,117.08822322412469,74.09754755714805
35.48133892335755,67.05617379568454,73.00234410548002,115.62139300847211,73.00234410548002
36.30780547701014,67.8807191330112,71.97532323891429,114.21408907857702,71.97532323891429
37.15352290971726,68.6701447740064,71.01469029777434,112.8643151436491,71.01469029777434
38.01893963205613,69.42695867976572,70.11873050720962,111.57015010113196,70.11873050720962
38.904514499428046,70.15234282783621,69.28580638648201,110.32974533659205,69.28580638648201
39.81071705534973,70.84733395151929,68.51435526085123,109.14132212365809,68.51435526085123
40.73802778041126,71.51374763179503,67.80288687242364,108.00316912031649,67.80288687242364
41.68693834703355,72.15296066424759,67.14998108646589,106.91363995800319,67.14998108646589
42.65795188015925,72.76599727932377,66.55428568982067,105.87115092006742,66.55428568982067
43.65158322401661,73.3542607708369,66.01451427818981,104.8741787063083,66.01451427818981
44.6683592150963,73.91915591909903,65.5294442291759,103.92125828041142,65.5294442291759
45.70881896148752,74.46158548499038,65.09791475809166,103.01098079722692,65.09791475809166
46.77351412871981,74.98272868232459,64.71882505366344,102.14199160694818,64.71882505366344
