f_Hz,phi_ref,phi_mcgt,phi_mcgt_raw,phi_mcgt_cal
10.0,0.4130190880660489,292.53464626658257,344.4198884957682,292.53464626658257
10.23292992280754,2.546249902626366,282.8524941585198,334.9739125393104,282.8524941585198
10.471285480508996,4.2056316471643065,273.5348407542289,325.8979365359008,273.5348407542289
10.715193052376064,5.399280604756208,264.56857933069665,317.17898190308296,264.56857933069665
10.964781961431852,6.109384454455678,255.94108714545297,308.80455702372075,255.94108714545297
11.220184543019636,6.367591884675958,247.64020754201158,300.7626394209633,247.64020754201158
11.481536214968829,6.183880796730903,239.6542327200073,293.0416585995259,239.6542327200073
11.748975549395295,5.5676809566568615,231.97188714516525,285.63047952846034,231.97188714516525
12.02264434617413,4.527837113397297,224.58231157517355,278.5183867415244,224.58231157517355
12.302687708123818,3.0725871533167712,217.47504767842577,271.69506903215614,217.47504767842577
12.589254117941676,1.198312894108905,210.64002322345522,265.1506047209159,210.64002322345522
12.882495516931344,-1.1221111395313716,204.06753781772215,258.87544747409817,204.06753781772215
13.182567385564074,-3.835612489975,197.74824917520147,252.86041265300324,197.74824917520147
13.489628825916531,-6.936272970272306,191.67315989299738,247.0966641741388,191.67315989299738
13.803842646028851,-10.463423161596284,185.8336047179413,241.57570186135123,185.8336047179413
14.12537544622754,-14.38132332235556,180.22123828484908,236.28934927160904,180.22123828484908
14.454397707459272,-18.33410445727872,174.82802330878843,231.229741976835,174.82802330878843
14.791083881682072,-13.967231470889493,169.64621921437904,226.38931628485722,169.64621921437904
15.13561248436208,-9.750737045996829,164.66837118576893,221.7607983831714,164.66837118576893
15.488166189124811,-5.732606348765208,159.88729962154983,217.33719388982644,159.88729962154983
15.848931924611133,-1.8548539851307315,155.29608997945883,213.1117777963321,155.29608997945883
16.218100973589298,1.8444243274555456,150.88808299627814,209.07808478805185,150.88808299627814
16.595869074375607,5.403635905767524,146.65686526889036,205.22989992809246,146.65686526889036
16.982436524617444,8.818409874264757,142.59626018296956,201.56124969122436,142.59626018296956
17.378008287493753,12.083233051515515,138.70031917629188,198.06639333487274,138.70031917629188
17.78279410038923,15.21968722714583,134.9633133241357,194.73981459470662,134.9633133241357
18.197008586099837,18.229600951265663,131.37972523470725,191.5762136928196,131.37972523470725
18.62087136662868,21.112649244749736,127.94424124297652,188.57049964694772,127.94424124297652
19.054607179632477,23.87212305028203,124.65174389174192,185.71778286960338,124.65174389174192
19.49844599758045,26.518523599068804,121.49730468915678,183.01336804642133,121.49730468915678
19.9526231496888,29.055501890599157,118.4761771323509,180.45274728341414,118.4761771323509
20.417379446695296,31.487001422872268,115.5837899871698,178.03159351322492,115.5837899871698
20.8929613085404,33.81713642836808,112.8157408144171,175.7457541508302,112.8157408144171
21.379620895022324,36.05009987828316,110.16778973335158,173.59124498951306,110.16778973335158
21.87761623949553,38.19009446304312,107.63585341352683,171.56424432826438,107.63585341352683
22.3872113856834,40.23825696825336,105.21599928639614,169.66108732210725,105.21599928639614
22.908676527677724,42.19895514585869,102.90443996842055,167.87826054715552,102.90443996842055
23.442288153199225,44.07856228327067,100.6975278877259,166.212396772528,100.6975278877259
23.9883291901949,45.88104971690453,98.5917501066495,164.66026993153545,98.5917501066495
24.547089156850312,47.60282841789744,96.583723332798,163.21879028484142,96.583723332798
25.118864315095795,49.25471290245586,94.67018911151374,161.88499976857418,94.67018911151374
25.703957827688647,50.83489074966092,92.84800919290745,160.6560675206307,92.84800919290745
26.30267991895381,52.34982105278517,91.11416106686895,159.5292855786683,91.11416106686895
26.915348039269155,53.79801531659523,89.46573365970855,158.50206474352362,89.46573365970855
27.542287033381665,55.18619366340423,87.89992318631896,157.57193060203647,87.89992318631896
28.183829312644534,56.51585227124346,86.41402915196878,156.73651970348078,86.41402915196878
28.84031503126606,57.7870662537633,85.00545049805811,155.99357588402543,85.00545049805811
29.512092266663856,59.00462998415056,83.6716818863735,155.34094673385692,83.6716818863735
30.19951720402016,60.17053200046529,82.41031011658032,154.77658020179902,82.41031011658032
30.902954325135905,61.28686763088013,81.21901067188342,154.29852133245964,81.21901067188342
31.622776601683796,62.35578597415252,80.09554438797346,153.9049091311233,80.09554438797346
32.359365692962825,63.37945014708216,79.03775424055164,153.59397355178658,79.03775424055164
33.11311214825911,64.35905854346122,78.04356224690218,153.36403260391148,78.04356224690218
33.884415613920254,65.2969845820296,77.1109664771426,153.21348957363602,77.1109664771426
34.673685045253166,66.19583951365135,76.23803817094222,153.14083035534372,76.23803817094222
35.48133892335755,67.05617379568454,75.42291895565413,153.14462088965087,75.42291895565413
36.30780547701014,67.8807191330112,74.66381816194938,153.22350470401733,74.66381816194938
37.15352290971726,68.6701447740064,73.95901023318635,153.3762005523327,73.95901023318635
38.01893963205613,69.42695867976572,73.30683222488346,153.60150014996842,73.30683222488346
38.904514499428046,70.15234282783621,72.7056813907925,153.8982660009177,72.7056813907925
39.81071705534973,70.84733395151929,72.15401285219912,154.265429313778,72.15401285219912
40.73802778041126,71.51374763179503,71.65033734719498,154.7019880034507,71.65033734719498
41.68693834703355,72.15296066424759,71.19321905678267,155.20700477555403,71.19321905678267
42.65795188015925,72.76599727932377,70.7812735047891,155.77960529066024,70.7812735047891
43.65158322401661,73.3542607708369,70.41316552866647,156.41897640557846,70.41316552866647
44.6683592150963,73.91915591909903,70.08760731836676,157.1243644890102,70.08760731836676
45.70881896148752,74.46158548499038,69.80335652057312,157.89507380900977,69.80335652057312
46.77351412871981,74.98272868232459,69.5592144056679,158.730464989778,69.5592144056679
