beta,gamma_min,gamma_max
1.0,0.0,333333.0
1.007956283668587,0.0,333332.9999948822
1.0259186531483113,0.0,333332.9999923228
1.0447152150957806,0.0,333332.9999974717
1.064377792117828,0.0,333333.0
1.0849394343524137,0.0,333333.0
1.1064344755699937,0.0,333332.9999963938
1.1288985913231526,0.0,333332.9999940294
1.1523688592131744,0.0,333333.0
1.1768838213434452,0.0,333333.0
1.202483549035267,0.0,333332.9999986673
1.2292097098926673,0.0,333332.99999502377
1.257105637298814,0.0,333333.0
1.286216402443692,0.0,333333.0
1.3165888889797042,0.0,333332.99999546533
1.3482718704140773,0.0,333332.9999993543
1.38131609034419,0.0,333333.0
1.4157743456639555,0.0,333332.9999961527
1.4517015728532237,0.0,333333.0
1.489154937491051,0.0,333333.0
1.5281939271210387,0.0,332664.6357953745
1.5688804476179445,0.0,330760.8133624729
1.611278923199332,0.0,330032.66794708604
1.6554564002425778,0.0,330032.6678044566
1.7014826550665068,0.0,330032.6676514679
1.7494303058487843,0.0,330032.6674934398
1.7993749288545882,0.0,330032.66732895235
1.8513951791615335,0.0,330032.6671571847
1.9055729160688843,0.0,330032.6669723736
1.9619933333996982,0.0,330032.6665612269
2.020745094878644,0.0,330032.6671169751
2.081920474838844,0.0,330032.66926681425
2.14561550444306,0.0,330032.66969459644
2.211930123675077,0.0,330032.66926619795
2.2809683393340343,0.0,330032.6690412038
2.3528383892839955,0.0,330032.6688026788
2.4276529132222544,0.0,329408.7350850517
2.505529130230289,0.0,326797.045714889
2.5865890233972175,0.0,326797.04518672306
2.6709595318015817,0.0,326797.0444070009
2.758772750166116,0.0,326797.04606036114
2.850166136471095,0.0,326797.04692200816
2.945282727912292,0.0,326797.0461090197
3.044271365477403,0.0,326797.04546200845
3.147286927542803,0.0,326797.0446028775
3.2544905728405102,0.0,326797.04591288173
3.3660499931815564,0.0,326797.0467438284
3.4821396763339054,0.0,326797.04586899845
3.6029411794690573,0.0,323624.24662253883
3.728643413606213,0.0,323624.2488129433
3.85944293950577,0.0,323624.2473195622
3.995544275470296,0.0,323624.245935918
4.137160217538689,0.0,323624.24808396504
4.2845121725903965,0.0,323624.2462590968
4.437830504851463,0.0,322610.2319461058
4.597354896379374,0.0,320512.4602524126
4.763334722076678,0.0,320512.4612706216
4.936029439798904,0.0,320512.4625825208
5.115708996243111,0.0,320512.46040610137
5.302654249140746,0.0,320512.46090713365
5.497157406531359,0.0,320512.4615354259
5.699522483711727,0.0,317459.9444449626
5.910065778630295,0.0,317459.94427049754
6.129116366463818,0.0,317459.94500754634
6.357016614133867,0.0,317459.945409406
6.5941227155803945,0.0,314465.0201321505
6.840805248627418,0.0,314465.01879139454
7.097449754312232,0.0,314465.02013348136
7.36445733958453,0.0,314465.01818000834
7.642245304318218,0.0,311526.07016106806
7.9312477936167545,0.0,311526.0711189646
8.231916476432295,0.0,311526.0708173067
8.544721251559812,0.0,310301.8929457735
8.870150982110461,0.0,308641.542308222
9.208714259612446,0.0,308641.5443258934
9.56094019893435,0.0,306760.53692172974
9.927379265273656,0.0,305809.9411292076
10.30860413450351,0.0,305809.91002199636
10.705210588222855,0.0,305809.8206618755
11.117818444908778,0.0,305809.6555494616
11.547072528627425,0.0,305809.3970145068
11.993643676816852,0.0,305809.02722502005
12.458229788718123,0.0,305808.528195958
12.941556916093276,0.0,305807.8817974971
13.444380397928414,0.0,305807.0697628985
13.96748604092636,0.0,305806.07369597885
14.51169134756188,0.0,305804.8750781987
15.07784679371849,0.0,305803.45527538005
15.666837157820522,0.0,305801.795544068
16.27958290357783,0.0,305799.87703754456
16.917041618495215,0.0,305797.6808115114
17.580209510395207,0.0,305795.1878294497
18.270122964292568,0.0,305792.37896767084
