R_over_R0,f_R,f_RR,m_s2_over_R0,hamiltonian_energy_proxy
1.0,1.0,1e-06,333333.0,-166666.5
1.007956283668587,1.0000000079409304,1e-06,333332.9999948822,-166666.49933569756
1.0259186531483113,1.0000000258956216,1e-06,333332.9999923228,-166666.49783819512
1.0447152150957806,1.0000000447076303,1e-06,333332.9999974717,-166666.49627310378
1.064377792117828,1.0000000643910854,1e-06,333333.00000443106,-166666.49463629728
1.0849394343524137,1.0000000849580866,1e-06,333333.0000062174,-166666.4929232755
1.1064344755699937,1.000000106423657,1e-06,333332.9999963938,-166666.49112956817
1.1288985913231526,1.0000001288806795,1e-06,333332.9999940294,-166666.4892569695
1.1523688592131744,1.0000001523698874,1e-06,333333.0000003427,-166666.4873026944
1.1768838213434452,1.0000001769005304,1e-06,333333.00000556966,-166666.48526108998
1.202483549035267,1.000000202479551,1e-06,333332.9999986673,-166666.48312605632
1.2292097098926673,1.0000002291947812,1e-06,333332.99999502377,-166666.48089796805
1.257105637298814,1.0000002571102624,1e-06,333333.0000015417,-166666.47857493983
1.286216402443692,1.000000286229237,1e-06,333333.00000427815,-166666.47614972995
1.3165888889797042,1.000000316575285,1e-06,333332.99999546533,-166666.47361648947
1.3482718704140773,1.0000003482699333,1e-06,333332.9999993543,-166666.47097721678
1.38131609034419,1.0000003813283185,1e-06,333333.000004076,-166666.46822471597
1.4157743456639555,1.0000004157628037,1e-06,333332.9999961527,-166666.4653512179
1.4517015728532237,1.0000004517019832,1e-06,333333.0000001368,-166666.4623582826
1.489154937491051,1.0000004891634016,1e-06,333333.0000028214,-166666.45923784465
1.5281939271210387,1.0000005281841278,1.0020091200145738e-06,332664.6357953745,-166332.27397065374
1.5688804476179445,1.0000005688883278,1.0077765638171353e-06,330760.8133624729,-165380.35963975836
1.611278923199332,1.0000006112713822,1.009999999999999e-06,330032.66794708604,-165016.28353867718
1.6554564002425778,1.0000006554584668,1.009999999999999e-06,330032.6678044566,-165016.2798215694
1.7014826550665068,1.0000007014814285,1.009999999999999e-06,330032.6676514679,-165016.27594780747
1.7494303058487843,1.0000007494297307,1.009999999999999e-06,330032.6674934398,-165016.2719126698
1.7993749288545882,1.0000007993754028,1.009999999999999e-06,330032.66732895235,-165016.26770950345
1.8513951791615335,1.0000008513953997,1.009999999999999e-06,330032.6671571847,-165016.26333154863
1.9055729160688843,1.0000009055549364,1.009999999999999e-06,330032.6669723736,-165016.25877054295
1.9619933333996982,1.0000009612937832,1.009999999999999e-06,330032.6665612269,-165016.2539660639
2.020745094878644,1.0000010223169795,1.009999999999999e-06,330032.6671169751,-165016.24920903082
2.081920474838844,1.0000010906181258,1.009999999999999e-06,330032.66926681425,-165016.2446485534
2.14561550444306,1.0000011562462858,1.009999999999999e-06,330032.66969459644,-165016.23944759124
2.211930123675077,1.0000012219260037,1.009999999999999e-06,330032.66926619795,-165016.2338142854
2.2809683393340343,1.0000012909728693,1.009999999999999e-06,330032.6690412038,-165016.22800486526
2.3528383892839955,1.000001362838889,1.009999999999999e-06,330032.6688026788,-165016.22195607712
2.4276529132222544,1.000001437649037,1.0119130374783057e-06,329408.7350850517,-164704.24914907324
2.505529130230289,1.0000015155272741,1.020000000000001e-06,326797.045714889,-163398.39904007936
2.5865890233972175,1.0000015965921774,1.020000000000001e-06,326797.04518672306,-163398.39215306417
2.6709595318015817,1.000001680264146,1.020000000000001e-06,326797.0444070009,-163398.38492727658
2.758772750166116,1.000001774892911,1.020000000000001e-06,326797.04606036114,-163398.37802286918
2.850166136471095,1.0000018707508052,1.020000000000001e-06,326797.04692200816,-163398.3706221874
2.945282727912292,1.0000019652819838,1.020000000000001e-06,326797.0461090197,-163398.36249258087
3.044271365477403,1.0000020642705396,1.020000000000001e-06,326797.04546200845,-163398.35408179997
3.147286927542803,1.0000021667174723,1.020000000000001e-06,326797.0446028775,-163398.34528241394
3.2544905728405102,1.0000022800738033,1.020000000000001e-06,326797.04591288173,-163398.33667630737
3.3660499931815564,1.000002396407109,1.020000000000001e-06,326797.0467438284,-163398.32758745726
3.4821396763339054,1.000002512141606,1.020000000000001e-06,326797.04586899845,-163398.31769464313
3.6029411794690573,1.0000026330930594,1.0299999999999995e-06,323624.24662253883,-161811.9102783605
3.728643413606213,1.0000027693347102,1.0299999999999995e-06,323624.2488129433,-161811.9003508156
3.85944293950577,1.0000028994436743,1.0299999999999995e-06,323624.2473195622,-161811.88907755198
3.995544275470296,1.00000303535259,1.0299999999999995e-06,323624.245935918,-161811.87738990845
4.137160217538689,1.0000031878544755,1.0299999999999995e-06,323624.24808396504,-161811.8661256417
4.2845121725903965,1.0000033339881462,1.0299999999999995e-06,323624.2462590968,-161811.85339014785
4.437830504851463,1.00000349852253,1.0332374427571826e-06,322610.2319461058,-161304.83380875527
4.597354896379374,1.0000036572366202,1.0400000000000008e-06,320512.4602524126,-160255.93707926545
4.763334722076678,1.0000038330324512,1.0400000000000008e-06,320512.4612706216,-160255.92350223314
4.936029439798904,1.000004016728083,1.0400000000000008e-06,320512.4625825208,-160255.90943905443
5.115708996243111,1.0000041968043931,1.0400000000000008e-06,320512.46040610137,-160255.8939217309
5.302654249140746,1.0000043927906768,1.0400000000000008e-06,320512.46090713365,-160255.8784683024
5.497157406531359,1.0000045970342324,1.0400000000000008e-06,320512.4615354259,-160255.86241687022
5.699522483711727,1.0000048095002405,1.0500000000000005e-06,317459.9444449626,-158729.5905174794
5.910065778630295,1.0000050300211354,1.0500000000000005e-06,317459.94427049754,-158729.57292869542
6.129116366463818,1.0000052623459563,1.0500000000000005e-06,317459.94500754634,-158729.5548588576
6.357016614133867,1.0000055029070742,1.0500000000000005e-06,317459.945409406,-158729.53596775982
6.5941227155803945,1.0000057537903175,1.0600000000000004e-06,314465.0201321505,-157232.05772592957
6.840805248627418,1.0000060110101987,1.0600000000000004e-06,314465.01879139454,-157232.03683400876
7.097449754312232,1.0000062873212108,1.0600000000000004e-06,314465.02013348136,-157232.01578264675
7.36445733958453,1.000006564137207,1.0600000000000004e-06,314465.01818000834,-157231.99304381633
7.642245304318218,1.0000068624195042,1.0700000000000001e-06,311526.07016106806,-155762.50062672287
7.9312477936167545,1.0000071747270156,1.0700000000000001e-06,311526.0711189646,-155762.4767828572
8.231916476432295,1.0000074954741844,1.0700000000000001e-06,311526.0708173067,-155762.45165193573
8.544721251559812,1.0000078291932752,1.0742212374525567e-06,310301.8929457735,-155150.33912189092
8.870150982110461,1.0000081768416993,1.0799999999999994e-06,308641.542308222,-154320.14022843217
9.208714259612446,1.0000085490272945,1.0799999999999994e-06,308641.5443258934,-154320.1125195197
9.56094019893435,1.0000089270343735,1.086622318870299e-06,306760.53692172974,-153379.58384845627
9.927379265273656,1.0000093283359082,1.0900000000000004e-06,305809.9411292076,-152904.25739346643
10.30860413450351,1.000009642150435,1.0900000000000004e-06,305809.91002199636,-152904.21784826287
10.705210588222855,1.0000097822438743,1.0900000000000004e-06,305809.8206618755,-152904.16245803444
11.117818444908778,1.0000096920688446,1.0900000000000004e-06,305809.6555494616,-152904.08679626288
11.547072528627425,1.0000093145464937,1.0900000000000004e-06,305809.3970145068,-152903.98639160825
11.993643676816852,1.0000085920974235,1.0900000000000004e-06,305809.02722502005,-152903.85673009328
12.458229788718123,1.0000074666712526,1.0900000000000004e-06,305808.528195958,-152903.69325717355
12.941556916093276,1.0000058797748543,1.0900000000000004e-06,305807.8817974971,-152903.49137969664
13.444380397928414,1.000003772499312,1.0900000000000004e-06,305807.0697628985,-152903.2464677532
13.96748604092636,1.0000010855456358,1.0900000000000004e-06,305806.07369597885,-152902.9538564223
14.51169134756188,0.9999977592492787,1.0900000000000004e-06,305804.8750781987,-152902.60884741487
15.07784679371849,0.9999937336034983,1.0900000000000004e-06,305803.45527538005,-152902.20671061665
15.666837157820522,0.9999889482816046,1.0900000000000004e-06,305801.795544068,-152901.74268553517
16.27958290357783,0.9999833426581358,1.0900000000000004e-06,305799.87703754456,-152901.211982652
16.917041618495215,0.9999768558290067,1.0900000000000004e-06,305797.6808115114,-152900.6097846846
