# z    H_over_H0
6.205729e-03  1.002932e+00
6.335805e-03  1.002994e+00
6.468608e-03  1.003057e+00
6.604194e-03  1.003121e+00
6.742622e-03  1.003187e+00
6.883952e-03  1.003254e+00
7.028244e-03  1.003322e+00
7.175561e-03  1.003392e+00
7.325965e-03  1.003464e+00
7.479523e-03  1.003537e+00
7.636298e-03  1.003612e+00
7.796360e-03  1.003688e+00
7.959777e-03  1.003765e+00
8.126619e-03  1.003845e+00
8.296959e-03  1.003926e+00
8.470868e-03  1.004009e+00
8.648423e-03  1.004093e+00
8.829700e-03  1.004180e+00
9.014776e-03  1.004268e+00
9.203732e-03  1.004358e+00
9.396648e-03  1.004450e+00
9.593608e-03  1.004544e+00
9.794697e-03  1.004640e+00
1.000000e-02  1.004738e+00
1.020961e-02  1.004838e+00
1.042361e-02  1.004940e+00
1.064209e-02  1.005045e+00
1.086516e-02  1.005151e+00
1.109290e-02  1.005260e+00
1.132541e-02  1.005371e+00
1.156280e-02  1.005485e+00
1.180517e-02  1.005601e+00
1.205261e-02  1.005719e+00
1.230524e-02  1.005840e+00
1.256317e-02  1.005964e+00
1.282650e-02  1.006090e+00
1.309535e-02  1.006219e+00
1.336984e-02  1.006351e+00
1.365008e-02  1.006485e+00
1.393619e-02  1.006623e+00
1.422830e-02  1.006763e+00
1.452654e-02  1.006906e+00
1.483103e-02  1.007053e+00
1.514189e-02  1.007202e+00
1.545928e-02  1.007355e+00
1.578331e-02  1.007511e+00
1.611414e-02  1.007670e+00
1.645191e-02  1.007833e+00
1.679675e-02  1.007999e+00
1.714882e-02  1.008169e+00
1.750827e-02  1.008343e+00
1.787526e-02  1.008520e+00
1.824993e-02  1.008701e+00
1.863246e-02  1.008886e+00
1.902301e-02  1.009075e+00
1.942175e-02  1.009268e+00
1.982884e-02  1.009465e+00
2.024447e-02  1.009666e+00
2.066880e-02  1.009872e+00
2.110203e-02  1.010082e+00
2.154435e-02  1.010297e+00
2.199593e-02  1.010516e+00
2.245698e-02  1.010740e+00
2.292769e-02  1.010969e+00
2.340827e-02  1.011203e+00
2.389893e-02  1.011442e+00
2.439986e-02  1.011687e+00
2.491130e-02  1.011936e+00
2.543346e-02  1.012191e+00
2.596656e-02  1.012452e+00
2.651084e-02  1.012718e+00
2.706652e-02  1.012990e+00
2.763385e-02  1.013268e+00
2.821308e-02  1.013552e+00
2.880444e-02  1.013842e+00
2.940820e-02  1.014138e+00
3.002462e-02  1.014441e+00
3.065395e-02  1.014751e+00
3.129648e-02  1.015067e+00
3.195248e-02  1.015391e+00
3.262222e-02  1.015721e+00
3.330600e-02  1.016059e+00
3.400412e-02  1.016404e+00
3.471687e-02  1.016757e+00
3.544456e-02  1.017117e+00
3.618750e-02  1.017486e+00
3.694601e-02  1.017862e+00
3.772042e-02  1.018247e+00
3.851107e-02  1.018640e+00
3.931829e-02  1.019043e+00
4.014242e-02  1.019454e+00
4.098384e-02  1.019874e+00
4.184289e-02  1.020303e+00
4.271994e-02  1.020742e+00
4.361538e-02  1.021191e+00
4.452959e-02  1.021650e+00
4.546295e-02  1.022119e+00
4.641589e-02  1.022598e+00
4.738880e-02  1.023088e+00
4.838210e-02  1.023589e+00
4.939622e-02  1.024102e+00
5.043159e-02  1.024626e+00
5.148867e-02  1.025161e+00
5.256791e-02  1.025709e+00
5.366977e-02  1.026269e+00
5.479472e-02  1.026842e+00
5.594326e-02  1.027427e+00
5.711586e-02  1.028026e+00
5.831305e-02  1.028639e+00
5.953533e-02  1.029265e+00
6.078323e-02  1.029905e+00
6.205729e-02  1.030561e+00
6.335805e-02  1.031231e+00
6.468608e-02  1.031916e+00
6.604194e-02  1.032617e+00
6.742622e-02  1.033334e+00
6.883952e-02  1.034067e+00
7.028244e-02  1.034818e+00
7.175561e-02  1.035585e+00
7.325965e-02  1.036370e+00
7.479523e-02  1.037174e+00
7.636298e-02  1.037996e+00
7.796360e-02  1.038837e+00
7.959777e-02  1.039697e+00
8.126619e-02  1.040577e+00
8.296959e-02  1.041478e+00
8.470868e-02  1.042400e+00
8.648423e-02  1.043344e+00
8.829700e-02  1.044309e+00
9.014776e-02  1.045297e+00
9.203732e-02  1.046309e+00
9.396648e-02  1.047344e+00
9.593608e-02  1.048404e+00
9.794697e-02  1.049488e+00
1.000000e-01  1.050598e+00
1.020961e-01  1.051735e+00
1.042361e-01  1.052899e+00
1.064209e-01  1.054090e+00
1.086516e-01  1.055310e+00
1.109290e-01  1.056559e+00
1.132541e-01  1.057838e+00
1.156280e-01  1.059148e+00
1.180517e-01  1.060489e+00
1.205261e-01  1.061863e+00
1.230524e-01  1.063269e+00
1.256317e-01  1.064710e+00
1.282650e-01  1.066186e+00
1.309535e-01  1.067698e+00
1.336984e-01  1.069247e+00
1.365008e-01  1.070833e+00
1.393619e-01  1.072459e+00
1.422830e-01  1.074124e+00
1.452654e-01  1.075831e+00
1.483103e-01  1.077580e+00
1.514189e-01  1.079372e+00
1.545928e-01  1.081208e+00
1.578331e-01  1.083090e+00
1.611414e-01  1.085020e+00
1.645191e-01  1.086997e+00
1.679675e-01  1.089024e+00
1.714882e-01  1.091102e+00
1.750827e-01  1.093232e+00
1.787526e-01  1.095416e+00
1.824993e-01  1.097656e+00
1.863246e-01  1.099952e+00
1.902301e-01  1.102307e+00
1.942175e-01  1.104722e+00
1.982884e-01  1.107199e+00
2.024447e-01  1.109739e+00
2.066880e-01  1.112345e+00
2.110203e-01  1.115018e+00
2.154435e-01  1.117760e+00
2.199593e-01  1.120573e+00
2.245698e-01  1.123459e+00
2.292769e-01  1.126421e+00
2.340827e-01  1.129460e+00
2.389893e-01  1.132579e+00
2.439986e-01  1.135780e+00
2.491130e-01  1.139065e+00
2.543346e-01  1.142437e+00
2.596656e-01  1.145899e+00
2.651084e-01  1.149453e+00
2.706652e-01  1.153101e+00
2.763385e-01  1.156847e+00
2.821308e-01  1.160693e+00
2.880444e-01  1.164642e+00
2.940820e-01  1.168698e+00
3.002462e-01  1.172864e+00
3.065395e-01  1.177142e+00
3.129648e-01  1.181537e+00
3.195248e-01  1.186051e+00
3.262222e-01  1.190688e+00
3.330600e-01  1.195453e+00
3.400412e-01  1.200348e+00
3.471687e-01  1.205378e+00
3.544456e-01  1.210546e+00
3.618750e-01  1.215857e+00
3.694601e-01  1.221316e+00
3.772042e-01  1.226926e+00
3.851107e-01  1.232693e+00
3.931829e-01  1.238620e+00
4.014242e-01  1.244714e+00
4.098384e-01  1.250978e+00
4.184289e-01  1.257418e+00
4.271994e-01  1.264040e+00
4.361538e-01  1.270849e+00
4.452959e-01  1.277851e+00
4.546295e-01  1.285051e+00
4.641589e-01  1.292456e+00
4.738880e-01  1.300072e+00
4.838210e-01  1.307905e+00
4.939622e-01  1.315962e+00
5.043159e-01  1.324251e+00
5.148867e-01  1.332777e+00
5.256791e-01  1.341548e+00
5.366977e-01  1.350572e+00
5.479472e-01  1.359857e+00
5.594326e-01  1.369410e+00
5.711586e-01  1.379239e+00
5.831305e-01  1.389354e+00
5.953533e-01  1.399763e+00
6.078323e-01  1.410474e+00
6.205729e-01  1.421498e+00
6.335805e-01  1.432844e+00
6.468608e-01  1.444521e+00
6.604194e-01  1.456539e+00
6.742622e-01  1.468910e+00
6.883952e-01  1.481644e+00
7.028244e-01  1.494751e+00
7.175561e-01  1.508244e+00
7.325965e-01  1.522134e+00
7.479523e-01  1.536432e+00
7.636298e-01  1.551153e+00
7.796360e-01  1.566308e+00
7.959777e-01  1.581910e+00
8.126619e-01  1.597973e+00
8.296959e-01  1.614512e+00
8.470868e-01  1.631539e+00
8.648423e-01  1.649071e+00
8.829700e-01  1.667123e+00
9.014776e-01  1.685709e+00
9.203732e-01  1.704847e+00
9.396648e-01  1.724553e+00
