T_Gyr,chi2_nucleosynthesis
1e-06,14.424980540467889
1.023280232644729e-06,14.425951286484516
1.047102434521453e-06,14.426921595179522
1.0714792227999746e-06,14.427891461285238
1.0964235083807514e-06,14.428860879542324
1.1219485027330053e-06,14.42982984469995
1.1480677248920374e-06,14.430798351516767
1.174795008619429e-06,14.431766394756878
1.2021445097299555e-06,14.432733969196759
1.2301307135890526e-06,14.433701069618442
1.258768442784835e-06,14.434667690813795
1.2880728649787091e-06,14.435633827582269
1.3180595009387761e-06,14.436599474733137
1.3487442327602263e-06,14.43756462708269
1.380143312277124e-06,14.4385292794557
1.412273369670002e-06,14.43949342668682
1.4451514222738753e-06,14.440457063617687
1.478794883591272e-06,14.441420185099386
1.513221572515115e-06,14.44238278598992
1.5484497227662896e-06,14.443344861157767
1.584497992550955e-06,14.44430640547936
1.6213854744426474e-06,14.445267413837534
1.65913170549446e-06,14.44622788112662
1.697756677586617e-06,14.447187802247377
1.7372808480149756e-06,14.448147172109488
1.7777251503259964e-06,14.44910598563064
1.8191110054039753e-06,14.450064237738404
1.8614603328163667e-06,14.451021923367735
1.9047955624232666e-06,14.45197903746124
1.9491396462571276e-06,14.452935574972235
1.9945160706790627e-06,14.453891530860119
2.040948868818122e-06,14.45484690009374
2.0884626333002044e-06,14.455801677651241
2.1370825292732565e-06,14.456755858517406
2.1868343077357286e-06,14.457709437686788
2.237744319175291e-06,14.458662410162507
2.2898395275251126e-06,14.459614770955016
2.343147524444994e-06,14.460566515083805
2.3976965439349992e-06,14.461517637576746
2.4535154772892685e-06,14.462468133470654
2.5106338883980062e-06,14.46341799781028
2.5690820294056526e-06,14.464367225647845
2.628890856733614e-06,14.465315812046475
2.6900920474759736e-06,14.466263752076232
2.75271801617695e-06,14.467211040814135
2.8168019319988862e-06,14.468157673348625
2.882377736289948e-06,14.469103644774556
2.949480160560766e-06,14.470048950195794
3.018144744879633e-06,14.470993584725061
3.0884078566958973e-06,14.471937543482516
3.160306710101593e-06,14.472880821597846
3.2338793855414566e-06,14.47382341420801
3.309164849981855e-06,14.474765316459564
3.3862029775491996e-06,14.475706523506883
3.465034570648819e-06,14.476647030512808
3.545701381575552e-06,14.477586832648676
3.628246134627368e-06,14.478525925093635
3.7127125487338323e-06,14.479464303037352
3.7991453606113685e-06,14.480401961674927
3.887590348457544e-06,14.4813388962123
3.978094356197039e-06,14.482275101862964
4.070705318291998e-06,14.483210573848252
4.165472285129972e-06,14.48414530739894
4.262445449002968e-06,14.485079297753284
4.3616761706912245e-06,14.486012540158884
4.4632170066658864e-06,14.486945029871869
4.567121736924989e-06,14.487876762155187
4.673445393477402e-06,14.488807732282314
4.782244289489993e-06,14.48973793553358
4.893576049113257e-06,14.490667367198753
5.007499638001287e-06,14.491596022574551
5.124075394542354e-06,14.492523896969118
5.243365061816431e-06,14.4934509856945
5.365431820296762e-06,14.494377284076187
5.490340321312714e-06,14.495302787443535
5.6181567212916104e-06,14.496227491137963
5.748948716797827e-06,14.49715139050716
5.882785580387509e-06,14.498074480907801
6.0197381972979876e-06,14.498996757704987
6.159879102991447e-06,14.499918216272238
6.3032825215724925e-06,14.500838851992029
6.450024405100167e-06,14.501758660255192
6.600182473815079e-06,14.502677636458516
6.7538362573031575e-06,14.503595776011174
6.911067136617581e-06,14.504513074328862
7.071958387381394e-06,14.505429526834027
7.236595223893475e-06,14.506345128960703
7.405064844261451e-06,14.507259876148744
7.577456476585162e-06,14.508173763848996
7.753861426215389e-06,14.509086787517575
7.934373124112674e-06,14.509998942621731
8.119087176332103e-06,14.510910224635959
8.30810141465995e-06,14.511820629042194
8.501515948429253e-06,14.512730151333415
