T_Gyr,I_DH,I_Yp
1e-06,0.9927025840595411,1.0181558967299422
1.023280232644729e-06,0.9926999906258056,1.01817624116182
1.047102434521453e-06,0.992697405426125,1.0181965860002133
1.0714792227999746e-06,0.9926948284473642,1.01821693124513
1.0964235083807512e-06,0.9926922596763896,1.0182372768965782
1.1219485027330051e-06,0.9926896991000651,1.018257622954566
1.1480677248920374e-06,0.9926871467052615,1.0182779694191013
1.1747950086194287e-06,0.9926846024788412,1.018298316290193
1.2021445097299555e-06,0.9926820664076695,1.0183186635678485
1.2301307135890526e-06,0.9926795384786182,1.018339011252076
1.258768442784835e-06,0.992677018678553,1.0183593593428837
1.2880728649787091e-06,0.9926745069943419,1.01837970784028
1.3180595009387761e-06,0.9926720034128494,1.0184000567442726
1.3487442327602265e-06,0.9926695079209445,1.01842040605487
1.380143312277124e-06,0.9926670205055005,1.0184407557720803
1.412273369670002e-06,0.9926645411533828,1.018461105895911
1.4451514222738753e-06,0.9926620698514629,1.018481456426371
1.478794883591272e-06,0.9926596065866095,1.018501807363468
1.513221572515115e-06,0.9926571513456905,1.0185221587072104
1.5484497227662896e-06,0.9926547041155811,1.0185425104576058
1.5844979925509549e-06,0.9926522648831464,1.0185628626146628
1.6213854744426472e-06,0.9926498336352637,1.0185832151783898
1.6591317054944598e-06,0.9926474103587969,1.0186035681487942
1.697756677586617e-06,0.9926449950406239,1.0186239215258845
1.7372808480149756e-06,0.9926425876676133,1.018644275309669
1.7777251503259964e-06,0.9926401882266377,1.0186646295001556
1.8191110054039753e-06,0.9926377967045701,1.0186849840973522
1.861460332816367e-06,0.9926354130882861,1.0187053391012673
1.9047955624232668e-06,0.992633037364655,1.018725694511909
1.9491396462571276e-06,0.9926306695205491,1.0187460503292853
1.9945160706790623e-06,0.9926283095428488,1.0187664065534043
2.0409488688181216e-06,0.9926259574184242,1.018786763184274
2.0884626333002044e-06,0.9926236131341486,1.0188071202219031
2.1370825292732565e-06,0.9926212766768971,1.018827477666299
2.186834307735728e-06,0.9926189480335473,1.0188478355174706
2.237744319175291e-06,0.9926166271909731,1.0188681937754254
2.2898395275251126e-06,0.9926143141360505,1.0188885524401714
2.3431475244449935e-06,0.992612008855654,1.0189089115117176
2.397696543934999e-06,0.9926097113366603,1.018929270990071
2.4535154772892685e-06,0.9926074215659488,1.018949630875241
2.5106338883980062e-06,0.9926051395303924,1.0189699911672345
2.5690820294056526e-06,0.9926028652168751,1.0189903518660601
2.6288908567336138e-06,0.9926005986122666,1.0190107129717265
