k,I1_cs2
0.0001,9999.990000005
0.00010193734859388727,9809.93693353921
0.0001039122303835169,9623.495872763458
0.00010592537251772886,9440.598170327927
0.00010797751623277094,9261.176483542607
0.00011006941712522093,9085.164749581825
0.0001122018454301963,8912.49816115998
0.00011437558630495377,8743.113142669592
0.00011659144011798323,8576.94732677285
0.00011885022274370189,8413.939531438067
0.00012115276586285888,8254.029737412486
0.0001234999172687585,8097.159066123309
0.00012589254117941674,7943.269757998673
0.00012833151855576512,7792.305151200652
0.0001308177474260194,7644.2096607624535
0.0001333521432163324,7498.928758122095
0.00013593563908785255,7356.408951045066
0.00013856918628031274,7216.597763928558
0.0001412537544622754,7079.443718480026
0.00014399033208816327,6944.896314762933
0.0001467799267622069,6812.906012602752
0.00014962356560944327,6683.424213346337
0.00015252229565390182,6556.403241967968
0.00015547718420411727,6431.796329515461
0.00015848931924611142,6309.55759588991
0.00016155980984398745,6189.6420329527045
0.00016468978654828688,6072.005487953563
0.00016788040181225607,5956.60464727358
0.0001711328304161781,5843.397020477193
0.00017444826989992541,5732.340924667267
0.00017782794100389227,5623.3954691375075
0.00018127308811846987,5516.520540316551
0.00018478497974222906,5411.67678699821
0.00018836490894898002,5308.8256058524075
0.00019201419386388012,5207.929127211475
0.00019573417814876596,5108.95020112661
0.00019952623149688788,5011.852383689291
0.0002033917501372293,4916.599923612697
0.0002073321573485954,4823.157749068137
0.00021134890398366476,4731.491454771607
0.00021544346900318845,4641.567289315876
0.00021961736002054367,4553.352142743209
0.000223872113856834,4466.813534354346
0.00022820929710674507,4381.919600749151
0.00023263050671536262,4298.6390840945505
0.00023713737056616554,4216.941320615441
0.00024173154808041037,4136.796229304326
0.00024641473082812813,4058.174300845528
0.00025118864315095795,3981.046586749902
0.0002560550427970475,3905.3846886960423
0.0002610157215682536,3831.160748074046
0.00026607250597988083,3758.347435728028
0.000271227257933203,3686.917941893543
0.0002764818754010106,3616.8459663262947
0.0002818382931264455,3548.1057086183764
0.0002872984833353666,3480.6718586986444
0.00029286445646252375,3414.519587513548
0.000298538261891796,3349.624537885122
0.00030432198871077225,3285.9628155427017
0.00031021776647995015,3223.5109803250834
0.00031622776601683794,3162.246037549891
0.00032235420019524624,3102.1454295469644
0.0003285993247600654,3043.187027352652
0.00033496543915782756,2985.349122561963
0.0003414548873833601,2928.6104193355513
0.00034807005884284094,2872.9500265586285
0.0003548133892335753,2818.3474501488727
0.0003616873614408161,2764.7825855105366
0.00036869450645195733,2712.235710131977
0.0003758374042884443,2660.6874763238206
0.0003831186849557289,2610.1189040952095
0.0003905410294116381,2560.5113741653636
0.00039810717055349735,2511.846621108001
0.0004058198942243799,2464.106726626029
0.00041368204023885073,2417.2741129540505
0.00042169650342858224,2371.3315363862575
0.0004298662347082277,2326.2620809273167
0.00043819424216194364,2282.0491520639293
0.00044668359215096305,2238.676470654747
0.00045533741044262487,2196.1280669364196
0.00046415888336127773,2154.3882746435447
0.0004731512589614803,2113.441725240374
0.00048231784822393094,2073.273342262137
0.000491662026274564,2033.8683357639122
0.0005011872336272725,1995.2121968749734
0.0005108969774506929,1957.2906924566694
0.0005207948328595465,1920.0898598617773
0.0005308844442309885,1883.5960017934874
0.0005411695265464637,1847.795681262075
0.000551653866759558,1812.6757166374161
