alpha,k,P_R
-0.45,0.04641588833612782,1.269117942846775e-09
-0.45,0.05336699231206313,1.2636941767872783e-09
-0.45,0.061359072734131756,1.2582935900062988e-09
-0.45,0.07054802310718646,1.2529160834437096e-09
-0.45,0.08111308307896872,1.2475615584627325e-09
-0.45,0.093260334688322,1.2422299168481284e-09
-0.45,0.10722672220103231,1.2369210608043954e-09
-0.45,0.12328467394420659,1.2316348929539756e-09
-0.45,0.14174741629268048,1.226371316335469e-09
-0.45,0.16297508346206452,1.2211302344018543e-09
-0.45,0.1873817422860385,1.2159115510187185e-09
-0.45,0.21544346900318845,1.2107151704624938e-09
-0.45,0.24770763559917114,1.2055409974187007e-09
-0.45,0.2848035868435802,1.2003889369802008e-09
-0.45,0.32745491628777285,1.1952588946454557e-09
-0.45,0.37649358067924676,1.1901507763167939e-09
-0.45,0.43287612810830617,1.1850644882986832e-09
-0.45,0.49770235643321137,1.179999937296015e-09
-0.45,0.572236765935022,1.17495703041239e-09
-0.45,0.6579332246575682,1.169935675148416e-09
-0.45,0.7564633275546291,1.1649357794000107e-09
-0.45,0.8697490026177834,1.1599572514567134e-09
-0.45,1.0,1.1550000000000003e-09
-0.45,1.1497569953977356,1.150063934101612e-09
-0.45,1.3219411484660286,1.1451489632218849e-09
-0.45,1.5199110829529332,1.140254997208089e-09
-0.45,1.747528400007683,1.1353819462927767e-09
-0.45,2.009233002565046,1.1305297210921349e-09
-0.45,2.310129700083158,1.1256982326043452e-09
-0.45,2.6560877829466896,1.1208873922079518e-09
-0.45,3.0538555088334185,1.1160971116602367e-09
-0.45,3.5111917342151346,1.1113273030955999e-09
-0.45,4.037017258596558,1.1065778790239482e-09
-0.45,4.641588833612782,1.10184875232909e-09
-0.45,5.336699231206313,1.0971398362671394e-09
-0.45,6.135907273413176,1.0924510444649218e-09
-0.45,7.054802310718645,1.087782290918392e-09
-0.45,8.111308307896872,1.0831334899910561e-09
-0.45,9.326033468832199,1.0785045564124008e-09
-0.45,10.722672220103231,1.0738954052763285e-09
-0.45,12.32846739442066,1.069305952039601e-09
