z H(z)_km_s_Mpc chi_Mpc
9.1745872936e+00 1.1467565654e+03 9.8519077195e+03
9.1845922961e+00 1.1484494200e+03 9.8545213637e+03
9.1945972986e+00 1.1501431136e+03 9.8571311572e+03
9.2046023012e+00 1.1518376458e+03 9.8597371094e+03
9.2146073037e+00 1.1535330162e+03 9.8623392297e+03
9.2246123062e+00 1.1552292243e+03 9.8649375275e+03
9.2346173087e+00 1.1569262697e+03 9.8675320121e+03
9.2446223112e+00 1.1586241521e+03 9.8701226928e+03
9.2546273137e+00 1.1603228710e+03 9.8727095789e+03
9.2646323162e+00 1.1620224260e+03 9.8752926796e+03
9.2746373187e+00 1.1637228168e+03 9.8778720042e+03
9.2846423212e+00 1.1654240428e+03 9.8804475617e+03
9.2946473237e+00 1.1671261037e+03 9.8830193614e+03
9.3046523262e+00 1.1688289991e+03 9.8855874124e+03
9.3146573287e+00 1.1705327285e+03 9.8881517237e+03
9.3246623312e+00 1.1722372917e+03 9.8907123044e+03
9.3346673337e+00 1.1739426880e+03 9.8932691636e+03
9.3446723362e+00 1.1756489173e+03 9.8958223102e+03
9.3546773387e+00 1.1773559790e+03 9.8983717531e+03
9.3646823412e+00 1.1790638727e+03 9.9009175014e+03
9.3746873437e+00 1.1807725981e+03 9.9034595638e+03
9.3846923462e+00 1.1824821547e+03 9.9059979494e+03
9.3946973487e+00 1.1841925421e+03 9.9085326669e+03
9.4047023512e+00 1.1859037600e+03 9.9110637251e+03
9.4147073537e+00 1.1876158079e+03 9.9135911328e+03
9.4247123562e+00 1.1893286855e+03 9.9161148988e+03
9.4347173587e+00 1.1910423923e+03 9.9186350318e+03
9.4447223612e+00 1.1927569279e+03 9.9211515405e+03
9.4547273637e+00 1.1944722919e+03 9.9236644335e+03
9.4647323662e+00 1.1961884840e+03 9.9261737196e+03
9.4747373687e+00 1.1979055038e+03 9.9286794072e+03
9.4847423712e+00 1.1996233508e+03 9.9311815050e+03
9.4947473737e+00 1.2013420246e+03 9.9336800215e+03
9.5047523762e+00 1.2030615249e+03 9.9361749653e+03
9.5147573787e+00 1.2047818513e+03 9.9386663448e+03
9.5247623812e+00 1.2065030033e+03 9.9411541685e+03
9.5347673837e+00 1.2082249806e+03 9.9436384448e+03
9.5447723862e+00 1.2099477828e+03 9.9461191822e+03
9.5547773887e+00 1.2116714094e+03 9.9485963891e+03
9.5647823912e+00 1.2133958602e+03 9.9510700737e+03
9.5747873937e+00 1.2151211347e+03 9.9535402444e+03
9.5847923962e+00 1.2168472324e+03 9.9560069096e+03
9.5947973987e+00 1.2185741531e+03 9.9584700774e+03
9.6048024012e+00 1.2203018964e+03 9.9609297562e+03
9.6148074037e+00 1.2220304618e+03 9.9633859541e+03
9.6248124062e+00 1.2237598489e+03 9.9658386793e+03
9.6348174087e+00 1.2254900574e+03 9.9682879400e+03
9.6448224112e+00 1.2272210869e+03 9.9707337443e+03
9.6548274137e+00 1.2289529370e+03 9.9731761004e+03
9.6648324162e+00 1.2306856073e+03 9.9756150163e+03
9.6748374187e+00 1.2324190974e+03 9.9780505001e+03
9.6848424212e+00 1.2341534070e+03 9.9804825598e+03
9.6948474237e+00 1.2358885356e+03 9.9829112034e+03
9.7048524262e+00 1.2376244829e+03 9.9853364389e+03
9.7148574287e+00 1.2393612485e+03 9.9877582742e+03
9.7248624312e+00 1.2410988320e+03 9.9901767173e+03
9.7348674337e+00 1.2428372330e+03 9.9925917760e+03
9.7448724362e+00 1.2445764512e+03 9.9950034583e+03
9.7548774387e+00 1.2463164861e+03 9.9974117720e+03
9.7648824412e+00 1.2480573374e+03 9.9998167249e+03
9.7748874437e+00 1.2497990047e+03 1.0002218325e+04
9.7848924462e+00 1.2515414877e+03 1.0004616579e+04
9.7948974487e+00 1.2532847859e+03 1.0007011497e+04
9.8049024512e+00 1.2550288989e+03 1.0009403084e+04
9.8149074537e+00 1.2567738265e+03 1.0011791349e+04
9.8249124562e+00 1.2585195682e+03 1.0014176300e+04
9.8349174587e+00 1.2602661236e+03 1.0016557945e+04
9.8449224612e+00 1.2620134923e+03 1.0018936290e+04
9.8549274637e+00 1.2637616741e+03 1.0021311343e+04
9.8649324662e+00 1.2655106684e+03 1.0023683113e+04
9.8749374687e+00 1.2672604751e+03 1.0026051606e+04
9.8849424712e+00 1.2690110935e+03 1.0028416831e+04
9.8949474737e+00 1.2707625235e+03 1.0030778794e+04
9.9049524762e+00 1.2725147646e+03 1.0033137503e+04
9.9149574787e+00 1.2742678164e+03 1.0035492966e+04
9.9249624812e+00 1.2760216786e+03 1.0037845189e+04
9.9349674837e+00 1.2777763508e+03 1.0040194182e+04
9.9449724862e+00 1.2795318327e+03 1.0042539949e+04
9.9549774887e+00 1.2812881238e+03 1.0044882500e+04
9.9649824912e+00 1.2830452238e+03 1.0047221842e+04
9.9749874937e+00 1.2848031324e+03 1.0049557981e+04
9.9849924962e+00 1.2865618491e+03 1.0051890926e+04
9.9949974987e+00 1.2883213736e+03 1.0054220682e+04
1.0005002501e+01 1.2900817055e+03 1.0056547258e+04
1.0015007504e+01 1.2918428445e+03 1.0058870662e+04
1.0025012506e+01 1.2936047902e+03 1.0061190899e+04
1.0035017509e+01 1.2953675422e+03 1.0063507977e+04
1.0045022511e+01 1.2971311001e+03 1.0065821903e+04
1.0055027514e+01 1.2988954637e+03 1.0068132685e+04
1.0065032516e+01 1.3006606325e+03 1.0070440330e+04
1.0075037519e+01 1.3024266062e+03 1.0072744844e+04
1.0085042521e+01 1.3041933843e+03 1.0075046235e+04
1.0095047524e+01 1.3059609667e+03 1.0077344509e+04
1.0105052526e+01 1.3077293528e+03 1.0079639675e+04
1.0115057529e+01 1.3094985423e+03 1.0081931738e+04
1.0125062531e+01 1.3112685349e+03 1.0084220705e+04
1.0135067534e+01 1.3130393302e+03 1.0086506585e+04
1.0145072536e+01 1.3148109279e+03 1.0088789383e+04
1.0155077539e+01 1.3165833275e+03 1.0091069106e+04
1.0165082541e+01 1.3183565287e+03 1.0093345762e+04
1.0175087544e+01 1.3201305313e+03 1.0095619357e+04
1.0185092546e+01 1.3219053347e+03 1.0097889898e+04
1.0195097549e+01 1.3236809387e+03 1.0100157393e+04
1.0205102551e+01 1.3254573428e+03 1.0102421846e+04
1.0215107554e+01 1.3272345468e+03 1.0104683267e+04
1.0225112556e+01 1.3290125503e+03 1.0106941660e+04
1.0235117559e+01 1.3307913529e+03 1.0109197034e+04
1.0245122561e+01 1.3325709543e+03 1.0111449394e+04
1.0255127564e+01 1.3343513542e+03 1.0113698748e+04
1.0265132566e+01 1.3361325520e+03 1.0115945101e+04
1.0275137569e+01 1.3379145476e+03 1.0118188462e+04
1.0285142571e+01 1.3396973406e+03 1.0120428835e+04
1.0295147574e+01 1.3414809305e+03 1.0122666229e+04
1.0305152576e+01 1.3432653171e+03 1.0124900649e+04
1.0315157579e+01 1.3450505001e+03 1.0127132102e+04
1.0325162581e+01 1.3468364789e+03 1.0129360595e+04
1.0335167584e+01 1.3486232534e+03 1.0131586135e+04
1.0345172586e+01 1.3504108231e+03 1.0133808726e+04
1.0355177589e+01 1.3521991877e+03 1.0136028377e+04
1.0365182591e+01 1.3539883469e+03 1.0138245094e+04
1.0375187594e+01 1.3557783003e+03 1.0140458883e+04
1.0385192596e+01 1.3575690476e+03 1.0142669750e+04
1.0395197599e+01 1.3593605883e+03 1.0144877703e+04
1.0405202601e+01 1.3611529223e+03 1.0147082747e+04
1.0415207604e+01 1.3629460490e+03 1.0149284888e+04
1.0425212606e+01 1.3647399682e+03 1.0151484133e+04
1.0435217609e+01 1.3665346796e+03 1.0153680489e+04
1.0445222611e+01 1.3683301827e+03 1.0155873962e+04
1.0455227614e+01 1.3701264773e+03 1.0158064558e+04
1.0465232616e+01 1.3719235629e+03 1.0160252282e+04
1.0475237619e+01 1.3737214394e+03 1.0162437143e+04
1.0485242621e+01 1.3755201062e+03 1.0164619145e+04
1.0495247624e+01 1.3773195631e+03 1.0166798295e+04
1.0505252626e+01 1.3791198097e+03 1.0168974600e+04
1.0515257629e+01 1.3809208457e+03 1.0171148065e+04
1.0525262631e+01 1.3827226707e+03 1.0173318696e+04
1.0535267634e+01 1.3845252844e+03 1.0175486500e+04
1.0545272636e+01 1.3863286865e+03 1.0177651483e+04
1.0555277639e+01 1.3881328766e+03 1.0179813650e+04
1.0565282641e+01 1.3899378544e+03 1.0181973009e+04
1.0575287644e+01 1.3917436195e+03 1.0184129565e+04
1.0585292646e+01 1.3935501717e+03 1.0186283324e+04
1.0595297649e+01 1.3953575105e+03 1.0188434291e+04
1.0605302651e+01 1.3971656356e+03 1.0190582475e+04
1.0615307654e+01 1.3989745467e+03 1.0192727879e+04
1.0625312656e+01 1.4007842435e+03 1.0194870510e+04
1.0635317659e+01 1.4025947256e+03 1.0197010375e+04
1.0645322661e+01 1.4044059926e+03 1.0199147478e+04
1.0655327664e+01 1.4062180443e+03 1.0201281827e+04
1.0665332666e+01 1.4080308804e+03 1.0203413426e+04
1.0675337669e+01 1.4098445004e+03 1.0205542282e+04
1.0685342671e+01 1.4116589040e+03 1.0207668401e+04
1.0695347674e+01 1.4134740910e+03 1.0209791788e+04
1.0705352676e+01 1.4152900609e+03 1.0211912449e+04
1.0715357679e+01 1.4171068135e+03 1.0214030391e+04
1.0725362681e+01 1.4189243484e+03 1.0216145618e+04
1.0735367684e+01 1.4207426653e+03 1.0218258138e+04
1.0745372686e+01 1.4225617638e+03 1.0220367954e+04
1.0755377689e+01 1.4243816437e+03 1.0222475074e+04
1.0765382691e+01 1.4262023045e+03 1.0224579503e+04
1.0775387694e+01 1.4280237460e+03 1.0226681246e+04
1.0785392696e+01 1.4298459678e+03 1.0228780310e+04
1.0795397699e+01 1.4316689697e+03 1.0230876700e+04
1.0805402701e+01 1.4334927512e+03 1.0232970422e+04
1.0815407704e+01 1.4353173120e+03 1.0235061481e+04
1.0825412706e+01 1.4371426519e+03 1.0237149883e+04
1.0835417709e+01 1.4389687704e+03 1.0239235633e+04
1.0845422711e+01 1.4407956674e+03 1.0241318738e+04
1.0855427714e+01 1.4426233423e+03 1.0243399203e+04
1.0865432716e+01 1.4444517950e+03 1.0245477032e+04
1.0875437719e+01 1.4462810250e+03 1.0247552233e+04
1.0885442721e+01 1.4481110321e+03 1.0249624810e+04
1.0895447724e+01 1.4499418160e+03 1.0251694770e+04
1.0905452726e+01 1.4517733763e+03 1.0253762116e+04
1.0915457729e+01 1.4536057126e+03 1.0255826856e+04
1.0925462731e+01 1.4554388247e+03 1.0257888994e+04
1.0935467734e+01 1.4572727123e+03 1.0259948535e+04
1.0945472736e+01 1.4591073749e+03 1.0262005486e+04
1.0955477739e+01 1.4609428124e+03 1.0264059852e+04
1.0965482741e+01 1.4627790243e+03 1.0266111638e+04
1.0975487744e+01 1.4646160104e+03 1.0268160849e+04
1.0985492746e+01 1.4664537704e+03 1.0270207491e+04
1.0995497749e+01 1.4682923038e+03 1.0272251570e+04
1.1005502751e+01 1.4701316105e+03 1.0274293089e+04
1.1015507754e+01 1.4719716900e+03 1.0276332056e+04
1.1025512756e+01 1.4738125420e+03 1.0278368475e+04
1.1035517759e+01 1.4756541663e+03 1.0280402352e+04
1.1045522761e+01 1.4774965626e+03 1.0282433691e+04
1.1055527764e+01 1.4793397304e+03 1.0284462498e+04
1.1065532766e+01 1.4811836695e+03 1.0286488779e+04
1.1075537769e+01 1.4830283795e+03 1.0288512538e+04
1.1085542771e+01 1.4848738603e+03 1.0290533780e+04
1.1095547774e+01 1.4867201113e+03 1.0292552512e+04
1.1105552776e+01 1.4885671324e+03 1.0294568738e+04
1.1115557779e+01 1.4904149231e+03 1.0296582463e+04
1.1125562781e+01 1.4922634833e+03 1.0298593693e+04
1.1135567784e+01 1.4941128125e+03 1.0300602432e+04
1.1145572786e+01 1.4959629105e+03 1.0302608686e+04
1.1155577789e+01 1.4978137769e+03 1.0304612459e+04
1.1165582791e+01 1.4996654114e+03 1.0306613758e+04
1.1175587794e+01 1.5015178138e+03 1.0308612586e+04
1.1185592796e+01 1.5033709836e+03 1.0310608950e+04
1.1195597799e+01 1.5052249207e+03 1.0312602854e+04
1.1205602801e+01 1.5070796246e+03 1.0314594303e+04
1.1215607804e+01 1.5089350951e+03 1.0316583302e+04
1.1225612806e+01 1.5107913319e+03 1.0318569856e+04
1.1235617809e+01 1.5126483346e+03 1.0320553971e+04
1.1245622811e+01 1.5145061030e+03 1.0322535651e+04
1.1255627814e+01 1.5163646366e+03 1.0324514901e+04
1.1265632816e+01 1.5182239353e+03 1.0326491726e+04
1.1275637819e+01 1.5200839987e+03 1.0328466131e+04
1.1285642821e+01 1.5219448265e+03 1.0330438121e+04
1.1295647824e+01 1.5238064184e+03 1.0332407701e+04
1.1305652826e+01 1.5256687741e+03 1.0334374876e+04
1.1315657829e+01 1.5275318933e+03 1.0336339651e+04
1.1325662831e+01 1.5293957756e+03 1.0338302030e+04
1.1335667834e+01 1.5312604208e+03 1.0340262018e+04
1.1345672836e+01 1.5331258285e+03 1.0342219621e+04
1.1355677839e+01 1.5349919985e+03 1.0344174843e+04
1.1365682841e+01 1.5368589304e+03 1.0346127688e+04
1.1375687844e+01 1.5387266240e+03 1.0348078163e+04
1.1385692846e+01 1.5405950789e+03 1.0350026271e+04
1.1395697849e+01 1.5424642949e+03 1.0351972017e+04
1.1405702851e+01 1.5443342715e+03 1.0353915406e+04
1.1415707854e+01 1.5462050086e+03 1.0355856443e+04
1.1425712856e+01 1.5480765058e+03 1.0357795132e+04
1.1435717859e+01 1.5499487628e+03 1.0359731479e+04
1.1445722861e+01 1.5518217794e+03 1.0361665487e+04
1.1455727864e+01 1.5536955551e+03 1.0363597162e+04
1.1465732866e+01 1.5555700898e+03 1.0365526509e+04
1.1475737869e+01 1.5574453831e+03 1.0367453531e+04
1.1485742871e+01 1.5593214347e+03 1.0369378235e+04
1.1495747874e+01 1.5611982442e+03 1.0371300623e+04
1.1505752876e+01 1.5630758115e+03 1.0373220701e+04
1.1515757879e+01 1.5649541362e+03 1.0375138474e+04
1.1525762881e+01 1.5668332181e+03 1.0377053946e+04
1.1535767884e+01 1.5687130567e+03 1.0378967122e+04
1.1545772886e+01 1.5705936518e+03 1.0380878005e+04
1.1555777889e+01 1.5724750032e+03 1.0382786602e+04
1.1565782891e+01 1.5743571104e+03 1.0384692916e+04
1.1575787894e+01 1.5762399733e+03 1.0386596953e+04
1.1585792896e+01 1.5781235915e+03 1.0388498715e+04
1.1595797899e+01 1.5800079647e+03 1.0390398209e+04
1.1605802901e+01 1.5818930926e+03 1.0392295438e+04
1.1615807904e+01 1.5837789750e+03 1.0394190407e+04
1.1625812906e+01 1.5856656115e+03 1.0396083121e+04
1.1635817909e+01 1.5875530019e+03 1.0397973583e+04
1.1645822911e+01 1.5894411458e+03 1.0399861799e+04
1.1655827914e+01 1.5913300429e+03 1.0401747773e+04
1.1665832916e+01 1.5932196930e+03 1.0403631508e+04
1.1675837919e+01 1.5951100957e+03 1.0405513011e+04
1.1685842921e+01 1.5970012509e+03 1.0407392285e+04
1.1695847924e+01 1.5988931581e+03 1.0409269334e+04
1.1705852926e+01 1.6007858170e+03 1.0411144163e+04
1.1715857929e+01 1.6026792275e+03 1.0413016776e+04
1.1725862931e+01 1.6045733892e+03 1.0414887177e+04
1.1735867934e+01 1.6064683017e+03 1.0416755372e+04
1.1745872936e+01 1.6083639649e+03 1.0418621364e+04
1.1755877939e+01 1.6102603784e+03 1.0420485157e+04
1.1765882941e+01 1.6121575419e+03 1.0422346756e+04
1.1775887944e+01 1.6140554552e+03 1.0424206166e+04
1.1785892946e+01 1.6159541179e+03 1.0426063390e+04
1.1795897949e+01 1.6178535298e+03 1.0427918432e+04
1.1805902951e+01 1.6197536906e+03 1.0429771298e+04
1.1815907954e+01 1.6216545999e+03 1.0431621990e+04
1.1825912956e+01 1.6235562575e+03 1.0433470514e+04
1.1835917959e+01 1.6254586632e+03 1.0435316874e+04
1.1845922961e+01 1.6273618165e+03 1.0437161074e+04
1.1855927964e+01 1.6292657173e+03 1.0439003118e+04
1.1865932966e+01 1.6311703653e+03 1.0440843010e+04
1.1875937969e+01 1.6330757600e+03 1.0442680754e+04
1.1885942971e+01 1.6349819014e+03 1.0444516356e+04
1.1895947974e+01 1.6368887890e+03 1.0446349818e+04
1.1905952976e+01 1.6387964227e+03 1.0448181145e+04
1.1915957979e+01 1.6407048020e+03 1.0450010341e+04
1.1925962981e+01 1.6426139268e+03 1.0451837410e+04
1.1935967984e+01 1.6445237967e+03 1.0453662356e+04
1.1945972986e+01 1.6464344115e+03 1.0455485184e+04
1.1955977989e+01 1.6483457709e+03 1.0457305898e+04
1.1965982991e+01 1.6502578745e+03 1.0459124501e+04
1.1975987994e+01 1.6521707222e+03 1.0460940998e+04
1.1985992996e+01 1.6540843135e+03 1.0462755392e+04
1.1995997999e+01 1.6559986483e+03 1.0464567688e+04
1.2006003002e+01 1.6579137263e+03 1.0466377890e+04
1.2016008004e+01 1.6598295472e+03 1.0468186002e+04
1.2026013007e+01 1.6617461106e+03 1.0469992027e+04
1.2036018009e+01 1.6636634164e+03 1.0471795971e+04
1.2046023012e+01 1.6655814641e+03 1.0473597836e+04
1.2056028014e+01 1.6675002537e+03 1.0475397627e+04
1.2066033017e+01 1.6694197847e+03 1.0477195348e+04
1.2076038019e+01 1.6713400569e+03 1.0478991002e+04
1.2086043022e+01 1.6732610700e+03 1.0480784595e+04
1.2096048024e+01 1.6751828237e+03 1.0482576128e+04
1.2106053027e+01 1.6771053178e+03 1.0484365608e+04
1.2116058029e+01 1.6790285520e+03 1.0486153037e+04
1.2126063032e+01 1.6809525260e+03 1.0487938419e+04
1.2136068034e+01 1.6828772394e+03 1.0489721758e+04
1.2146073037e+01 1.6848026921e+03 1.0491503059e+04
1.2156078039e+01 1.6867288838e+03 1.0493282325e+04
1.2166083042e+01 1.6886558142e+03 1.0495059559e+04
1.2176088044e+01 1.6905834830e+03 1.0496834767e+04
1.2186093047e+01 1.6925118899e+03 1.0498607951e+04
1.2196098049e+01 1.6944410346e+03 1.0500379115e+04
1.2206103052e+01 1.6963709170e+03 1.0502148264e+04
1.2216108054e+01 1.6983015366e+03 1.0503915401e+04
1.2226113057e+01 1.7002328933e+03 1.0505680529e+04
1.2236118059e+01 1.7021649867e+03 1.0507443654e+04
1.2246123062e+01 1.7040978166e+03 1.0509204778e+04
1.2256128064e+01 1.7060313827e+03 1.0510963905e+04
1.2266133067e+01 1.7079656847e+03 1.0512721039e+04
1.2276138069e+01 1.7099007224e+03 1.0514476183e+04
1.2286143072e+01 1.7118364955e+03 1.0516229343e+04
1.2296148074e+01 1.7137730037e+03 1.0517980520e+04
1.2306153077e+01 1.7157102467e+03 1.0519729720e+04
1.2316158079e+01 1.7176482243e+03 1.0521476945e+04
1.2326163082e+01 1.7195869362e+03 1.0523222200e+04
1.2336168084e+01 1.7215263821e+03 1.0524965487e+04
1.2346173087e+01 1.7234665618e+03 1.0526706812e+04
1.2356178089e+01 1.7254074749e+03 1.0528446177e+04
1.2366183092e+01 1.7273491213e+03 1.0530183586e+04
1.2376188094e+01 1.7292915006e+03 1.0531919043e+04
1.2386193097e+01 1.7312346125e+03 1.0533652551e+04
1.2396198099e+01 1.7331784569e+03 1.0535384114e+04
1.2406203102e+01 1.7351230334e+03 1.0537113736e+04
1.2416208104e+01 1.7370683417e+03 1.0538841420e+04
1.2426213107e+01 1.7390143817e+03 1.0540567171e+04
1.2436218109e+01 1.7409611529e+03 1.0542290990e+04
1.2446223112e+01 1.7429086552e+03 1.0544012883e+04
1.2456228114e+01 1.7448568884e+03 1.0545732853e+04
1.2466233117e+01 1.7468058520e+03 1.0547450902e+04
1.2476238119e+01 1.7487555459e+03 1.0549167036e+04
1.2486243122e+01 1.7507059697e+03 1.0550881257e+04
1.2496248124e+01 1.7526571233e+03 1.0552593569e+04
1.2506253127e+01 1.7546090063e+03 1.0554303975e+04
1.2516258129e+01 1.7565616185e+03 1.0556012480e+04
1.2526263132e+01 1.7585149597e+03 1.0557719086e+04
1.2536268134e+01 1.7604690295e+03 1.0559423797e+04
1.2546273137e+01 1.7624238277e+03 1.0561126616e+04
1.2556278139e+01 1.7643793540e+03 1.0562827548e+04
1.2566283142e+01 1.7663356081e+03 1.0564526594e+04
1.2576288144e+01 1.7682925899e+03 1.0566223760e+04
1.2586293147e+01 1.7702502990e+03 1.0567919049e+04
1.2596298149e+01 1.7722087352e+03 1.0569612463e+04
1.2606303152e+01 1.7741678981e+03 1.0571304006e+04
1.2616308154e+01 1.7761277876e+03 1.0572993683e+04
1.2626313157e+01 1.7780884034e+03 1.0574681495e+04
1.2636318159e+01 1.7800497452e+03 1.0576367447e+04
1.2646323162e+01 1.7820118128e+03 1.0578051542e+04
1.2656328164e+01 1.7839746058e+03 1.0579733784e+04
1.2666333167e+01 1.7859381241e+03 1.0581414175e+04
1.2676338169e+01 1.7879023673e+03 1.0583092720e+04
1.2686343172e+01 1.7898673353e+03 1.0584769421e+04
1.2696348174e+01 1.7918330277e+03 1.0586444282e+04
1.2706353177e+01 1.7937994443e+03 1.0588117306e+04
1.2716358179e+01 1.7957665848e+03 1.0589788497e+04
1.2726363182e+01 1.7977344490e+03 1.0591457858e+04
1.2736368184e+01 1.7997030366e+03 1.0593125392e+04
1.2746373187e+01 1.8016723473e+03 1.0594791103e+04
1.2756378189e+01 1.8036423810e+03 1.0596454994e+04
1.2766383192e+01 1.8056131372e+03 1.0598117068e+04
1.2776388194e+01 1.8075846159e+03 1.0599777329e+04
1.2786393197e+01 1.8095568166e+03 1.0601435780e+04
1.2796398199e+01 1.8115297392e+03 1.0603092423e+04
1.2806403202e+01 1.8135033834e+03 1.0604747264e+04
1.2816408204e+01 1.8154777490e+03 1.0606400303e+04
1.2826413207e+01 1.8174528356e+03 1.0608051546e+04
1.2836418209e+01 1.8194286431e+03 1.0609700995e+04
1.2846423212e+01 1.8214051711e+03 1.0611348654e+04
1.2856428214e+01 1.8233824194e+03 1.0612994525e+04
1.2866433217e+01 1.8253603878e+03 1.0614638612e+04
1.2876438219e+01 1.8273390761e+03 1.0616280918e+04
1.2886443222e+01 1.8293184838e+03 1.0617921446e+04
1.2896448224e+01 1.8312986109e+03 1.0619560200e+04
1.2906453227e+01 1.8332794570e+03 1.0621197182e+04
1.2916458229e+01 1.8352610218e+03 1.0622832397e+04
1.2926463232e+01 1.8372433053e+03 1.0624465846e+04
1.2936468234e+01 1.8392263069e+03 1.0626097534e+04
1.2946473237e+01 1.8412100267e+03 1.0627727463e+04
1.2956478239e+01 1.8431944641e+03 1.0629355637e+04
1.2966483242e+01 1.8451796191e+03 1.0630982058e+04
1.2976488244e+01 1.8471654914e+03 1.0632606730e+04
1.2986493247e+01 1.8491520807e+03 1.0634229656e+04
1.2996498249e+01 1.8511393867e+03 1.0635850840e+04
1.3006503252e+01 1.8531274093e+03 1.0637470283e+04
1.3016508254e+01 1.8551161481e+03 1.0639087990e+04
1.3026513257e+01 1.8571056029e+03 1.0640703963e+04
1.3036518259e+01 1.8590957735e+03 1.0642318205e+04
1.3046523262e+01 1.8610866595e+03 1.0643930720e+04
1.3056528264e+01 1.8630782608e+03 1.0645541511e+04
1.3066533267e+01 1.8650705772e+03 1.0647150580e+04
1.3076538269e+01 1.8670636083e+03 1.0648757932e+04
1.3086543272e+01 1.8690573538e+03 1.0650363568e+04
1.3096548274e+01 1.8710518137e+03 1.0651967491e+04
1.3106553277e+01 1.8730469875e+03 1.0653569706e+04
1.3116558279e+01 1.8750428751e+03 1.0655170215e+04
1.3126563282e+01 1.8770394762e+03 1.0656769020e+04
1.3136568284e+01 1.8790367906e+03 1.0658366126e+04
1.3146573287e+01 1.8810348180e+03 1.0659961534e+04
1.3156578289e+01 1.8830335581e+03 1.0661555249e+04
1.3166583292e+01 1.8850330108e+03 1.0663147272e+04
1.3176588294e+01 1.8870331757e+03 1.0664737608e+04
1.3186593297e+01 1.8890340527e+03 1.0666326258e+04
1.3196598299e+01 1.8910356414e+03 1.0667913226e+04
1.3206603302e+01 1.8930379416e+03 1.0669498515e+04
1.3216608304e+01 1.8950409532e+03 1.0671082128e+04
1.3226613307e+01 1.8970446758e+03 1.0672664068e+04
1.3236618309e+01 1.8990491091e+03 1.0674244337e+04
1.3246623312e+01 1.9010542530e+03 1.0675822939e+04
1.3256628314e+01 1.9030601072e+03 1.0677399876e+04
1.3266633317e+01 1.9050666715e+03 1.0678975152e+04
1.3276638319e+01 1.9070739456e+03 1.0680548769e+04
1.3286643322e+01 1.9090819293e+03 1.0682120731e+04
1.3296648324e+01 1.9110906222e+03 1.0683691039e+04
1.3306653327e+01 1.9131000243e+03 1.0685259698e+04
1.3316658329e+01 1.9151101352e+03 1.0686826710e+04
1.3326663332e+01 1.9171209547e+03 1.0688392078e+04
1.3336668334e+01 1.9191324825e+03 1.0689955804e+04
1.3346673337e+01 1.9211447184e+03 1.0691517892e+04
1.3356678339e+01 1.9231576622e+03 1.0693078344e+04
1.3366683342e+01 1.9251713137e+03 1.0694637163e+04
1.3376688344e+01 1.9271856725e+03 1.0696194353e+04
1.3386693347e+01 1.9292007384e+03 1.0697749915e+04
1.3396698349e+01 1.9312165113e+03 1.0699303854e+04
1.3406703352e+01 1.9332329908e+03 1.0700856171e+04
1.3416708354e+01 1.9352501767e+03 1.0702406869e+04
1.3426713357e+01 1.9372680688e+03 1.0703955951e+04
1.3436718359e+01 1.9392866668e+03 1.0705503421e+04
1.3446723362e+01 1.9413059705e+03 1.0707049280e+04
1.3456728364e+01 1.9433259797e+03 1.0708593532e+04
1.3466733367e+01 1.9453466941e+03 1.0710136179e+04
1.3476738369e+01 1.9473681135e+03 1.0711677225e+04
1.3486743372e+01 1.9493902376e+03 1.0713216671e+04
1.3496748374e+01 1.9514130662e+03 1.0714754521e+04
1.3506753377e+01 1.9534365990e+03 1.0716290777e+04
1.3516758379e+01 1.9554608359e+03 1.0717825443e+04
1.3526763382e+01 1.9574857766e+03 1.0719358520e+04
1.3536768384e+01 1.9595114208e+03 1.0720890012e+04
1.3546773387e+01 1.9615377683e+03 1.0722419922e+04
1.3556778389e+01 1.9635648189e+03 1.0723948251e+04
1.3566783392e+01 1.9655925723e+03 1.0725475004e+04
1.3576788394e+01 1.9676210283e+03 1.0727000182e+04
1.3586793397e+01 1.9696501867e+03 1.0728523788e+04
1.3596798399e+01 1.9716800472e+03 1.0730045825e+04
1.3606803402e+01 1.9737106096e+03 1.0731566295e+04
1.3616808404e+01 1.9757418736e+03 1.0733085202e+04
1.3626813407e+01 1.9777738391e+03 1.0734602548e+04
1.3636818409e+01 1.9798065057e+03 1.0736118335e+04
1.3646823412e+01 1.9818398733e+03 1.0737632567e+04
1.3656828414e+01 1.9838739416e+03 1.0739145245e+04
1.3666833417e+01 1.9859087103e+03 1.0740656373e+04
1.3676838419e+01 1.9879441793e+03 1.0742165953e+04
1.3686843422e+01 1.9899803483e+03 1.0743673989e+04
1.3696848424e+01 1.9920172171e+03 1.0745180481e+04
1.3706853427e+01 1.9940547854e+03 1.0746685434e+04
1.3716858429e+01 1.9960930531e+03 1.0748188850e+04
1.3726863432e+01 1.9981320198e+03 1.0749690730e+04
1.3736868434e+01 2.0001716853e+03 1.0751191079e+04
1.3746873437e+01 2.0022120495e+03 1.0752689899e+04
1.3756878439e+01 2.0042531120e+03 1.0754187191e+04
1.3766883442e+01 2.0062948727e+03 1.0755682959e+04
1.3776888444e+01 2.0083373312e+03 1.0757177206e+04
1.3786893447e+01 2.0103804875e+03 1.0758669933e+04
1.3796898449e+01 2.0124243412e+03 1.0760161144e+04
1.3806903452e+01 2.0144688921e+03 1.0761650841e+04
1.3816908454e+01 2.0165141401e+03 1.0763139026e+04
