z H(z)_km_s_Mpc chi_Mpc
1.0505252626e+00 1.1728626398e+02 3.4855940433e+03
1.0605302651e+00 1.1790879026e+02 3.5111000669e+03
1.0705352676e+00 1.1853477168e+02 3.5364714096e+03
1.0805402701e+00 1.1916418558e+02 3.5617087548e+03
1.0905452726e+00 1.1979700939e+02 3.5868127917e+03
1.1005502751e+00 1.2043322068e+02 3.6117842145e+03
1.1105552776e+00 1.2107279713e+02 3.6366237225e+03
1.1205602801e+00 1.2171571658e+02 3.6613320193e+03
1.1305652826e+00 1.2236195698e+02 3.6859098127e+03
1.1405702851e+00 1.2301149644e+02 3.7103578145e+03
1.1505752876e+00 1.2366431323e+02 3.7346767398e+03
1.1605802901e+00 1.2432038574e+02 3.7588673072e+03
1.1705852926e+00 1.2497969255e+02 3.7829302380e+03
1.1805902951e+00 1.2564221237e+02 3.8068662564e+03
1.1905952976e+00 1.2630792408e+02 3.8306760885e+03
1.2006003002e+00 1.2697680674e+02 3.8543604630e+03
1.2106053027e+00 1.2764883956e+02 3.8779201101e+03
1.2206103052e+00 1.2832400191e+02 3.9013557617e+03
1.2306153077e+00 1.2900227336e+02 3.9246681508e+03
1.2406203102e+00 1.2968363362e+02 3.9478580117e+03
1.2506253127e+00 1.3036806261e+02 3.9709260794e+03
1.2606303152e+00 1.3105554039e+02 3.9938730896e+03
1.2706353177e+00 1.3174604721e+02 4.0166997782e+03
1.2806403202e+00 1.3243956352e+02 4.0394068814e+03
1.2906453227e+00 1.3313606992e+02 4.0619951353e+03
1.3006503252e+00 1.3383554721e+02 4.0844652759e+03
1.3106553277e+00 1.3453797635e+02 4.1068180385e+03
1.3206603302e+00 1.3524333849e+02 4.1290541582e+03
1.3306653327e+00 1.3595161498e+02 4.1511743688e+03
1.3406703352e+00 1.3666278733e+02 4.1731794036e+03
1.3506753377e+00 1.3737683724e+02 4.1950699945e+03
1.3606803402e+00 1.3809374658e+02 4.2168468722e+03
1.3706853427e+00 1.3881349743e+02 4.2385107660e+03
1.3806903452e+00 1.3953607201e+02 4.2600624035e+03
1.3906953477e+00 1.4026145276e+02 4.2815025106e+03
1.4007003502e+00 1.4098962228e+02 4.3028318114e+03
1.4107053527e+00 1.4172056335e+02 4.3240510281e+03
1.4207103552e+00 1.4245425895e+02 4.3451608806e+03
1.4307153577e+00 1.4319069221e+02 4.3661620866e+03
1.4407203602e+00 1.4392984645e+02 4.3870553614e+03
1.4507253627e+00 1.4467170517e+02 4.4078414182e+03
1.4607303652e+00 1.4541625206e+02 4.4285209671e+03
1.4707353677e+00 1.4616347095e+02 4.4490947159e+03
1.4807403702e+00 1.4691334588e+02 4.4695633696e+03
1.4907453727e+00 1.4766586105e+02 4.4899276301e+03
1.5007503752e+00 1.4842100082e+02 4.5101881968e+03
1.5107553777e+00 1.4917874974e+02 4.5303457657e+03
1.5207603802e+00 1.4993909252e+02 4.5504010299e+03
1.5307653827e+00 1.5070201405e+02 4.5703546792e+03
1.5407703852e+00 1.5146749936e+02 4.5902074003e+03
1.5507753877e+00 1.5223553369e+02 4.6099598766e+03
1.5607803902e+00 1.5300610241e+02 4.6296127879e+03
1.5707853927e+00 1.5377919105e+02 4.6491668109e+03
1.5807903952e+00 1.5455478534e+02 4.6686226186e+03
1.5907953977e+00 1.5533287113e+02 4.6879808805e+03
1.6008004002e+00 1.5611343446e+02 4.7072422625e+03
1.6108054027e+00 1.5689646150e+02 4.7264074269e+03
1.6208104052e+00 1.5768193860e+02 4.7454770324e+03
1.6308154077e+00 1.5846985225e+02 4.7644517338e+03
1.6408204102e+00 1.5926018911e+02 4.7833321824e+03
1.6508254127e+00 1.6005293598e+02 4.8021190254e+03
1.6608304152e+00 1.6084807980e+02 4.8208129065e+03
1.6708354177e+00 1.6164560768e+02 4.8394144652e+03
1.6808404202e+00 1.6244550686e+02 4.8579243375e+03
1.6908454227e+00 1.6324776475e+02 4.8763431551e+03
1.7008504252e+00 1.6405236887e+02 4.8946715462e+03
1.7108554277e+00 1.6485930691e+02 4.9129101346e+03
1.7208604302e+00 1.6566856670e+02 4.9310595405e+03
1.7308654327e+00 1.6648013619e+02 4.9491203800e+03
1.7408704352e+00 1.6729400349e+02 4.9670932651e+03
1.7508754377e+00 1.6811015683e+02 4.9849788038e+03
1.7608804402e+00 1.6892858458e+02 5.0027776003e+03
1.7708854427e+00 1.6974927526e+02 5.0204902544e+03
1.7808904452e+00 1.7057221749e+02 5.0381173623e+03
1.7908954477e+00 1.7139740005e+02 5.0556595158e+03
1.8009004502e+00 1.7222481183e+02 5.0731173027e+03
1.8109054527e+00 1.7305444186e+02 5.0904913070e+03
1.8209104552e+00 1.7388627928e+02 5.1077821083e+03
1.8309154577e+00 1.7472031337e+02 5.1249902823e+03
1.8409204602e+00 1.7555653354e+02 5.1421164008e+03
1.8509254627e+00 1.7639492929e+02 5.1591610312e+03
1.8609304652e+00 1.7723549027e+02 5.1761247373e+03
1.8709354677e+00 1.7807820623e+02 5.1930080783e+03
1.8809404702e+00 1.7892306705e+02 5.2098116099e+03
1.8909454727e+00 1.7977006271e+02 5.2265358835e+03
1.9009504752e+00 1.8061918333e+02 5.2431814465e+03
1.9109554777e+00 1.8147041912e+02 5.2597488422e+03
1.9209604802e+00 1.8232376039e+02 5.2762386102e+03
1.9309654827e+00 1.8317919760e+02 5.2926512857e+03
1.9409704852e+00 1.8403672129e+02 5.3089874002e+03
1.9509754877e+00 1.8489632211e+02 5.3252474811e+03
1.9609804902e+00 1.8575799082e+02 5.3414320520e+03
1.9709854927e+00 1.8662171828e+02 5.3575416324e+03
1.9809904952e+00 1.8748749546e+02 5.3735767379e+03
1.9909954977e+00 1.8835531343e+02 5.3895378802e+03
2.0010005003e+00 1.8922516334e+02 5.4054255672e+03
2.0110055028e+00 1.9009703648e+02 5.4212403027e+03
2.0210105053e+00 1.9097092421e+02 5.4369825869e+03
2.0310155078e+00 1.9184681798e+02 5.4526529160e+03
2.0410205103e+00 1.9272470935e+02 5.4682517823e+03
2.0510255128e+00 1.9360458997e+02 5.4837796745e+03
2.0610305153e+00 1.9448645159e+02 5.4992370773e+03
2.0710355178e+00 1.9537028605e+02 5.5146244718e+03
2.0810405203e+00 1.9625608525e+02 5.5299423352e+03
2.0910455228e+00 1.9714384123e+02 5.5451911411e+03
2.1010505253e+00 1.9803354608e+02 5.5603713594e+03
2.1110555278e+00 1.9892519199e+02 5.5754834561e+03
2.1210605303e+00 1.9981877123e+02 5.5905278938e+03
2.1310655328e+00 2.0071427616e+02 5.6055051313e+03
2.1410705353e+00 2.0161169923e+02 5.6204156238e+03
2.1510755378e+00 2.0251103297e+02 5.6352598229e+03
2.1610805403e+00 2.0341226996e+02 5.6500381766e+03
2.1710855428e+00 2.0431540291e+02 5.6647511294e+03
2.1810905453e+00 2.0522042457e+02 5.6793991223e+03
2.1910955478e+00 2.0612732779e+02 5.6939825927e+03
2.2011005503e+00 2.0703610548e+02 5.7085019744e+03
2.2111055528e+00 2.0794675065e+02 5.7229576980e+03
2.2211105553e+00 2.0885925636e+02 5.7373501905e+03
2.2311155578e+00 2.0977361576e+02 5.7516798755e+03
2.2411205603e+00 2.1068982206e+02 5.7659471733e+03
2.2511255628e+00 2.1160786855e+02 5.7801525007e+03
2.2611305653e+00 2.1252774860e+02 5.7942962711e+03
2.2711355678e+00 2.1344945562e+02 5.8083788948e+03
2.2811405703e+00 2.1437298313e+02 5.8224007786e+03
2.2911455728e+00 2.1529832468e+02 5.8363623262e+03
2.3011505753e+00 2.1622547391e+02 5.8502639379e+03
2.3111555778e+00 2.1715442452e+02 5.8641060108e+03
2.3211605803e+00 2.1808517028e+02 5.8778889388e+03
2.3311655828e+00 2.1901770502e+02 5.8916131128e+03
2.3411705853e+00 2.1995202263e+02 5.9052789202e+03
2.3511755878e+00 2.2088811706e+02 5.9188867455e+03
2.3611805903e+00 2.2182598234e+02 5.9324369702e+03
2.3711855928e+00 2.2276561254e+02 5.9459299724e+03
2.3811905953e+00 2.2370700181e+02 5.9593661274e+03
2.3911955978e+00 2.2465014435e+02 5.9727458074e+03
2.4012006003e+00 2.2559503441e+02 5.9860693815e+03
2.4112056028e+00 2.2654166630e+02 5.9993372159e+03
2.4212106053e+00 2.2749003442e+02 6.0125496739e+03
2.4312156078e+00 2.2844013317e+02 6.0257071157e+03
2.4412206103e+00 2.2939195705e+02 6.0388098986e+03
2.4512256128e+00 2.3034550060e+02 6.0518583773e+03
2.4612306153e+00 2.3130075841e+02 6.0648529032e+03
2.4712356178e+00 2.3225772514e+02 6.0777938251e+03
2.4812406203e+00 2.3321639547e+02 6.0906814890e+03
2.4912456228e+00 2.3417676417e+02 6.1035162381e+03
2.5012506253e+00 2.3513882604e+02 6.1162984126e+03
2.5112556278e+00 2.3610257594e+02 6.1290283503e+03
2.5212606303e+00 2.3706800876e+02 6.1417063860e+03
2.5312656328e+00 2.3803511946e+02 6.1543328519e+03
2.5412706353e+00 2.3900390305e+02 6.1669080775e+03
2.5512756378e+00 2.3997435458e+02 6.1794323896e+03
2.5612806403e+00 2.4094646914e+02 6.1919061125e+03
2.5712856428e+00 2.4192024188e+02 6.2043295678e+03
2.5812906453e+00 2.4289566800e+02 6.2167030744e+03
2.5912956478e+00 2.4387274272e+02 6.2290269488e+03
2.6013006503e+00 2.4485146133e+02 6.2413015048e+03
2.6113056528e+00 2.4583181916e+02 6.2535270539e+03
2.6213106553e+00 2.4681381158e+02 6.2657039049e+03
2.6313156578e+00 2.4779743400e+02 6.2778323641e+03
2.6413206603e+00 2.4878268188e+02 6.2899127354e+03
2.6513256628e+00 2.4976955071e+02 6.3019453204e+03
2.6613306653e+00 2.5075803604e+02 6.3139304180e+03
2.6713356678e+00 2.5174813344e+02 6.3258683249e+03
2.6813406703e+00 2.5273983854e+02 6.3377593354e+03
2.6913456728e+00 2.5373314700e+02 6.3496037413e+03
2.7013506753e+00 2.5472805452e+02 6.3614018324e+03
2.7113556778e+00 2.5572455684e+02 6.3731538958e+03
2.7213606803e+00 2.5672264973e+02 6.3848602165e+03
2.7313656828e+00 2.5772232902e+02 6.3965210772e+03
2.7413706853e+00 2.5872359056e+02 6.4081367583e+03
2.7513756878e+00 2.5972643024e+02 6.4197075381e+03
2.7613806903e+00 2.6073084399e+02 6.4312336926e+03
2.7713856928e+00 2.6173682777e+02 6.4427154955e+03
2.7813906953e+00 2.6274437757e+02 6.4541532184e+03
2.7913956978e+00 2.6375348944e+02 6.4655471309e+03
2.8014007004e+00 2.6476415944e+02 6.4768975003e+03
2.8114057029e+00 2.6577638368e+02 6.4882045917e+03
2.8214107054e+00 2.6679015829e+02 6.4994686683e+03
2.8314157079e+00 2.6780547944e+02 6.5106899911e+03
2.8414207104e+00 2.6882234334e+02 6.5218688191e+03
2.8514257129e+00 2.6984074623e+02 6.5330054092e+03
2.8614307154e+00 2.7086068436e+02 6.5441000163e+03
2.8714357179e+00 2.7188215405e+02 6.5551528933e+03
2.8814407204e+00 2.7290515162e+02 6.5661642911e+03
2.8914457229e+00 2.7392967343e+02 6.5771344586e+03
2.9014507254e+00 2.7495571588e+02 6.5880636428e+03
2.9114557279e+00 2.7598327540e+02 6.5989520888e+03
2.9214607304e+00 2.7701234842e+02 6.6098000397e+03
2.9314657329e+00 2.7804293145e+02 6.6206077367e+03
2.9414707354e+00 2.7907502099e+02 6.6313754191e+03
2.9514757379e+00 2.8010861357e+02 6.6421033244e+03
2.9614807404e+00 2.8114370577e+02 6.6527916882e+03
2.9714857429e+00 2.8218029419e+02 6.6634407443e+03
2.9814907454e+00 2.8321837545e+02 6.6740507247e+03
2.9914957479e+00 2.8425794621e+02 6.6846218596e+03
3.0015007504e+00 2.8529900313e+02 6.6951543772e+03
3.0115057529e+00 2.8634154293e+02 6.7056485043e+03
3.0215107554e+00 2.8738556234e+02 6.7161044657e+03
3.0315157579e+00 2.8843105812e+02 6.7265224845e+03
3.0415207604e+00 2.8947802705e+02 6.7369027820e+03
3.0515257629e+00 2.9052646594e+02 6.7472455781e+03
3.0615307654e+00 2.9157637163e+02 6.7575510906e+03
3.0715357679e+00 2.9262774098e+02 6.7678195360e+03
3.0815407704e+00 2.9368057086e+02 6.7780511289e+03
