T,P_calc
1e-06,1.0
1.0233132151630174e-06,1.0
1.047169936327272e-06,1.0
1.0715828343651132e-06,1.0
1.096564875547663e-06,1.0
1.1221293284315132e-06,1.0
1.1482897709059693e-06,1.0
1.1750600974045922e-06,1.0
1.2024545262848618e-06,1.0
1.230487607379885e-06,1.0
1.2591742297261588e-06,1.0
1.2885296294714914e-06,1.0
1.3185693979672835e-06,1.0
1.349309490049465e-06,1.0
1.3807662325124898e-06,1.0
1.4129563327808825e-06,1.0
1.4458968877829511e-06,1.0
1.4796053930313724e-06,1.0
1.514099751915474e-06,1.0
1.5493982852101507e-06,1.0
1.585519740806465e-06,1.0
1.622483303669098e-06,1.0
1.660308606025939e-06,1.0
1.6990157377952313e-06,1.0
1.7386252572558044e-06,1.0
1.7791582019660656e-06,1.0
1.8206360999375477e-06,1.0
1.8630809810689488e-06,1.0
1.9065153888467348e-06,1.0
1.9509623923185225e-06,1.0
1.9964455983455997e-06,1.0
2.0429891641410897e-06,1.0
2.090617810100424e-06,1.0
2.139356832930932e-06,1.0
2.189232119087522e-06,1.0
2.240270158521598e-06,1.0
2.2924980587504996e-06,1.0
2.3459435592549497e-06,1.0
2.4006350462121553e-06,1.0
2.4566015675723797e-06,1.0
2.5138728484870007e-06,1.0
2.5724793070962458e-06,1.0
2.6324520706849902e-06,1.0
2.6938229922152005e-06,1.0
2.756624667243797e-06,1.0
2.820890451234933e-06,1.0
2.886654477275874e-06,1.0
2.9539516742058945e-06,1.0
3.022817785167812e-06,1.0
3.093289386592025e-06,1.0
3.1654039076231233e-06,1.0
3.2391996499993974e-06,1.0
3.3147158083958045e-06,1.0
3.3919924912411912e-06,1.0
3.4710707420208367e-06,1.0
3.551992561075623e-06,1.0
3.6348009279094165e-06,1.0
3.719539824016504e-06,1.0
3.806254256241213e-06,1.0
3.894990280682115e-06,1.0
3.9857950271535195e-06,1.0
4.078716724217234e-06,1.0
4.173804724797909e-06,1.0
4.2711095323955414e-06,1.0
4.370682827909093e-06,1.0
4.472577497085444e-06,1.0
4.576847658608267e-06,1.0
4.6835486928417536e-06,1.0
4.792737271244443e-06,1.0
4.904471386468777e-06,1.0
5.018810383162387e-06,1.0
5.135814989487438e-06,1.0
5.255547349374808e-06,1.0
5.3780710555302095e-06,1.0
5.503451183209782e-06,1.0
5.631754324783114e-06,1.0
5.763048625102037e-06,1.0
5.897403817693973e-06,1.0
6.034891261799073e-06,1.0
6.175583980270809e-06,1.0
6.3195566983601456e-06,1.0
6.466885883403904e-06,1.0
6.61764978543838e-06,1.0
6.771928478759801e-06,1.0
6.929803904453694e-06,1.0
7.091359913915741e-06,1.0
7.256682313387256e-06,1.0
7.4258589095289164e-06,1.0
7.5989795560569735e-06,1.0
7.7761362014667e-06,1.0
7.957422937868423e-06,1.0
8.142936050962081e-06,1.0
8.332774071176851e-06,1.0
8.52703782600301e-06,1.0
8.725830493543807e-06,1.0
8.929257657315812e-06,1.0
9.137427362326838e-06,1.0
9.350450172461225e-06,1.0
9.568439229202887e-06,1.0
9.79151031172755e-06,1.0
1.001978189839574e-05,0.9999999999998073
1.0253375229679547e-05,0.9999999999689985
1.049241437255622e-05,0.9999999998852104
1.073702628640316e-05,0.9999999997479132
1.098734089042905e-05,0.9999999995565774
1.1243491132677042e-05,0.9999999993106732
1.1505613060636621e-05,0.9999999990096707
1.1773845893501692e-05,0.9999999986530405
1.2048332096113105e-05,0.9999999982402527
1.232921745462528e-05,0.9999999977707775
1.261665115393659e-05,0.9999999972440853
1.2910785856925046e-05,0.9999999966596463
1.3211777785531182e-05,0.9999999960169309
1.3519786803731245e-05,0.9999999953154093
1.3834976502444755e-05,0.9999999945545517
1.4157514286421541e-05,0.9999999937338285
1.4487571463154379e-05,0.99999999285271
1.4825323333864489e-05,0.9999999919106665
1.5170949286608175e-05,0.9999999909071681
1.5524632891554098e-05,0.9999999898416851
1.5886561998481755e-05,0.999999988713688
1.6256928836552978e-05,0.999999987522647
1.66359301164094e-05,0.9999999862680322
1.7023767134650176e-05,0.9999999849493141
1.742064588074538e-05,0.9999999835659629
1.782677714644193e-05,0.9999999821174488
1.8242376637720096e-05,0.9999999806032421
1.8667665089360067e-05,0.9999999790228132
1.9102868382179465e-05,0.9999999773756324
1.954821766300402e-05,0.9999999756611697
2.000394946743513e-05,0.9999999738788957
2.0470305845479573e-05,0.9999999720282806
2.0947534490108014e-05,0.9999999701087945
2.143588886881063e-05,0.9999999681199079
2.1935628358219744e-05,0.999999966061091
2.244701838187091e-05,0.999999963931814
2.2970330551175673e-05,0.9999999617315473
2.3505842809680864e-05,0.9999999594597611
2.4053839580691023e-05,0.9999999571159257
2.461461191833238e-05,0.9999999546995114
2.5188457662138635e-05,0.9999999522099886
2.577568159524063e-05,0.9999999496468274
2.63765956062439e-05,0.999999947009498
2.6991518854880165e-05,0.999999944297471
2.762077794152063e-05,0.9999999415102163
2.8264707080641226e-05,0.9999999386472046
2.892364827833188e-05,0.9999999357079058
2.959795151394407e-05,0.9999999326917904
3.0287974925973207e-05,0.9999999295983286
3.09940850022745e-05,0.9999999264269908
3.1716656774713376e-05,0.9999999231772471
3.245607401835385e-05,0.9999999198485677
3.321272945529055e-05,0.9999999164404233
3.398702496323283e-05,0.9999999129522839
3.4779371788951514e-05,0.9999999093836196
3.5590190766701924e-05,0.9999999057339011
3.641991254173888e-05,0.9999999020025984
3.726897779904272e-05,0.9999998981891818
3.8137837497377524e-05,0.9999998942931216
3.902695310880608e-05,0.9999998903138881
3.993679686378867e-05,0.9999998862509517
4.08678520019959e-05,0.9999998821037825
4.182061302896878e-05,0.999999877871851
4.279558597876242e-05,0.9999998735546272
4.379328868271272e-05,0.9999998691515815
4.481425104446894e-05,0.9999998646621842
4.5859015321438124e-05,0.9999998600859056
4.692813641279092e-05,0.9999998554222159
4.8022182154181755e-05,0.9999998506705856
4.914173361933981e-05,0.9999998458304846
5.028738542869117e-05,0.9999998409013836
5.1459746065175835e-05,0.9999998358827527
5.265943819742752e-05,0.999999830774062
5.388709901048777e-05,0.999999825574782
5.51433805442301e-05,0.999999820284383
5.642895003967388e-05,0.9999998149023351
5.7744490293371964e-05,0.9999998094281087
5.909070002006012e-05,0.9999998038611742
6.0468294223761095e-05,0.9999997982010016
6.187800457754028e-05,0.9999997924470614
6.332057981211466e-05,0.9999997865988238
6.479678611352151e-05,0.9999997806557592
6.630740753005805e-05,0.9999997746173377
6.785324638870819e-05,0.9999997684830296
6.943512372127738e-05,0.9999997622523054
7.105387970046225e-05,0.9999997559246351
7.271037408608629e-05,0.9999997494994891
7.440548668173871e-05,0.9999997429763378
7.614011780205911e-05,0.9999997363546513
7.791518875091601e-05,0.9999997296338999
7.973164231073323e-05,0.9999997228135541
8.15904432432241e-05,0.9999997158930839
8.349257880179936e-05,0.9999997088719598
8.54390592559209e-05,0.9999997017496518
8.743091842767997e-05,0.9999996945256305
8.946921424088471e-05,0.999999687199366
9.155502928294856e-05,0.9999996797703287
9.36894713798783e-05,0.9999996722379887
9.587367418466677e-05,0.9999996646018164
9.810879777940294e-05,0.9999996568612822
0.00010039602929141914,0.9999996490158563
0.00010273658352380259,0.9999996410650087
0.0001051317036006063,0.9999996330082102
0.00010758266162710182,0.9999996248449305
0.00011009075936542456,0.9999996165746404
0.00011265732892597068,0.99999960819681
0.00011528373347491266,0.9999995997109095
0.00011797136795820926,0.9999995911164092
0.00012072165984249448,0.9999995824127794
