z,r_s_lcdm_Mpc,r_s_psitmg_Mpc,delta_r_s_Mpc
900.0,164.90540318945727,154.25880593221893,10.64659725723834
902.092050209205,164.663528552995,154.03226246180668,10.631266091188309
904.18410041841,164.42243355727993,153.80645031523156,10.615983242048372
906.276150627615,164.18211416250523,153.58136569676128,10.600748465743948
908.36820083682,163.94256635819556,153.35700483827063,10.585561519924937
910.4602510460251,163.7037861629321,153.13336399898273,10.57042216394936
912.5523012552301,163.46576962407897,152.91043946521043,10.555330158868543
914.6443514644352,163.22851281751417,152.68822755010316,10.540285267411008
916.7364016736402,162.99201184736276,152.466724593395,10.525287253967747
918.8284518828452,162.75626284573306,152.24592696115616,10.510335884576904
920.9205020920502,162.52126197245713,152.0258310455483,10.495430926908824
923.0125523012553,162.2870054148319,151.8064332645805,10.48057215025139
925.1046025104603,162.05348938736634,151.58773006187073,10.465759325495611
927.1966527196653,161.82071013152867,151.36971790640777,10.450992225120899
929.2887029288703,161.5886639154978,151.1523932923166,10.436270623181201
931.3807531380753,161.3573470339179,150.93575273862757,10.421594295290333
933.4728033472803,161.12675580765497,150.71979278904612,10.406963018608849
935.5648535564853,160.89688658355612,150.50451001172672,10.392376571829402
937.6569037656903,160.6677357342128,150.28990099904902,10.377834735163788
939.7489539748954,160.43929965772514,150.07596236739604,10.363337290329099
941.8410041841004,160.21157477746948,149.86269075693508,10.348884020534399
943.9330543933054,159.98455754186966,149.650082831402,10.334474710467674
946.0251046025105,159.7582444241684,149.43813527788564,10.32010914628276
948.1171548117155,159.53263192220408,149.22684480661772,10.305787115586355
950.2092050209205,159.30771655818768,149.01620815076242,10.291508407425255
952.3012552301255,159.0834948784839,148.80622206620995,10.277272812273935
954.3933054393306,158.85996345339305,148.59688333137143,10.26308012202162
956.4853556485356,158.63711887693705,148.38818874697665,10.2489301299604
958.5774058577406,158.41495776664672,148.18013513587402,10.234822630772697
960.6694560669456,158.1934767633518,147.9727193428324,10.22075742051942
962.7615062761506,157.97267253097277,147.76593823434513,10.206734296627644
964.8535564853556,157.7525417563161,147.55978869843693,10.192753057879173
966.9456066945606,157.53308114887054,147.354267644472,10.178813504398533
969.0376569037657,157.31428744060582,147.14937200296427,10.164915437641554
971.1297071129707,157.09615738577483,146.945098725391,10.151058660383825
973.2217573221758,156.87868776071605,146.74144478400666,10.137242976709388
975.3138075313807,156.6618753636592,146.53840717165963,10.123468191999564
977.4058577405858,156.44571701453341,146.33598290161174,10.109734112921672
979.4979079497908,156.23020955477617,146.1341690073579,10.096040547418255
981.5899581589958,156.01534984714573,145.93296254244953,10.082387304696198
983.6820083682009,155.801134775534,145.73236058031833,10.068774195215667
985.7740585774059,155.5875612447835,145.5323602141036,10.05520103067991
987.8661087866109,155.3746261805041,145.3329585564796,10.041667624024484
989.9581589958159,155.16232652889315,145.13415273948644,10.028173789406708
992.0502092050209,154.95065925655723,144.93593991436148,10.014719342195747
994.1422594142259,154.73962135033517,144.73831725137336,10.00130409896181
996.2343096234309,154.529209817124,144.5412819396573,9.987927877466717
998.326359832636,154.3194216837063,144.34483118705276,9.974590496653548
1000.418410041841,154.11025399657856,144.14896221994206,9.9612917766365
1002.510460251046,153.90170382178275,143.95367228309095,9.948031538691794
1004.6025104602511,153.69376824473878,143.75895863949162,9.934809605247153
1006.6945606694561,153.4864443700792,143.56481857020617,9.921625799873027
1008.7866108786611,153.27972932148475,143.3712493742124,9.908479947272355
1010.8786610878661,153.07362024152303,143.17824836825127,9.895371873271756
1012.9707112970711,152.86811429148779,142.98581288667597,9.882301404811813
1015.0627615062762,152.66320865124015,142.7939402813019,9.869268369938254
1017.1548117154812,152.45890051905155,142.60262792125917,9.856272597792383
1019.2468619246862,152.25518711144844,142.41187319284606,9.843313918602377
1021.3389121338912,152.05206566305856,142.22167349938414,9.830392163674418
1023.4309623430962,151.84953342645844,142.03202626107475,9.817507165383688
