alpha,k,P_R
-9.000000e-02,4.641589e-04,2.433664e-09
-9.000000e-02,5.336699e-04,2.422990e-09
-9.000000e-02,6.135907e-04,2.412362e-09
-9.000000e-02,7.054802e-04,2.401781e-09
-9.000000e-02,8.111308e-04,2.391246e-09
-9.000000e-02,9.326033e-04,2.380758e-09
-9.000000e-02,1.072267e-03,2.370315e-09
-9.000000e-02,1.232847e-03,2.359919e-09
-9.000000e-02,1.417474e-03,2.349568e-09
-9.000000e-02,1.629751e-03,2.339262e-09
-9.000000e-02,1.873817e-03,2.329002e-09
-9.000000e-02,2.154435e-03,2.318786e-09
-9.000000e-02,2.477076e-03,2.308615e-09
-9.000000e-02,2.848036e-03,2.298489e-09
-9.000000e-02,3.274549e-03,2.288408e-09
-9.000000e-02,3.764936e-03,2.278370e-09
-9.000000e-02,4.328761e-03,2.268377e-09
-9.000000e-02,4.977024e-03,2.258427e-09
-9.000000e-02,5.722368e-03,2.248522e-09
-9.000000e-02,6.579332e-03,2.238659e-09
-9.000000e-02,7.564633e-03,2.228840e-09
-9.000000e-02,8.697490e-03,2.219064e-09
-9.000000e-02,1.000000e-02,2.209330e-09
-9.000000e-02,1.149757e-02,2.199640e-09
-9.000000e-02,1.321941e-02,2.189992e-09
-9.000000e-02,1.519911e-02,2.180386e-09
-9.000000e-02,1.747528e-02,2.170823e-09
-9.000000e-02,2.009233e-02,2.161301e-09
-9.000000e-02,2.310130e-02,2.151821e-09
-9.000000e-02,2.656088e-02,2.142383e-09
-9.000000e-02,3.053856e-02,2.132986e-09
-9.000000e-02,3.511192e-02,2.123630e-09
-9.000000e-02,4.037017e-02,2.114315e-09
-9.000000e-02,4.641589e-02,2.105042e-09
-9.000000e-02,5.336699e-02,2.095808e-09
-9.000000e-02,6.135907e-02,2.086616e-09
-9.000000e-02,7.054802e-02,2.077464e-09
-9.000000e-02,8.111308e-02,2.068351e-09
-9.000000e-02,9.326033e-02,2.059279e-09
-9.000000e-02,1.072267e-01,2.050247e-09
-9.000000e-02,1.232847e-01,2.041254e-09
-9.000000e-02,1.417474e-01,2.032301e-09
-9.000000e-02,1.629751e-01,2.023387e-09
-9.000000e-02,1.873817e-01,2.014512e-09
-9.000000e-02,2.154435e-01,2.005676e-09
-9.000000e-02,2.477076e-01,1.996878e-09
-9.000000e-02,2.848036e-01,1.988120e-09
-9.000000e-02,3.274549e-01,1.979399e-09
-9.000000e-02,3.764936e-01,1.970717e-09
-9.000000e-02,4.328761e-01,1.962073e-09
-9.000000e-02,4.977024e-01,1.953467e-09
-9.000000e-02,5.722368e-01,1.944899e-09
-9.000000e-02,6.579332e-01,1.936368e-09
-9.000000e-02,7.564633e-01,1.927875e-09
-9.000000e-02,8.697490e-01,1.919419e-09
-9.000000e-02,1.000000e+00,1.911000e-09
-9.000000e-02,1.149757e+00,1.902618e-09
-9.000000e-02,1.321941e+00,1.894273e-09
-9.000000e-02,1.519911e+00,1.885964e-09
-9.000000e-02,1.747528e+00,1.877692e-09
-9.000000e-02,2.009233e+00,1.869456e-09
-9.000000e-02,2.310130e+00,1.861256e-09
-9.000000e-02,2.656088e+00,1.853092e-09
-9.000000e-02,3.053856e+00,1.844964e-09
-9.000000e-02,3.511192e+00,1.836872e-09
-9.000000e-02,4.037017e+00,1.828815e-09
-9.000000e-02,4.641589e+00,1.820793e-09
-9.000000e-02,5.336699e+00,1.812807e-09
-9.000000e-02,6.135907e+00,1.804856e-09
-9.000000e-02,7.054802e+00,1.796939e-09
-9.000000e-02,8.111308e+00,1.789058e-09
-9.000000e-02,9.326033e+00,1.781210e-09
-9.000000e-02,1.072267e+01,1.773398e-09
-9.000000e-02,1.232847e+01,1.765619e-09
-9.000000e-02,1.417474e+01,1.757875e-09
-9.000000e-02,1.629751e+01,1.750164e-09
-9.000000e-02,1.873817e+01,1.742488e-09
-9.000000e-02,2.154435e+01,1.734845e-09
-9.000000e-02,2.477076e+01,1.727236e-09
-9.000000e-02,2.848036e+01,1.719660e-09
-9.000000e-02,3.274549e+01,1.712117e-09
-9.000000e-02,3.764936e+01,1.704607e-09
-9.000000e-02,4.328761e+01,1.697130e-09
-9.000000e-02,4.977024e+01,1.689687e-09
-9.000000e-02,5.722368e+01,1.682275e-09
-9.000000e-02,6.579332e+01,1.674896e-09
-9.000000e-02,7.564633e+01,1.667550e-09
-9.000000e-02,8.697490e+01,1.660236e-09
-9.000000e-02,1.000000e+02,1.652954e-09
-8.000000e-02,1.000000e-04,2.591834e-09
-8.000000e-02,1.149757e-04,2.580321e-09
-8.000000e-02,1.321941e-04,2.568860e-09
-8.000000e-02,1.519911e-04,2.557450e-09
-8.000000e-02,1.747528e-04,2.546090e-09
-8.000000e-02,2.009233e-04,2.534781e-09
-8.000000e-02,2.310130e-04,2.523522e-09
-8.000000e-02,2.656088e-04,2.512313e-09
-8.000000e-02,3.053856e-04,2.501154e-09
-8.000000e-02,3.511192e-04,2.490045e-09
-8.000000e-02,4.037017e-04,2.478984e-09
-8.000000e-02,4.641589e-04,2.467973e-09
-8.000000e-02,5.336699e-04,2.457011e-09
-8.000000e-02,6.135907e-04,2.446098e-09
-8.000000e-02,7.054802e-04,2.435233e-09
