ell,cl_lcdm,cl_mcgt,delta_cls,delta_cls_rel
139,5.40718576673767e-10,5.40718576673767e-10,0.0,0.0
140,5.453346418276233e-10,5.453346418276232e-10,-1.0339757656912846e-25,-1.896039030687725e-16
141,5.499392534145606e-10,5.499392534145606e-10,0.0,0.0
142,5.54531507715531e-10,5.54531507715531e-10,0.0,0.0
143,5.5911150109548e-10,5.5911150109548e-10,0.0,0.0
144,5.636763300222642e-10,5.636763300222642e-10,0.0,0.0
145,5.682260910863682e-10,5.682260910863682e-10,0.0,0.0
146,5.727568810212718e-10,5.727568810212718e-10,0.0,0.0
147,5.772677967243057e-10,5.772677967243057e-10,0.0,0.0
148,5.817569352778357e-10,5.817569352778357e-10,0.0,0.0
149,5.862223939706001e-10,5.862223939706001e-10,0.0,0.0
150,5.906622703190346e-10,5.906622703190346e-10,0.0,0.0
151,5.950736347946811e-10,5.950736347946811e-10,0.0,0.0
152,5.994574489637878e-10,5.994574489637878e-10,0.0,0.0
153,6.038116473887141e-10,6.038116473887141e-10,0.0,0.0
154,6.08136164941183e-10,6.08136164941183e-10,0.0,0.0
155,6.124299368209413e-10,6.124299368209413e-10,0.0,0.0
156,6.166938985733887e-10,6.166938985733887e-10,0.0,0.0
157,6.209249861060299e-10,6.209249861060299e-10,0.0,0.0
158,6.251241357036024e-10,6.251241357036024e-10,0.0,0.0
159,6.29289284041752e-10,6.29289284041752e-10,0.0,0.0
160,6.334193681991322e-10,6.334193681991322e-10,0.0,0.0
161,6.375113256678212e-10,6.375113256678212e-10,0.0,0.0
162,6.41564094361961e-10,6.41564094361961e-10,0.0,0.0
163,6.455766126245378e-10,6.455766126245378e-10,0.0,0.0
164,6.49545819232239e-10,6.49545819232239e-10,0.0,0.0
165,6.534716533983361e-10,6.534716533983361e-10,0.0,0.0
166,6.573520547735626e-10,6.573520547735626e-10,0.0,0.0
167,6.611859634449655e-10,6.611859634449655e-10,0.0,0.0
168,6.649723199327347e-10,6.649723199327347e-10,0.0,0.0
169,6.687100651850247e-10,6.687100651850247e-10,0.0,0.0
170,6.723981405708004e-10,6.723981405708004e-10,0.0,0.0
171,6.760344878707609e-10,6.760344878707609e-10,0.0,0.0
172,6.796200492664013e-10,6.796200492664013e-10,0.0,0.0
173,6.831517673272971e-10,6.831517673272971e-10,0.0,0.0
174,6.866285849967079e-10,6.866285849967079e-10,0.0,0.0
175,6.900504455756053e-10,6.900504455756053e-10,0.0,0.0
176,6.934153107248628e-10,6.934153107248628e-10,0.0,0.0
177,6.967222145053491e-10,6.967222145053491e-10,0.0,0.0
178,6.999692092991915e-10,6.999692092991915e-10,0.0,0.0
179,7.031563477692429e-10,7.031563477692429e-10,0.0,0.0
180,7.062826828373077e-10,7.062826828373077e-10,0.0,0.0
181,7.093462676616828e-10,7.093462676616828e-10,0.0,0.0
182,7.123471556141937e-10,7.123471556141937e-10,0.0,0.0
183,7.152844002568978e-10,7.152844002568978e-10,0.0,0.0
184,7.181560553186423e-10,7.181560553186423e-10,0.0,0.0
185,7.209621746716521e-10,7.209621746716521e-10,0.0,0.0
186,7.237008123083314e-10,7.237008123083314e-10,0.0,0.0
187,7.263720223184557e-10,7.263720223184557e-10,0.0,0.0
188,7.289748588669261e-10,7.289748588669261e-10,0.0,0.0
189,7.315073761722552e-10,7.315073761722552e-10,0.0,0.0
190,7.339696284859434e-10,7.339696284859434e-10,0.0,0.0
191,7.363606700728969e-10,7.363606700728969e-10,0.0,0.0
192,7.386785551930295e-10,7.386785551930295e-10,0.0,0.0
193,7.409223380841783e-10,7.409223380841783e-10,0.0,0.0
194,7.430930729464499e-10,7.430930729464499e-10,0.0,0.0
195,7.451888139281014e-10,7.451888139281014e-10,0.0,0.0
196,7.47209615113047e-10,7.47209615113047e-10,0.0,0.0
197,7.491555305100629e-10,7.491555305100629e-10,0.0,0.0
198,7.510266140437486e-10,7.510266140437486e-10,0.0,0.0
199,7.528199195472886e-10,7.528199195472886e-10,0.0,0.0
200,7.545375007570373e-10,7.545375007570373e-10,0.0,0.0
201,7.561774026830673e-10,7.561774026830673e-10,0.0,0.0
202,7.577386357298028e-10,7.577386357298028e-10,0.0,0.0
203,7.592182015736617e-10,7.592182015736617e-10,0.0,0.0
204,7.606171017907116e-10,7.606171017907116e-10,0.0,0.0
205,7.619313378601513e-10,7.619313378601513e-10,0.0,0.0
206,7.631619111694093e-10,7.631619111694093e-10,0.0,0.0
207,7.64306823020768e-10,7.64306823020768e-10,0.0,0.0
208,7.653650746394082e-10,7.653650746394082e-10,0.0,0.0
209,7.663406671827555e-10,7.663406671827555e-10,0.0,0.0
210,7.67231601750994e-10,7.67231601750994e-10,0.0,0.0
211,7.680388793986073e-10,7.680388793986073e-10,0.0,0.0
212,7.687645011467916e-10,7.687645011467916e-10,0.0,0.0
213,7.694084679965797e-10,7.694084679965797e-10,0.0,0.0
214,7.699717809425046e-10,7.699717809425046e-10,0.0,0.0
215,7.704544409866316e-10,7.704544409866316e-10,0.0,0.0
216,7.708544491527738e-10,7.708544491527738e-10,0.0,0.0
217,7.711718065007152e-10,7.711718065007152e-10,0.0,0.0
218,7.714065141402531e-10,7.714065141402531e-10,0.0,0.0
219,7.715575732448807e-10,7.715575732448807e-10,0.0,0.0
220,7.71623985064929e-10,7.71623985064929e-10,0.0,0.0
221,7.716067509399912e-10,7.716067509399912e-10,0.0,0.0
222,7.715038723104598e-10,7.715038723104598e-10,0.0,0.0
223,7.713163507280133e-10,7.713163507280133e-10,0.0,0.0
224,7.710451878648963e-10,7.710451878648963e-10,0.0,0.0
225,7.706903855218481e-10,7.706903855218481e-10,0.0,0.0
226,7.70250945634548e-10,7.70250945634548e-10,0.0,0.0
227,7.697278702784539e-10,7.697278702784539e-10,0.0,0.0
228,7.691211616719275e-10,7.691211616719275e-10,0.0,0.0
229,7.684318221775537e-10,7.684318221775537e-10,0.0,0.0
230,7.676588543015762e-10,7.676588543015762e-10,0.0,0.0
231,7.668032606913886e-10,7.668032606913886e-10,0.0,0.0
232,7.658660441310376e-10,7.658660441310376e-10,0.0,0.0
233,7.648462075347091e-10,7.648462075347091e-10,0.0,0.0
234,7.637437539381921e-10,7.637437539381921e-10,0.0,0.0
235,7.625606864883239e-10,7.625606864883239e-10,0.0,0.0
236,7.612950084304491e-10,7.612950084304491e-10,0.0,0.0
237,7.599497230939304e-10,7.599497230939304e-10,0.0,0.0
238,7.585238338757767e-10,7.585238338757767e-10,0.0,0.0
239,7.570183442224658e-10,7.570183442224658e-10,0.0,0.0
240,7.554332576100555e-10,7.554332576100555e-10,0.0,0.0
241,7.537685775226928e-10,7.537685775226928e-10,0.0,0.0
242,7.520263074296471e-10,7.520263074296471e-10,0.0,0.0
243,7.502064507610047e-10,7.502064507610047e-10,0.0,0.0
244,7.483090108821733e-10,7.483090108821733e-10,0.0,0.0
245,7.46335991067362e-10,7.46335991067362e-10,0.0,0.0
246,7.442883944722041e-10,7.442883944722041e-10,0.0,0.0
247,7.421652241057043e-10,7.421652241057043e-10,0.0,0.0
248,7.399694828016973e-10,7.399694828016973e-10,0.0,0.0
249,7.377001731900077e-10,7.377001731900077e-10,0.0,0.0
250,7.353592976675091e-10,7.353592976675091e-10,0.0,0.0
251,7.32945860739186e-10,7.32945860739186e-10,0.0,0.0
252,7.304608760993108e-10,7.304608760993108e-10,0.0,0.0
253,7.279043594936478e-10,7.279043594936478e-10,0.0,0.0
254,7.252783263221593e-10,7.252783263221593e-10,0.0,0.0
255,7.225807916124923e-10,7.225807916124923e-10,0.0,0.0
256,7.198137699945173e-10,7.198137699945173e-10,0.0,0.0
257,7.169782756760926e-10,7.169782756760926e-10,0.0,0.0
258,7.140763224202206e-10,7.140763224202206e-10,0.0,0.0
259,7.111089235237477e-10,7.111089235237477e-10,0.0,0.0
260,7.080790917977525e-10,7.080790917977525e-10,0.0,0.0
261,7.049868395497473e-10,7.049868395497473e-10,0.0,0.0
262,7.018351785678092e-10,7.018351785678092e-10,0.0,0.0
263,6.986251201067405e-10,6.986251201067405e-10,0.0,0.0
264,6.95357674876336e-10,6.95357674876336e-10,0.0,0.0
265,6.920328530318297e-10,6.920328530318297e-10,0.0,0.0
266,6.886516641665614e-10,6.886516641665614e-10,0.0,0.0
267,6.852161173069e-10,6.852161173069e-10,0.0,0.0
268,6.817262209094295e-10,6.817262209094295e-10,0.0,0.0
269,6.781819828603959e-10,6.781819828603959e-10,0.0,0.0
270,6.745844104773888e-10,6.745844104773888e-10,0.0,0.0
271,6.709365105132138e-10,6.709365105132138e-10,0.0,0.0
272,6.672372891618981e-10,6.672372891618981e-10,0.0,0.0
273,6.634907520667519e-10,6.634907520667519e-10,0.0,0.0
274,6.596959043303894e-10,6.596959043303894e-10,0.0,0.0
275,6.558547505266054e-10,6.558547505266054e-10,0.0,0.0
276,6.519702947139789e-10,6.519702947139789e-10,0.0,0.0
277,6.480425404510706e-10,6.480425404510706e-10,0.0,0.0
278,6.440724908130631e-10,6.440724908130631e-10,0.0,0.0
279,6.400621484096839e-10,6.400621484096839e-10,0.0,0.0
280,6.360135154042416e-10,6.360135154042416e-10,0.0,0.0
281,6.319265935335979e-10,6.319265935335979e-10,0.0,0.0
282,6.278033841288894e-10,6.278033841288894e-10,0.0,0.0
283,6.236458881368116e-10,6.236458881368116e-10,0.0,0.0
284,6.194541061412712e-10,6.194541061412712e-10,0.0,0.0
285,6.152300383852141e-10,6.152300383852141e-10,0.0,0.0
286,6.109746847924324e-10,6.109746847924324e-10,0.0,0.0
287,6.066910449891598e-10,6.066910449891598e-10,0.0,0.0
288,6.023791183252677e-10,6.023791183252677e-10,0.0,0.0
289,5.980399038948755e-10,5.980399038948755e-10,0.0,0.0
290,5.93676400556199e-10,5.93676400556199e-10,0.0,0.0
291,5.892896069504707e-10,5.892896069504707e-10,0.0,0.0
292,5.848795215197691e-10,5.848795215197691e-10,0.0,0.0
293,5.804481425236107e-10,5.804481425236107e-10,0.0,0.0
294,5.759974680541711e-10,5.759974680541711e-10,0.0,0.0
295,5.7152749605001e-10,5.7152749605001e-10,0.0,0.0
296,5.670402243081952e-10,5.670402243081952e-10,0.0,0.0
297,5.625356504947321e-10,5.625356504947321e-10,0.0,0.0
298,5.580167721532261e-10,5.580167721532261e-10,0.0,0.0
299,5.534845867117154e-10,5.534845867117154e-10,0.0,0.0
300,5.489400914876378e-10,5.489400914876378e-10,0.0,0.0
301,5.443852823382877e-10,5.443852823382877e-10,0.0,0.0
302,5.398221496041427e-10,5.398221496041427e-10,0.0,0.0
303,5.352516821660122e-10,5.352516821660122e-10,0.0,0.0
304,5.306758687950996e-10,5.306758687950996e-10,0.0,0.0
305,5.260966981486453e-10,5.260966981486453e-10,0.0,0.0
306,5.215141587638303e-10,5.215141587638303e-10,0.0,0.0
307,5.169312390500298e-10,5.169312390500298e-10,0.0,0.0
308,5.123489272795084e-10,5.123489272795084e-10,0.0,0.0
309,5.07768211576676e-10,5.07768211576676e-10,0.0,0.0
310,5.031890799060298e-10,5.031890799060298e-10,0.0,0.0
311,4.986155200589238e-10,4.986155200589238e-10,0.0,0.0
312,4.94046519639318e-10,4.940465196393179e-10,-1.0339757656912846e-25,-2.0928712673578707e-16
313,4.894850660486717e-10,4.894850660486716e-10,-1.0339757656912846e-25,-2.1123744878224163e-16
314,4.849321464701504e-10,4.849321464701503e-10,-1.0339757656912846e-25,-2.1322070999368777e-16
315,4.803877478523271e-10,4.803877478523271e-10,0.0,0.0
316,4.758548568925645e-10,4.758548568925645e-10,0.0,0.0
317,4.713344600202638e-10,4.713344600202638e-10,0.0,0.0
318,4.668285433801753e-10,4.668285433801753e-10,0.0,0.0
319,4.6233709281596335e-10,4.6233709281596335e-10,0.0,0.0
320,4.578610938542165e-10,4.578610938542165e-10,0.0,0.0
321,4.5340453168909286e-10,4.5340453168909286e-10,0.0,0.0
322,4.489653911677871e-10,4.4896539116778706e-10,-5.169878828456423e-26,-1.151509432611107e-16
323,4.445476567769978e-10,4.4454765677699776e-10,-5.169878828456423e-26,-1.162952666523633e-16
324,4.40150312630568e-10,4.40150312630568e-10,0.0,0.0
325,4.3577634245846283e-10,4.357763424584628e-10,-5.169878828456423e-26,-1.1863605994052335e-16
326,4.3142572959723587e-10,4.3142572959723587e-10,0.0,0.0
327,4.2710045698212846e-10,4.271004569821284e-10,-5.169878828456423e-26,-1.210459680841023e-16
328,4.228015071409278e-10,4.2280150714092774e-10,-5.169878828456423e-26,-1.2227673603663867e-16
329,4.185298621897011e-10,4.1852986218970104e-10,-5.169878828456423e-26,-1.2352473014489814e-16
330,4.1428750383050276e-10,4.1428750383050276e-10,0.0,0.0
331,4.100744133511409e-10,4.100744133511409e-10,0.0,0.0
332,4.058925716270684e-10,4.058925716270684e-10,0.0,0.0
333,4.017419591254486e-10,4.017419591254486e-10,0.0,0.0
334,3.9762455591142823e-10,3.9762455591142823e-10,0.0,0.0
335,3.9354234165663075e-10,3.935423416566307e-10,-5.169878828456423e-26,-1.3136779149846065e-16
336,3.8949529564986636e-10,3.894952956498663e-10,-5.169878828456423e-26,-1.3273276689595356e-16
337,3.854843968100364e-10,3.8548439681003634e-10,-5.169878828456423e-26,-1.341138285035204e-16
338,3.8151062370119083e-10,3.815106237011908e-10,-5.169878828456423e-26,-1.3551074353582374e-16
339,3.775759545496821e-10,3.7757595454968207e-10,-5.169878828456423e-26,-1.3692288309572852e-16
340,3.736813672633391e-10,3.7368136726333906e-10,-5.169878828456423e-26,-1.3834992272475627e-16
341,3.698268394525696e-10,3.6982683945256953e-10,-5.169878828456423e-26,-1.397918776287047e-16
342,3.660133484532837e-10,3.6601334845328366e-10,-5.169878828456423e-26,-1.4124836840797032e-16
343,3.6224187135151586e-10,3.622418713515158e-10,-5.169878828456423e-26,-1.4271897418064143e-16
344,3.585123850096083e-10,3.5851238500960823e-10,-5.169878828456423e-26,-1.4420363269508438e-16
345,3.548258660938079e-10,3.5482586609380785e-10,-5.169878828456423e-26,-1.4570185892506563e-16
346,3.511832911031144e-10,3.5118329110311436e-10,-5.169878828456423e-26,-1.4721312088103998e-16
347,3.4758463639921056e-10,3.475846363992105e-10,-5.169878828456423e-26,-1.4873726531798357e-16
348,3.440308782372938e-10,3.4403087823729377e-10,-5.169878828456423e-26,-1.5027368633144962e-16
349,3.405239927976236e-10,3.4052399279762354e-10,-5.169878828456423e-26,-1.51821279492894e-16
350,3.3706395621759106e-10,3.37063956217591e-10,-5.169878828456423e-26,-1.533797587398819e-16
351,3.3365274510392936e-10,3.336527451039293e-10,-5.169878828456423e-26,-1.5494788831562167e-16
352,3.302913380046751e-10,3.3029133800467506e-10,-5.169878828456423e-26,-1.5652480805849185e-16
353,3.2697971400218714e-10,3.269797140021871e-10,-5.169878828456423e-26,-1.5811007860939783e-16
354,3.2371885226552004e-10,3.2371885226552e-10,-5.169878828456423e-26,-1.5970274181671677e-16
355,3.2051073208214627e-10,3.205107320821462e-10,-5.169878828456423e-26,-1.6130127047138607e-16
356,3.173543328890228e-10,3.1735433288902274e-10,-5.169878828456423e-26,-1.6290556934870347e-16
357,3.1425063430281776e-10,3.1425063430281776e-10,0.0,0.0
358,3.1120061614911855e-10,3.112006161491185e-10,-5.169878828456423e-26,-1.6612688279444674e-16
359,3.0820425849045373e-10,3.0820425849045373e-10,0.0,0.0
360,3.0526154165297e-10,3.0526154165296993e-10,-5.169878828456423e-26,-1.6935899623850057e-16
361,3.0237344625161666e-10,3.023734462516166e-10,-5.169878828456423e-26,-1.7097661492915508e-16
362,2.995399532137062e-10,2.9953995321370614e-10,-5.169878828456423e-26,-1.7259396527874808e-16
363,2.9676304380072805e-10,2.9676304380072805e-10,0.0,0.0
364,2.9404069962831365e-10,2.9404069962831365e-10,0.0,0.0
365,2.9137590268426164e-10,2.9137590268426164e-10,0.0,0.0
366,2.887676353445519e-10,2.8876763534455183e-10,-5.169878828456423e-26,-1.7903248825955945e-16
367,2.862168803872922e-10,2.8621688038729214e-10,-5.169878828456423e-26,-1.8062801961438615e-16
368,2.8372362100456e-10,2.8372362100456e-10,0.0,0.0
369,2.812878408121193e-10,2.8128784081211927e-10,-5.169878828456423e-26,-1.8379318542636694e-16
370,2.7891152385700844e-10,2.789115238570084e-10,-5.169878828456423e-26,-1.853590972851628e-16
371,2.7659265462301715e-10,2.765926546230171e-10,-5.169878828456423e-26,-1.8691309194391753e-16
372,2.7433321803408326e-10,2.7433321803408326e-10,0.0,0.0
373,2.7213219945566035e-10,2.7213219945566035e-10,0.0,0.0
374,2.699905846941236e-10,2.699905846941236e-10,0.0,0.0
375,2.6790735999429606e-10,2.6790735999429606e-10,0.0,0.0
376,2.658835120351953e-10,2.658835120351953e-10,0.0,0.0
377,2.6392002792411124e-10,2.6392002792411124e-10,0.0,0.0
378,2.620148951891432e-10,2.620148951891432e-10,0.0,0.0
379,2.601701017703337e-10,2.6017010177033373e-10,5.169878828456423e-26,1.9871148887892416e-16
380,2.5838563600954883e-10,2.5838563600954883e-10,0.0,0.0
381,2.566604866392644e-10,2.566604866392644e-10,0.0,0.0
382,2.5499564277042434e-10,2.549956427704244e-10,5.169878828456423e-26,2.027438105329089e-16
383,2.5339109387954696e-10,2.53391093879547e-10,5.169878828456423e-26,2.040276455380866e-16
384,2.5184582979525667e-10,2.5184582979525667e-10,0.0,0.0
385,2.503598406844247e-10,2.5035984068442476e-10,5.169878828456423e-26,2.0649792771569092e-16
386,2.489341170381038e-10,2.4893411703810387e-10,5.169878828456423e-26,2.076806060161324e-16
387,2.4756864965744133e-10,2.475686496574414e-10,5.169878828456423e-26,2.0882607049034443e-16
388,2.4626142963975446e-10,2.462614296397545e-10,5.169878828456423e-26,2.0993457383964766e-16
