ell,delta_Cl
351,-1.5805579612995617e-15
352,-1.5893487010435335e-15
353,-1.5983043676769513e-15
354,-1.6074230228054472e-15
355,-1.6167027160405343e-15
356,-1.6261414870675584e-15
357,-1.6357373669381679e-15
358,-1.6454883801382646e-15
359,-1.6553925458287755e-15
360,-1.665447880585688e-15
361,-1.675652399951014e-15
362,-1.6860041206041383e-15
363,-1.696501062636566e-15
364,-1.7071412518783679e-15
365,-1.7179227221212277e-15
366,-1.7288435175999846e-15
367,-1.7399016951639823e-15
368,-1.751095326862008e-15
369,-1.7624225024755334e-15
370,-1.7738813314315696e-15
371,-1.7854699459562937e-15
372,-1.797186502781108e-15
373,-1.8090291856758813e-15
374,-1.820996207827093e-15
375,-1.8330858140608808e-15
376,-1.845296282497402e-15
377,-1.857625927187472e-15
378,-1.8700730997152262e-15
379,-1.8826361911109757e-15
380,-1.8953136334021707e-15
381,-1.908103901371159e-15
382,-1.9210055138993553e-15
383,-1.934017035208011e-15
384,-1.9471370763057818e-15
385,-1.9603642955057137e-15
386,-1.973697399769413e-15
387,-1.987135145120636e-15
388,-2.0006763373173734e-15
389,-2.014319832162043e-15
390,-2.0280645358633807e-15
391,-2.0419094050881404e-15
392,-2.055853446754298e-15
393,-2.069895718289545e-15
394,-2.0840353269075074e-15
395,-2.09827142929755e-15
396,-2.1126032312111885e-15
397,-2.127029986634908e-15
398,-2.1415509971697778e-15
399,-2.156165611255969e-15
400,-2.17087322308708e-15
401,-2.1856710430998933e-15
402,-2.2005474109429037e-15
403,-2.2154884802847412e-15
404,-2.230480446825151e-15
405,-2.245509546847427e-15
406,-2.260562056287833e-15
407,-2.275624289830876e-15
408,-2.2906825997460806e-15
409,-2.305723374802317e-15
410,-2.3207330397249625e-15
411,-2.3356980538000337e-15
412,-2.3506049106673928e-15
413,-2.3654401371058248e-15
414,-2.3801902927486948e-15
415,-2.3948419693860143e-15
416,-2.409381790628399e-15
417,-2.4237964115193275e-15
418,-2.4380725184317447e-15
419,-2.4521968289129643e-15
420,-2.4661560915295734e-15
421,-2.479937086281022e-15
422,-2.493526624599624e-15
423,-2.506911549712447e-15
424,-2.5200787370549045e-15
425,-2.533015094787743e-15
426,-2.5457075643657288e-15
427,-2.5581431209512373e-15
428,-2.5703087743965316e-15
429,-2.582191569915846e-15
430,-2.5937785887057707e-15
431,-2.6050569486690366e-15
432,-2.6160138051382966e-15
433,-2.6266363520135e-15
434,-2.636911821968687e-15
435,-2.64682748727917e-15
436,-2.6563706603902196e-15
437,-2.6655286943306555e-15
438,-2.674288983178135e-15
439,-2.6826389623176472e-15
440,-2.6905661082347184e-15
441,-2.6980579389807e-15
442,-2.7051020135523844e-15
443,-2.711685931530112e-15
444,-2.7177973327675802e-15
445,-2.723423896099372e-15
446,-2.728553338927367e-15
447,-2.733173415256186e-15
448,-2.737271915279603e-15
449,-2.7408366622786156e-15
450,-2.743855512156157e-15
451,-2.746320407552675e-15
452,-2.748239547844293e-15
453,-2.749625214698554e-15
454,-2.7504897117549847e-15
455,-2.750845361936761e-15
456,-2.7507045040385863e-15
457,-2.7500794897281625e-15
458,-2.7489826801857683e-15
459,-2.7474264417615615e-15
460,-2.7454231435457355e-15
461,-2.7429851527156285e-15
462,-2.7401248312270013e-15
463,-2.7368545319366277e-15
464,-2.7331865951384762e-15
465,-2.7291333444278065e-15
466,-2.724707083650941e-15
467,-2.7199200933380494e-15
468,-2.7147846272910267e-15
469,-2.7093129097400618e-15
470,-2.7035171327069982e-15
471,-2.697409452955106e-15
472,-2.6910019905415153e-15
473,-2.684306826387374e-15
474,-2.6773360012955693e-15
475,-2.6701015145548626e-15
476,-2.6626153237330925e-15
477,-2.654889344522079e-15
478,-2.6469354507893228e-15
479,-2.6387654765425584e-15
480,-2.630391215929755e-15
481,-2.6218244269097294e-15
482,-2.6130768328548095e-15
483,-2.604160126169749e-15
484,-2.5950859721691364e-15
485,-2.585866013523491e-15
486,-2.5765118750672498e-15
487,-2.5670351693822376e-15
488,-2.5574475033117132e-15
489,-2.5477604840091285e-15
490,-2.5379857267963436e-15
491,-2.52813486188447e-15
492,-2.5182195435762538e-15
493,-2.508251457452209e-15
494,-2.498242330348482e-15
495,-2.488203938628659e-15
496,-2.478148117799739e-15
497,-2.4680867718179174e-15
498,-2.45803188311815e-15
499,-2.4479955214546465e-15
500,-2.4379898542406267e-15
501,-2.4280187710861264e-15
502,-2.418052739471928e-15
503,-2.4080539675837958e-15
504,-2.397984797042066e-15
505,-2.3878077111734543e-15
506,-2.377485343127764e-15
507,-2.3669804821851395e-15
508,-2.3562560806837034e-15
509,-2.3452752589309414e-15
510,-2.334001310632075e-15
511,-2.322397706043688e-15
512,-2.3104280949722553e-15
513,-2.2980563083768067e-15
514,-2.285246358989311e-15
515,-2.2719624402290027e-15
516,-2.2581689245480194e-15
517,-2.2438303601226804e-15
518,-2.2289114662005957e-15
519,-2.2133771266383168e-15
520,-2.1971923830253984e-15
521,-2.180322425430315e-15
522,-2.1627325821641017e-15
523,-2.14438830794133e-15
524,-2.125255170438424e-15
525,-2.105298836024795e-15
526,-2.0844850535294215e-15
527,-2.062779636456466e-15
528,-2.0401484448906995e-15
529,-2.0165573651281783e-15
530,-1.9919722885314403e-15
531,-1.9663590892473265e-15
532,-1.939683601201021e-15
533,-1.911911593590825e-15
534,-1.883008745865943e-15
535,-1.8529406221872813e-15
536,-1.8216726449059707e-15
537,-1.7891700680935857e-15
538,-1.7553979498315944e-15
539,-1.720321125741579e-15
540,-1.6839041810161913e-15
541,-1.6461114236391802e-15
542,-1.6069068571918292e-15
543,-1.5662541544865744e-15
544,-1.5241166314591164e-15
545,-1.4804572225080982e-15
546,-1.4352384554211929e-15
547,-1.3884224289378297e-15
548,-1.339970790260221e-15
549,-1.2898447144255456e-15
550,-1.2380048855392889e-15
551,-1.1844422416310452e-15
552,-1.1292702469103421e-15
553,-1.0726325904043983e-15
554,-1.0146724111687226e-15
555,-9.555322888779348e-16
556,-8.953542364845375e-16
557,-8.342796952041334e-16
558,-7.724495317753901e-16
559,-7.100040385634371e-16
560,-6.470829360931069e-16
561,-5.838253775467293e-16
562,-5.203699568291423e-16
563,-4.568547183387633e-16
564,-3.9341717035757537e-16
565,-3.3019429947508876e-16
566,-2.673225892516038e-16
567,-2.049380403290395e-16
568,-1.4317619286820752e-16
569,-8.217215229480892e-17
570,-2.2060616182803936e-17
571,3.7024096225579835e-17
572,9.494801227679147e-17
573,1.51577472870431e-16
574,2.0677909709727817e-16
575,2.6041974599844197e-16
576,3.123664842048596e-16
577,3.6248654100810895e-16
578,4.1064727013875134e-16
579,4.567161084589996e-16
580,5.005605349655791e-16
581,5.420480283450224e-16
582,5.810460252010485e-16
583,6.174218774547609e-16
584,6.510428112958104e-16
585,6.817758851512796e-16
586,7.09487949670821e-16
587,7.340456076600959e-16
588,7.553151759270692e-16
589,7.731626480588812e-16
590,7.874536584394911e-16
591,7.9805344885226e-16
592,8.048268365817985e-16
593,8.076381841701753e-16
594,8.063513722750535e-16
595,8.008297744923807e-16
596,7.909362342470308e-16
597,7.765330456642519e-16
598,7.574819355784885e-16
599,7.336440495230096e-16
600,7.048799402527776e-16
601,6.710942818196406e-16
602,6.323700313917499e-16
603,5.888342594725287e-16
604,5.40613427450277e-16
605,4.878333908551947e-16
606,4.3061940623532067e-16
607,3.690961396868328e-16
608,3.0338767889986563e-16
609,2.336175476858699e-16
610,1.5990872303821268e-16
611,8.23836545192229e-17
612,1.1642857668874024e-18
613,-8.36279215169114e-17
614,-1.7187196213059164e-16
615,-2.6344726007591176e-16
616,-3.582336398134443e-16
617,-4.561112960704835e-16
618,-5.569607630285673e-16
619,-6.606628821668315e-16
620,-7.670987700019655e-16
621,-8.761497852594815e-16
622,-9.876974957347919e-16
623,-1.1016236462916588e-15
624,-1.2178101255681746e-15
625,-1.3361389351125853e-15
626,-1.456492158208921e-15
627,-1.5787519301501931e-15
628,-1.7028004097006627e-15
629,-1.8285197527811575e-15
630,-1.955792086412883e-15
631,-2.0844994863835444e-15
632,-2.2145239551719666e-15
633,-2.3457474036984193e-15
634,-2.478051633953826e-15
635,-2.6113183255580776e-15
636,-2.745429023507421e-15
637,-2.8802651297992545e-15
638,-3.0157078964527913e-15
639,-3.1516384225622293e-15
640,-3.287937653107678e-15
641,-3.42448638107481e-15
642,-3.561165251849257e-15
643,-3.697854770609536e-15
644,-3.834435311736232e-15
645,-3.9707871315298945e-15
646,-4.10679038242821e-15
647,-4.242325129497911e-15
648,-4.3772713698735235e-15
649,-4.511509052196109e-15
650,-4.6449180997743236e-15
651,-4.777384335058759e-15
652,-4.9088172081904206e-15
653,-5.039132118961968e-15
654,-5.168244541508916e-15
655,-5.2960700513998046e-15
656,-5.422524352157672e-15
657,-5.547523301781538e-15
658,-5.670982939371277e-15
659,-5.792819510149832e-15
660,-5.9129494901235365e-15
661,-6.0312896087261856e-15
662,-6.147756870842717e-15
663,-6.262268575886067e-15
664,-6.374742335374754e-15
665,-6.485096087822135e-15
666,-6.5932481112475085e-15
667,-6.699117032275102e-15
668,-6.8026218329066146e-15
669,-6.903681852795962e-15
670,-7.002216789662868e-15
671,-7.098146694898467e-15
672,-7.191391965396895e-15
673,-7.281873332543449e-15
674,-7.369511846291359e-15
675,-7.454228855981538e-15
676,-7.535945986302645e-15
677,-7.614585110562813e-15
678,-7.690068318739795e-15
679,-7.762317882997876e-15
680,-7.8312562179315e-15
681,-7.896805838740956e-15
682,-7.958889314755163e-15
683,-8.017429220472918e-15
684,-8.07234808345052e-15
685,-8.123568328467074e-15
686,-8.171012221017721e-15
687,-8.214601806877752e-15
688,-8.254258850219156e-15
689,-8.289904771210187e-15
690,-8.321460580668091e-15
691,-8.348846815487324e-15
692,-8.371983472568497e-15
693,-8.39078994347111e-15
694,-8.405184949066282e-15
695,-8.41508647517176e-15
696,-8.420411709531095e-15
697,-8.421076979981896e-15
698,-8.416997696242988e-15
699,-8.408088292270267e-15
700,-8.394262172903548e-15
701,-8.375487767398887e-15
702,-8.35195679244083e-15
703,-8.323915900363344e-15
704,-8.29161053840164e-15
705,-8.255284916225336e-15
706,-8.215181978486398e-15
707,-8.171543383519242e-15
708,-8.124609487469204e-15
709,-8.074619334676567e-15
710,-8.021810654626329e-15
711,-7.96641986536033e-15
712,-7.908682083351711e-15
713,-7.848831140410427e-15
714,-7.787099607774877e-15
715,-7.723718826872683e-15
716,-7.658918946595519e-15
717,-7.59292896848385e-15
718,-7.525976797753639e-15
719,-7.458289301871067e-15
720,-7.390092374865834e-15
721,-7.32161100883058e-15
722,-7.253069370486786e-15
723,-7.184690884988518e-15
724,-7.116698323706965e-15
725,-7.049313898425629e-15
726,-6.982759359361232e-15
727,-6.917256098096001e-15
728,-6.853025254387367e-15
729,-6.790287826338078e-15
730,-6.729264782892769e-15
731,-6.670177179953433e-15
732,-6.613246277011895e-15
733,-6.558693656263814e-15
734,-6.506741341205706e-15
735,-6.457611916576135e-15
736,-6.411528646797631e-15
737,-6.368715593849933e-15
738,-6.329397733282068e-15
739,-6.2938010683115754e-15
740,-6.262152740098024e-15
741,-6.234681135741781e-15
742,-6.2116159912679966e-15
743,-6.193188490526387e-15
744,-6.179631358817739e-15
745,-6.171178950833553e-15
746,-6.1680673324435185e-15
747,-6.170534355917259e-15
748,-6.178819728218425e-15
749,-6.193165071440583e-15
750,-6.213813976418853e-15
751,-6.240927422943594e-15
752,-6.274329945172272e-15
753,-6.313763530789375e-15
754,-6.358972264227149e-15
755,-6.409702336229871e-15
756,-6.465702045353116e-15
757,-6.5267217890715645e-15
758,-6.592514047390486e-15
759,-6.6628333559106725e-15
760,-6.7374362702596685e-15
761,-6.816081322251202e-15
762,-6.898528966325239e-15
763,-6.984541518646809e-15
764,-7.073883086899052e-15
765,-7.16631949268334e-15
766,-7.26161818662986e-15
767,-7.359548155546595e-15
768,-7.459879823984833e-15
769,-7.562384948101549e-15
770,-7.666836504972303e-15
771,-7.773008576165567e-15
772,-7.880676226198877e-15
773,-7.989615377737953e-15
774,-8.099602682608227e-15
775,-8.21041538996293e-15
776,-8.321831212176435e-15
777,-8.433628189548532e-15
778,-8.54558455299244e-15
779,-8.657478587394915e-15
780,-8.769088494459363e-15
781,-8.880192256996519e-15
782,-8.990567504249105e-15
783,-9.099991379904824e-15
784,-9.2082404124358e-15
785,-9.315090389108625e-15
786,-9.420316233975229e-15
787,-9.523691889792835e-15
788,-9.624990205837601e-15
789,-9.723982830319431e-15
790,-9.82044010936255e-15
791,-9.914130992500116e-15
792,-1.0004822944062496e-14
793,-1.0092281862630555e-14
794,-1.017627200793357e-14
795,-1.0256555934416288e-14
796,-1.0332894433904965e-14
797,-1.0405046486338427e-14
798,-1.047276921768525e-14
799,-1.0535817867890519e-14
800,-1.0593945765801906e-14
801,-1.064697463388658e-14
802,-1.0695005542293359e-14
803,-1.0738207948224807e-14
804,-1.0776749384240999e-14
805,-1.0810795475682011e-14
806,-1.0840509965535037e-14
807,-1.0866054747573313e-14
808,-1.0887589905698895e-14
809,-1.0905273762177628e-14
810,-1.0919262930785501e-14
811,-1.0929712377554722e-14
812,-1.0936775486999868e-14
813,-1.0940604134030895e-14
814,-1.0941348761191135e-14
815,-1.0939158459876084e-14
816,-1.0934181056618688e-14
817,-1.0926563202683336e-14
818,-1.0916450466503298e-14
819,-1.090398742927178e-14
820,-1.0889317782549243e-14
821,-1.0872584427318276e-14
822,-1.085392957453774e-14
823,-1.083349484580031e-14
824,-1.0811421374300208e-14
825,-1.0787849905697541e-14
826,-1.0762920897483367e-14
827,-1.0736774617465892e-14
828,-1.0709551240188706e-14
829,-1.0681390941022582e-14
830,-1.0652433987775724e-14
831,-1.0622820828995302e-14
832,-1.0592692179011955e-14
833,-1.0562189099106891e-14
834,-1.053145307459478e-14
835,-1.0500626087460548e-14
836,-1.0469850684291593e-14
837,-1.0439270039401996e-14
838,-1.0409028013045363e-14
839,-1.0379269204457779e-14
840,-1.0350138998903706e-14
841,-1.0321783609810496e-14
842,-1.0294350115836423e-14
843,-1.0267986490959373e-14
844,-1.024284163094663e-14
845,-1.0219065372586822e-14
846,-1.0196808508424076e-14
847,-1.0176222795753605e-14
848,-1.0157460960964411e-14
849,-1.0140676697471331e-14
850,-1.0126024660648554e-14
851,-1.0113628464211723e-14
852,-1.010348468968186e-14
853,-1.0095558842076459e-14
854,-1.0089817318113713e-14
855,-1.0086227378191772e-14
856,-1.0084757115627964e-14
857,-1.008537542191721e-14
858,-1.0088051950077583e-14
859,-1.0092757074066756e-14
860,-1.0099461847164484e-14
861,-1.0108137957201445e-14
862,-1.0118757681374507e-14
863,-1.0131293838270246e-14
864,-1.0145719740043574e-14
865,-1.0162009143252182e-14
866,-1.0180136199174013e-14
867,-1.0200075404486614e-14
868,-1.0221801551687997e-14
869,-1.0245289680034492e-14
870,-1.0270515026892185e-14
871,-1.029745298079442e-14
872,-1.0326079034861187e-14
873,-1.035636874151099e-14
874,-1.0388297670067835e-14
875,-1.0421841364419922e-14
876,-1.0456975303728572e-14
877,-1.0493674864791502e-14
878,-1.0531915287146148e-14
879,-1.0571671639310354e-14
880,-1.061291878936576e-14
881,-1.0655631375903088e-14
882,-1.0699783783258417e-14
883,-1.0745350118145334e-14
884,-1.0792304189957693e-14
885,-1.0840619492830138e-14
886,-1.0890269190438659e-14
887,-1.094122610410987e-14
888,-1.0993462702532948e-14
889,-1.104695109436671e-14
890,-1.1101663023535023e-14
891,-1.1157569865918078e-14
892,-1.1214642629714283e-14
893,-1.1272851956422544e-14
894,-1.1332168124719668e-14
895,-1.1392561056147234e-14
896,-1.1454000322039228e-14
897,-1.151645515272443e-14
898,-1.1579894447969565e-14
899,-1.1644286788404741e-14
900,-1.1709600448344745e-14
901,-1.1775809194221738e-14
902,-1.1842909649587856e-14
903,-1.19109039606149e-14
904,-1.1979794027646926e-14
905,-1.204958152262275e-14
906,-1.212026790561955e-14
907,-1.2191854442275362e-14
908,-1.2264342221470065e-14
909,-1.2337732172230883e-14
910,-1.2412025081309978e-14
911,-1.2487221609934852e-14
912,-1.2563322310713852e-14
913,-1.2640327643611097e-14
914,-1.2718237992076501e-14
915,-1.2797053677909172e-14
916,-1.2876774975991565e-14
917,-1.2957402128196463e-14
918,-1.303893535662186e-14
919,-1.3121374875998674e-14
920,-1.3204720905426368e-14
921,-1.3288973679152152e-14
922,-1.337413345688489e-14
923,-1.3460200532790687e-14
924,-1.3547175244281685e-14
925,-1.3635057979615783e-14
926,-1.3723849184772579e-14
927,-1.3813549369838167e-14
928,-1.3904159114355964e-14
929,-1.399567907241904e-14
930,-1.4088109976599223e-14
931,-1.4181452641746967e-14
932,-1.4275707968015723e-14
933,-1.4370876943395184e-14
934,-1.4466960645934334e-14
935,-1.4563960245421655e-14
936,-1.4661877004729297e-14
937,-1.47607122810797e-14
938,-1.4860467526510883e-14
939,-1.4961144288910413e-14
940,-1.5062744212429008e-14
941,-1.5165269037532222e-14
942,-1.5268720601827637e-14
943,-1.537310083990976e-14
944,-1.5478411784057957e-14
945,-1.5584655564236457e-14
946,-1.5691834408792282e-14
947,-1.5799950644946387e-14
948,-1.5909006699362346e-14
949,-1.6019005098947682e-14
950,-1.612994847217219e-14
951,-1.6241834354554632e-14
952,-1.635463960538133e-14
953,-1.646833599416705e-14
954,-1.6582895397158706e-14
955,-1.6698289799532558e-14
956,-1.681449129689348e-14
957,-1.6931472097989143e-14
958,-1.7049204526493624e-14
959,-1.7167661023669894e-14
960,-1.7286814150773812e-14
961,-1.7406636591535666e-14
962,-1.752710115492606e-14
963,-1.7648180777585753e-14
964,-1.77698485266174e-14
