# k, delta_Tm
3.949176e-01, -5.785698e-09
3.985442e-01, -8.687355e-09
4.021709e-01, -2.356984e-08
4.057975e-01, -2.637528e-08
4.094241e-01, -3.521924e-08
4.130507e-01, 9.358580e-09
4.166773e-01, 6.697480e-09
4.203040e-01, -8.425567e-09
4.239306e-01, -1.099044e-08
4.415944e-01, -1.584786e-08
5.434387e-01, -2.184619e-08
6.714451e-01, -4.918345e-08
8.296032e-01, 5.496034e-08
1.025015e+00, 1.580504e-08
1.266456e+00, -1.060651e-08
1.564769e+00, -1.455729e-07
1.933348e+00, 2.216627e-07
2.388746e+00, -2.651063e-08
2.951412e+00, -3.564783e-08
3.646614e+00, 8.065671e-08
4.505569e+00, -2.675663e-07
5.566850e+00, -6.219099e-07
6.878116e+00, 7.470364e-08
8.498247e+00, 2.130285e-07
1.050000e+01, -3.719330e-05
