ell,delta_Cl_rel
0,0.0
1,0.0
2,0.45626809325713985
3,0.381623673087788
4,0.3369633673569494
5,0.3101776989734689
6,0.2938068907190637
7,0.2834539571160226
8,0.2775083566503572
9,0.2738530339865293
10,0.27181527952670714
11,0.27156951691451425
12,0.27064843340215583
13,0.2711633629725311
14,0.2727304400877194
15,0.2763466841200628
16,0.27887932642327096
17,0.2802283068840299
18,0.2814263515197211
19,0.28259967357906907
20,0.28445282576809544
21,0.28659161712407144
22,0.28879470583721994
23,0.29112370781914165
24,0.29346864635809355
25,0.29581243642706007
26,0.2983093692751673
27,0.30074639511438556
28,0.3030993568632243
29,0.30544565045686944
30,0.30778180597893995
31,0.3102243236280784
32,0.31247268558195385
33,0.31468265116145255
34,0.31689617517096264
35,0.3190571896354696
36,0.3214837546055238
37,0.32387778700830583
38,0.3260634581461097
39,0.3281136111838442
40,0.33013813347683063
41,0.33223104739531645
42,0.33441274749538075
43,0.336688824581294
44,0.3390547666354294
45,0.3414983022820786
46,0.34400773391162587
47,0.3465257271227148
48,0.3489910125191784
49,0.35135799328381234
50,0.35362921992698515
51,0.3558289806383747
52,0.3580378139183597
53,0.3603270410487936
54,0.36268425936950593
55,0.3650775829277351
56,0.3674461617309828
57,0.36973412597653327
58,0.3719665414051078
59,0.37418957052425417
60,0.3764320076427009
61,0.3787093566473491
62,0.38101455722184996
63,0.38333259233773986
64,0.3856524408173897
65,0.38795371700771597
66,0.3902049555448082
67,0.3924240186885819
68,0.39464179201787986
69,0.3968896054874948
70,0.39919519913654194
71,0.40156762515205496
72,0.40392392296971114
73,0.4061807479746328
74,0.4083260909863211
75,0.41036149850590536
76,0.4123137293240583
77,0.41427114200039467
78,0.41624881308143546
79,0.41823380758488626
80,0.42021807960755164
81,0.42219195545564603
82,0.4241427953045034
83,0.42606382957051875
84,0.42794444256880404
85,0.4297759760151099
86,0.431550893994725
87,0.4332729532819087
88,0.4349450979482637
89,0.4365647438833887
90,0.4381307839879188
91,0.43964106078114296
92,0.4410957290562344
93,0.4424925383901207
94,0.44383326683476076
95,0.44511576279768106
96,0.44634183192685106
97,0.447511966296246
98,0.4486249292097298
99,0.44968269111008363
100,0.4506805380472806
101,0.4516176591907144
102,0.4524921041601105
103,0.4533044480658828
104,0.45405290052095376
105,0.45473695948409426
106,0.45535617937166173
107,0.4559101666906393
108,0.45639972201720846
109,0.4568222399931662
110,0.4571786169702827
111,0.457468707842341
112,0.4576916119990659
113,0.4578476546198023
114,0.457937168393972
115,0.4579603034897953
116,0.4579154229683037
117,0.4578018342671874
118,0.45761992076750074
119,0.4573680184744297
120,0.4570455545579385
121,0.4566519891262155
122,0.45618780012062515
123,0.45565149405087996
124,0.4550426114115016
125,0.4543616690576566
126,0.4536072699919841
127,0.4527799439623246
128,0.4518792683822005
129,0.45090391999246254
130,0.44985443079887133
131,0.4487312060459179
132,0.4475319250076642
133,0.4462589845465759
134,0.44491239196116517
135,0.4434938516879789
136,0.44200330666999366
137,0.4404423567752164
138,0.43881170157338906
139,0.4371128088794157
140,0.4353446721893061
141,0.43350947949459095
142,0.4316077441545711
143,0.42963917400735735
144,0.4276057550893974
145,0.42550711263370944
146,0.4233458316341602
147,0.4211221581862051
148,0.4188370247858976
149,0.41649129293026216
150,0.41408575418688015
151,0.4116218874423272
152,0.40909859083502215
153,0.40651693059278393
154,0.4038767730790506
155,0.4011786780182397
156,0.39842186235234794
157,0.3956081128856639
158,0.3927365831692493
159,0.38980830741053435
160,0.38682362639749324
161,0.38378403812685513
162,0.38068973905399206
163,0.37754088109338674
164,0.37433872467744445
165,0.3710827158643063
166,0.367773410788986
167,0.3644107389378057
168,0.3609945882011849
169,0.3575248051254708
170,0.35400119510622935
171,0.35042404081456513
172,0.3467920210312874
173,0.3431058468712581
174,0.33936556138434715
175,0.3355723655387488
176,0.33172875351500114
177,0.3278364935978311
178,0.3238977034941965
179,0.31991348449262147
180,0.3158853430983677
181,0.3118151545101225
182,0.3077038309530696
183,0.3035526729689833
184,0.29936333326291736
185,0.29513655317875226
186,0.29087384682572753
187,0.2865758503980714
188,0.28224355910224846
189,0.2778782916667356
190,0.2734805377183216
191,0.26905112777272405
192,0.26459119813815996
193,0.2601014543219317
194,0.2555818641112414
195,0.2510334134531441
196,0.24645635213104877
197,0.2418509105927163
198,0.23721730042389425
199,0.23255664143350943
200,0.22786844258405592
201,0.2231534450447948
202,0.2184120848622888
203,0.21364532901331124
204,0.20885294627847703
205,0.204036053893148
206,0.1991943382604771
207,0.19432825858824115
208,0.18943795570208277
209,0.1845223229460415
210,0.17958174867462567
211,0.1746158685561585
212,0.16962410750471393
213,0.16460635485747907
214,0.15956227560271183
215,0.1544917448701227
216,0.149395237420338
217,0.14427369925803088
218,0.13912828670750835
219,0.13396031172627992
220,0.1287710425902503
221,0.12356138479910801
222,0.11833271656679771
223,0.11308590899742406
224,0.10782184813019854
225,0.10254156920224484
226,0.09724622388187132
227,0.09193668901906525
228,0.08661397366165151
229,0.08127897454311314
230,0.07593280815843696
231,0.07057637512997374
232,0.06521060030384973
233,0.05983659046052306
234,0.05445535238524776
235,0.0490677641731978
236,0.043674990266670974
237,0.03827788974329667
238,0.03287758262758481
239,0.027475093040870313
240,0.022071508516054935
241,0.016667923827334685
242,0.011265412251000763
243,0.005865129696204171
244,0.0004682434190281573
245,-0.0049240534527688175
246,-0.010310509558993933
247,-0.015689870817425264
248,-0.02106078106375152
249,-0.0264219202805578
250,-0.03177184733690685
251,-0.037109194211941206
252,-0.042432494371311115
253,-0.047740293624241203
