z,w_z,F_zw,E2,H_km_s_Mpc,I_H
0.0,-0.2433,1.0,1.0,67.36,0.0
1e-08,-0.2433000299809997,1.0000000227009997,1.0000000248995913,67.36000083861823,0.0
1.0123914469947095e-08,-0.24330003035250766,1.0000000229822978,1.0000000252081331,67.36000084900992,0.0
1.0249364419480438e-08,-0.24330003072861914,1.0000000232670818,1.0000000255204986,67.36000085953039,0.0
1.0376368875413891e-08,-0.2433000311093912,1.0000000235553947,1.0000000258367345,67.36000087018121,0.0
1.0504947100331134e-08,-0.24330003149488155,1.0000000238472802,1.000000026156889,67.36000088096402,0.0
1.0635118595507114e-08,-0.2433000318851487,1.0000000241427824,1.0000000264810107,67.36000089188043,0.0
1.0766903103865812e-08,-0.24330003228025185,1.0000000244419465,1.0000000268091487,67.36000090293213,0.0
1.0900320612974538e-08,-0.24330003268025086,1.0000000247448175,1.000000027141353,67.36000091412076,0.0
1.103539135807555e-08,-0.24330003308520645,1.0000000250514416,1.0000000274776735,67.36000092544803,0.0
1.1172135825155042e-08,-0.24330003349518003,1.000000025361865,1.0000000278181616,67.36000093691568,0.0
1.1310574754050145e-08,-0.24330003391023378,1.0000000256761354,1.000000028162869,67.36000094852542,0.0
1.1450729141594655e-08,-0.24330003433043063,1.0000000259942998,1.0000000285118475,67.36000096027902,0.0
1.1592620244803525e-08,-0.24330003475583434,1.0000000263164068,1.0000000288651507,67.36000097217827,0.0
1.1736269584096804e-08,-0.24330003518650942,1.000000026642505,1.0000000292228315,67.36000098422495,0.0
1.188169894656376e-08,-0.24330003562252117,1.0000000269726443,1.0000000295849447,67.36000099642094,0.0
1.2028930389267225e-08,-0.24330003606393574,1.0000000273068745,1.000000029951545,67.36000100876802,0.0
1.217798624258888e-08,-0.2433000365108201,1.000000027645246,1.000000030322688,67.36000102126812,0.0
1.232888911361622e-08,-0.24330003696324198,1.0000000279878107,1.00000003069843,67.36000103392311,0.0
1.2481661889571246e-08,-0.24330003742127004,1.0000000283346202,1.000000031078828,67.36000104673492,0.0
1.263632774128178e-08,-0.2433000378849737,1.0000000286857271,1.0000000314639397,67.36000105970548,0.0
1.279291012669565e-08,-0.24330003835442335,1.0000000290411848,1.0000000318538234,67.36000107283677,0.0
1.295143279443868e-08,-0.24330003882969015,1.0000000294010472,1.0000000322485385,67.36000108613077,0.0
1.3111919787416536e-08,-0.24330003931084618,1.0000000297653686,1.0000000326481444,67.3600010995895,0.0
1.327439544646119e-08,-0.24330003979796444,1.0000000301342045,1.000000033052702,67.36000111321499,0.0
1.3438884414022827e-08,-0.24330004029111882,1.0000000305076109,1.000000033462273,67.36000112700934,0.0
1.3605411637907218e-08,-0.24330004079038406,1.0000000308856445,1.000000033876919,67.36000114097462,0.0
1.3774002375059577e-08,-0.24330004129583593,1.0000000312683621,1.000000034296703,67.36000115511295,0.0
1.394468219539513e-08,-0.2433000418075511,1.0000000316558224,1.0000000347216889,67.36000116942647,0.0
1.4117476985677437e-08,-0.24330004232560715,1.000000032048084,1.0000000351519407,67.36000118391735,0.0
1.4292412953444519e-08,-0.24330004285008267,1.000000032445206,1.0000000355875243,67.36000119858781,0.0
1.4469516630983626e-08,-0.24330004338105718,1.0000000328472491,1.000000036028505,67.36000121344004,0.0
1.4648814879355526e-08,-0.24330004391861124,1.000000033254274,1.0000000364749502,67.3600012284763,0.0
1.4830334892468402e-08,-0.24330004446282638,1.0000000336663426,1.0000000369269277,67.36000124369892,0.0
1.5014104201202212e-08,-0.2433000450137851,1.0000000340835173,1.0000000373845057,67.36000125911013,0.0
1.5200150677584455e-08,-0.24330004557157103,1.0000000345058613,1.0000000378477538,67.36000127471235,0.0
1.5388502539017373e-08,-0.24330004613626874,1.0000000349334388,1.0000000383167422,67.36000129050787,0.0
1.557918835255756e-08,-0.24330004670796387,1.0000000353663148,1.0000000387915422,67.36000130649913,0.0
1.577223703924887e-08,-0.24330004728674312,1.0000000358045544,1.0000000392722255,67.36000132268855,0.0
1.5967677878508715e-08,-0.24330004787269427,1.0000000362482249,1.0000000397588653,67.36000133907856,0.0
1.6165540512568885e-08,-0.24330004846590622,1.0000000366973927,1.0000000402515352,67.3600013556717,0.0
1.636585495097121e-08,-0.2433000490664689,1.0000000371521265,1.0000000407503098,67.36000137247042,0.0
1.6568651575119273e-08,-0.24330004967447344,1.0000000376124951,1.0000000412552652,67.36000138947732,0.0
1.6773961142886206e-08,-0.24330005029001206,1.0000000380785683,1.0000000417664776,67.36000140669495,0.0
1.6981814793279598e-08,-0.24330005091317805,1.0000000385504169,1.0000000422840247,67.36000142412594,0.0
1.7192244051164494e-08,-0.243300051544066,1.0000000390281123,1.000000042807985,67.36000144177292,0.0
1.740528083204461e-08,-0.24330005218277154,1.000000039511727,1.0000000433384377,67.36000145963857,0.0
1.762095744690296e-08,-0.24330005282939157,1.0000000400013345,1.0000000438754637,67.3600014777256,0.0
1.7839306607102285e-08,-0.24330005348402417,1.0000000404970089,1.0000000444191441,67.36000149603676,0.0
1.8060361429346565e-08,-0.2433000541467686,1.0000000409988254,1.0000000449695619,67.36000151457483,0.0
1.8284155440703646e-08,-0.2433000548177254,1.0000000415068602,1.0000000455267997,67.3600015333426,0.0
1.8510722583690153e-08,-0.24330005549699635,1.0000000420211903,1.0000000460909426,67.36000155234294,0.0
1.8740097221419722e-08,-0.24330005618468442,1.0000000425418936,1.000000046662076,67.3600015715787,0.0
1.8972314142814685e-08,-0.24330005688089393,1.0000000430690492,1.0000000472402868,67.36000159105284,0.0
1.920740856788235e-08,-0.2433000575857305,1.000000043602737,1.000000047825662,67.36000161076828,0.0
1.944541615305699e-08,-0.24330005829930101,1.0000000441430381,1.0000000484182914,67.36000163072804,0.0
1.9686372996607704e-08,-0.2433000590217137,1.0000000446900341,1.0000000490182641,67.36000165093512,0.0
1.993031564411325e-08,-0.24330005975307814,1.0000000452438083,1.0000000496256711,67.36000167139258,0.0
2.017728109400511e-08,-0.24330006049350522,1.0000000458044445,1.000000050240605,67.36000169210355,0.0
2.0427306803178825e-08,-0.24330006124310727,1.000000046372028,1.000000050863159,67.36000171307117,0.0
2.0680430692675124e-08,-0.24330006200199797,1.0000000469466443,1.000000051493427,67.3600017342986,0.0
2.0936691153431172e-08,-0.24330006277029242,1.0000000475283812,1.000000052131505,67.36000175578907,0.0
2.119612705210352e-08,-0.24330006354810715,1.0000000481173266,1.00000005277749,67.36000177754583,0.0
2.1458777736962828e-08,-0.24330006433556015,1.0000000487135698,1.0000000534314792,67.36000179957219,0.0
2.1724683043861655e-08,-0.2433000651327708,1.0000000493172014,1.0000000540935725,67.36000182187149,0.0
2.199388330227653e-08,-0.24330006593986006,1.000000049928313,1.0000000547638703,67.36000184444713,0.0
2.2266419341424516e-08,-0.24330006675695032,1.000000050546997,1.000000055442474,67.3600018673025,0.0
2.25423324964558e-08,-0.24330006758416553,1.0000000511733473,1.0000000561294862,67.36000189044107,0.0
2.2821664614722746e-08,-0.2433000684216311,1.0000000518074592,1.0000000568250118,67.36000191386637,0.0
2.310445806212712e-08,-0.24330006926947412,1.0000000524494286,1.000000057529156,67.36000193758196,0.0
2.3390755729545503e-08,-0.2433000701278231,1.000000053099353,1.0000000582420254,67.36000196159138,0.0
2.368060103933436e-08,-0.24330007099680828,1.0000000537573308,1.0000000589637286,67.36000198589835,0.0
